Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Likes,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,전체,좋아요 순위,1,NEW,Creepy cute COCOMAN😊funny video Best Compilation😊,763256,2023.06.04,"#bossbaby,#funniest",cocoman,"987,000",https://img.youtube.com/vi/Ua35hFocsFg/mqdefault.jpg,Ua35hFocsFg
일간,2026-06-15,shorts,미국,전체,좋아요 순위,2,NEW,네덜란드 vs 일본 음식,293306,2026.06.14,"#worldcup,#netherlands",Nick DiGiovanni • 닉 디지오바니,"40,800,000",https://img.youtube.com/vi/qadjfH2L4kU/mqdefault.jpg,qadjfH2L4kU
일간,2026-06-15,shorts,미국,전체,좋아요 순위,3,NEW,"유튜버를 맞추면 1,000달러",271787,2026.06.15,N/A,미스터 비스트,"501,000,000",https://img.youtube.com/vi/xDuuM3ERr5Q/mqdefault.jpg,xDuuM3ERr5Q
일간,2026-06-15,shorts,미국,전체,좋아요 순위,4,-2,Water Fixes Everything 💀🔥 | 3 Body Problem | FUNK ABNORMAL (Slowed),192913,2026.06.13,"#trending,#shorts",Riven-Edits,"808,000",https://img.youtube.com/vi/HmWeyudqYRU/mqdefault.jpg,HmWeyudqYRU
일간,2026-06-15,shorts,미국,전체,좋아요 순위,5,+1,월드컵에서 가장 시끄러운 나라는? ⚽️,185884,2026.06.14,"#ad,#fifaworldcup",Zhong,"72,600,000",https://img.youtube.com/vi/Fvta-JkYMgY/mqdefault.jpg,Fvta-JkYMgY
일간,2026-06-15,shorts,미국,전체,좋아요 순위,6,+307,사람들은 나를 피카소라 불러 (메카 카멜레온),167219,2026.06.12,"#게임,#인디게임",grizzbx,"44,300",https://img.youtube.com/vi/alKuYgWPgZs/mqdefault.jpg,alKuYgWPgZs
일간,2026-06-15,shorts,미국,전체,좋아요 순위,7,+18,그들이 나를 볼 수 있다고 생각하나요?,164815,2026.06.14,N/A,Forrest Galante,"2,720,000",https://img.youtube.com/vi/TTSUrA0xjiY/mqdefault.jpg,TTSUrA0xjiY
일간,2026-06-15,shorts,미국,전체,좋아요 순위,8,NEW,and you just accept the fate 😂,161208,2026.06.14,"#sofimanassyan,#relatable",Sofi Manassyan,"10,900,000",https://img.youtube.com/vi/T9eRPt2gOwE/mqdefault.jpg,T9eRPt2gOwE
일간,2026-06-15,shorts,미국,전체,좋아요 순위,9,+3,The 5 Million Case ORDER That Changed Everything! 😱🌶️,157723,2026.06.11,"#shorts,#FlaminHot",Gabriel Hunter,"135,000",https://img.youtube.com/vi/_RCd9rI6ZnU/mqdefault.jpg,_RCd9rI6ZnU
일간,2026-06-15,shorts,미국,전체,좋아요 순위,10,+5,She Destroyed Everyone Who Disrespected Her Dad,157495,2026.06.12,"#growingupfisher,#jksimmons",OdRush,"25,600",https://img.youtube.com/vi/Aax8gGKIywM/mqdefault.jpg,Aax8gGKIywM
