Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Comments,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,게임,댓글 순위,1,NEW,끝까지…‼️ 할머니를 사랑한다면 좋아요 👍! 😍,10000,2026.03.16,,SQUAD BRO SHOW,"12,300,000",https://img.youtube.com/vi/-nhvtP1sIoY/mqdefault.jpg,-nhvtP1sIoY
일간,2026-06-15,shorts,미국,게임,댓글 순위,2,+6,IS THIS FILTER REAL??,5400,2026.06.14,,Cruz,"2,350,000",https://img.youtube.com/vi/FxlfB5DdQ4Q/mqdefault.jpg,FxlfB5DdQ4Q
일간,2026-06-15,shorts,미국,게임,댓글 순위,3,-2,Who kicked the ball 😂,5000,2026.05.22,,ibekeigh,"4,120,000",https://img.youtube.com/vi/X3H_MOlxtak/mqdefault.jpg,X3H_MOlxtak
일간,2026-06-15,shorts,미국,게임,댓글 순위,4,NEW,We Lost A 2022 Legend Today,2700,2026.06.15,,Tyrecordslol,"6,060,000",https://img.youtube.com/vi/Bteqx9A5e2U/mqdefault.jpg,Bteqx9A5e2U
일간,2026-06-15,shorts,미국,게임,댓글 순위,5,+157,Emma doesn’t want to take a bath…,2100,2026.06.14,"#roblox,#berryavenue",MaxBloxUs,"1,650,000",https://img.youtube.com/vi/_LBDVd-G1AY/mqdefault.jpg,_LBDVd-G1AY
일간,2026-06-15,shorts,미국,게임,댓글 순위,6,+29,,2000,2026.04.24,"#viralvideo,#sneakers",Jay2stack,"311,000",https://img.youtube.com/vi/7yucfAN-QPg/mqdefault.jpg,7yucfAN-QPg
일간,2026-06-15,shorts,미국,게임,댓글 순위,7,+673,내가 줬어!!!,1889,2026.06.14,"#로블록스,#roblox",sa7byt,"25,299",https://img.youtube.com/vi/S0NG6wDPbcE/mqdefault.jpg,S0NG6wDPbcE
일간,2026-06-15,shorts,미국,게임,댓글 순위,8,NEW,YOUR THE MOST POPULAR YOUTUBER?! 😱,1700,2026.06.15,"#gorillatag,#gorillatagquest",Tripix,"101,000",https://img.youtube.com/vi/vKTD97Prvmg/mqdefault.jpg,vKTD97Prvmg
일간,2026-06-15,shorts,미국,게임,댓글 순위,9,NEW,"ROBLOX에서 플레이어들을 너무 심하게 ""팩폭""했을 때!! 😬🤭",1600,2026.06.15,,Lana's Life,"9,380,000",https://img.youtube.com/vi/BcozEPjFc1g/mqdefault.jpg,BcozEPjFc1g
일간,2026-06-15,shorts,미국,게임,댓글 순위,10,-8,엄마가 재미를 금지했어요 😭,1500,2026.06.14,,His Story,"3,060,000",https://img.youtube.com/vi/zjVZ3raUrFk/mqdefault.jpg,zjVZ3raUrFk
