Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,게임,조회수 순위,1,+34,TESTING 1960’s CANNED DRINKING WATER CAN FOR LEAD!,8466557,2026.06.12,,Mrs.Fallout,"3,160,000",https://img.youtube.com/vi/dcRfAsd--pM/mqdefault.jpg,dcRfAsd--pM
일간,2026-06-15,shorts,미국,게임,조회수 순위,2,0,prime Neymar penalty☠️🔥,7894430,2026.06.09,"#eafc24,#shorts",Rafsenzo Editzz,"239,000",https://img.youtube.com/vi/N0ZCF-0aFU8/mqdefault.jpg,N0ZCF-0aFU8
일간,2026-06-15,shorts,미국,게임,조회수 순위,3,+1,99 nights in the forest,7782966,2026.03.31,"#scaryteacher3d,#99nights",lllBug_Boy,"69,000",https://img.youtube.com/vi/M8TmAc1cUIE/mqdefault.jpg,M8TmAc1cUIE
일간,2026-06-15,shorts,미국,게임,조회수 순위,4,+86,사람들은 나를 피카소라 불러 (메카 카멜레온),6170730,2026.06.12,"#게임,#인디게임",grizzbx,"44,300",https://img.youtube.com/vi/alKuYgWPgZs/mqdefault.jpg,alKuYgWPgZs
일간,2026-06-15,shorts,미국,게임,조회수 순위,5,+22,Bacon Hair Feeds the Shark,5695563,2026.05.24,,Roblonarium,"2,230,000",https://img.youtube.com/vi/0oaOQ1p-Po8/mqdefault.jpg,0oaOQ1p-Po8
일간,2026-06-15,shorts,미국,게임,조회수 순위,6,+15,Geometry Dash blowing Ball (Kids at the basement VS Water on the hill),5500548,2026.06.10,"#3danimation,#geometrydash",Cat the Star,"2,670,000",https://img.youtube.com/vi/DP6yFGQkJ_o/mqdefault.jpg,DP6yFGQkJ_o
일간,2026-06-15,shorts,미국,게임,조회수 순위,7,-6,끝까지 기다려 😂,5492280,2025.08.09,#minecraft,Lucky Maker,"14,400,000",https://img.youtube.com/vi/jdD2TG46dzk/mqdefault.jpg,jdD2TG46dzk
일간,2026-06-15,shorts,미국,게임,조회수 순위,8,-1,,5161444,2026.06.14,"#케이팝악령퇴치사,#악령퇴치사",SnapBuzz,"94,600",https://img.youtube.com/vi/nFNzzrsDuxQ/mqdefault.jpg,nFNzzrsDuxQ
일간,2026-06-15,shorts,미국,게임,조회수 순위,9,+17,여러분… 역대급으로 가장 재밌는 여름이 될 것 같아요 ⚽  @YouTube @FIFA,5158400,2026.06.11,"#광고,#피파월드컵",courtreezy,"5,020,000",https://img.youtube.com/vi/1jh3eJOixmc/mqdefault.jpg,1jh3eJOixmc
일간,2026-06-15,shorts,미국,게임,조회수 순위,10,+21,EWWWW......,5132489,2025.07.09,,PresentHunt,"12,300,000",https://img.youtube.com/vi/yiK4_DNmXZI/mqdefault.jpg,yiK4_DNmXZI
일간,2026-06-15,shorts,미국,게임,조회수 순위,11,+93,Cops Find Burglar Using Marco Polo Game,5030058,2026.06.14,"#bodycam,#cops",Cold Footage,"26,700",https://img.youtube.com/vi/cK_7nGfkZkE/mqdefault.jpg,cK_7nGfkZkE
일간,2026-06-15,shorts,미국,게임,조회수 순위,12,+7,Spider Cheated His Little Spider | GTA V |,5003295,2026.06.12,"#shorts,#youtubeshorts",prople,"33,100",https://img.youtube.com/vi/GKQq2Q6u3iY/mqdefault.jpg,GKQq2Q6u3iY
일간,2026-06-15,shorts,미국,게임,조회수 순위,13,+7,Geometry dash Area confirmed (Head change),4558518,2026.06.08,"#geometrydash,#3danimation",Cat the Star,"2,670,000",https://img.youtube.com/vi/cl9Lfn2Mu8c/mqdefault.jpg,cl9Lfn2Mu8c
일간,2026-06-15,shorts,미국,게임,조회수 순위,14,+24,베이컨헤드가가가 햄버거 먹는 중,4477556,2026.06.09,,Roblonarium,"2,230,000",https://img.youtube.com/vi/3eYYD_Abn0c/mqdefault.jpg,3eYYD_Abn0c
일간,2026-06-15,shorts,미국,게임,조회수 순위,15,-6,لما المكعب يركب بالمكان الصح 😮🔥 |,4426293,2025.06.23,"#ماينكرافت,#ماينكرافت_شورت",د كـــســـر D X R,"197,000",https://img.youtube.com/vi/anpGomfgRXY/mqdefault.jpg,anpGomfgRXY
일간,2026-06-15,shorts,미국,게임,조회수 순위,16,+308,HAHAHA 😂,4397871,2026.05.08,#shorts,Lovely Cat,"381,000",https://img.youtube.com/vi/_o2XR7L1B9U/mqdefault.jpg,_o2XR7L1B9U
일간,2026-06-15,shorts,미국,게임,조회수 순위,17,NEW,"이 모델 지망생, 웬만한 톱모델보다 낫네 😱",4301844,2026.06.14,"#dresstoimpress,#roblox",SassyChannie,"323,000",https://img.youtube.com/vi/Zv4PuiDg3O4/mqdefault.jpg,Zv4PuiDg3O4
일간,2026-06-15,shorts,미국,게임,조회수 순위,18,-6,Funniest GTA Mom vs Rumi Mira and Zoey,4281273,2026.04.19,"#shorts,#kpopdemonhunters",SS Vines,"401,000",https://img.youtube.com/vi/NpTo-WR32f0/mqdefault.jpg,NpTo-WR32f0
일간,2026-06-15,shorts,미국,게임,조회수 순위,19,-3,로블록스 브룩헤이븐의 베이컨 헤어와 욕심쟁이 아이,4127363,2026.06.13,,Roblonarium,"2,230,000",https://img.youtube.com/vi/Ek-UE3iKbYU/mqdefault.jpg,Ek-UE3iKbYU
일간,2026-06-15,shorts,미국,게임,조회수 순위,20,-2,Too Much Moon Wake Up In Hotel Gmod!,3998986,2026.06.10,"#shorts,#gmod",GT Mod,"1,960,000",https://img.youtube.com/vi/4iLLLuWYgfc/mqdefault.jpg,4iLLLuWYgfc
일간,2026-06-15,shorts,미국,게임,조회수 순위,21,-6,Minecraft’s finest trio,3933149,2026.06.08,,Nqisik,"4,090,000",https://img.youtube.com/vi/NiXFIsZTwr4/mqdefault.jpg,NiXFIsZTwr4
일간,2026-06-15,shorts,미국,게임,조회수 순위,22,-8,🎵🎶🍃🌳💚,3854411,2026.06.01,"#zelda,#tloz",Nancy007,"66,500",https://img.youtube.com/vi/NxH6D_iKOKc/mqdefault.jpg,NxH6D_iKOKc
일간,2026-06-15,shorts,미국,게임,조회수 순위,23,0,Every Sibling when the WiFi goes out😭😂,3790770,2026.06.11,"#roblox,#shorts",Mashles,"1,710,000",https://img.youtube.com/vi/PBZtxkvF5LM/mqdefault.jpg,PBZtxkvF5LM
일간,2026-06-15,shorts,미국,게임,조회수 순위,24,+41,Geometry dash VS Sprunki (someone is poking),3755367,2026.06.13,"#sprunki,#geometrydash",Cat the Star,"2,670,000",https://img.youtube.com/vi/yZZClIQ-5hE/mqdefault.jpg,yZZClIQ-5hE
일간,2026-06-15,shorts,미국,게임,조회수 순위,25,+78,When Baldi Meets Moon Can't Wait Till The End!!,3578296,2026.06.13,"#shorts,#garrysmod",ZOOWAKE - Games,"4,040,000",https://img.youtube.com/vi/Ycu4zIiAJUE/mqdefault.jpg,Ycu4zIiAJUE
일간,2026-06-15,shorts,미국,게임,조회수 순위,26,+829,Who is the Tallest? 😭😂 - MAIZEN Minecraft Animation,3528190,2026.06.14,"#shorts,#minecraftanimation",AJ Bro,"429,000",https://img.youtube.com/vi/VL6Vm3vn6e8/mqdefault.jpg,VL6Vm3vn6e8
일간,2026-06-15,shorts,미국,게임,조회수 순위,27,+12,He Flees The Scene After Crash! 🤯,3503555,2026.05.25,,toastbtw,"67,000",https://img.youtube.com/vi/_3zrRPmTMTU/mqdefault.jpg,_3zrRPmTMTU
일간,2026-06-15,shorts,미국,게임,조회수 순위,28,-25,로블록스에서 베이컨 헤어와 욕조 속 화난 소녀,3452650,2026.06.12,,Roblonarium,"2,230,000",https://img.youtube.com/vi/UXoeB4QD7A8/mqdefault.jpg,UXoeB4QD7A8
일간,2026-06-15,shorts,미국,게임,조회수 순위,29,+18,Rumi And udin Din Din Funny Moments,3421682,2025.12.29,"#kpopdemonhunters,#animation",Roblonime X,"94,500",https://img.youtube.com/vi/yI8nqdfl0cY/mqdefault.jpg,yI8nqdfl0cY
일간,2026-06-15,shorts,미국,게임,조회수 순위,30,-22,Wait for End 🤯,3244782,2026.06.10,"#roblox,#minecraft",OMINGKY,"1,580,000",https://img.youtube.com/vi/1ddkY0KJEJo/mqdefault.jpg,1ddkY0KJEJo
일간,2026-06-15,shorts,미국,게임,조회수 순위,31,NEW,"ROBLOX에서 플레이어들을 너무 심하게 ""팩폭""했을 때!! 😬🤭",3179282,2026.06.15,,Lana's Life,"9,380,000",https://img.youtube.com/vi/BcozEPjFc1g/mqdefault.jpg,BcozEPjFc1g
일간,2026-06-15,shorts,미국,게임,조회수 순위,32,NEW,When Baldi Meets New Moon Wake Up Wait Till The End!!,3154986,2026.06.15,"#shorts,#garrysmod",ZOOWAKE - Games,"4,040,000",https://img.youtube.com/vi/ja0uuJfz9MY/mqdefault.jpg,ja0uuJfz9MY
일간,2026-06-15,shorts,미국,게임,조회수 순위,33,+33,,3137974,2026.05.08,"#absolutecinema,#Shorts",Luiiy,"50,400",https://img.youtube.com/vi/VEOk6AQzkPY/mqdefault.jpg,VEOk6AQzkPY
일간,2026-06-15,shorts,미국,게임,조회수 순위,34,+55,,3121787,2026.06.12,"#케이팝데몬헌터스,#데몬헌터스",SnapBuzz,"94,600",https://img.youtube.com/vi/hWgfmGufr9k/mqdefault.jpg,hWgfmGufr9k
일간,2026-06-15,shorts,미국,게임,조회수 순위,35,-18,This PS5 Controller Has INSANE Hidden Features!,3114255,2026.03.25,"#ps5,#gaming",dimfected,"109,000",https://img.youtube.com/vi/PHDoUN-xhGs/mqdefault.jpg,PHDoUN-xhGs
일간,2026-06-15,shorts,미국,게임,조회수 순위,36,-8,Who can explain 🤣,3097126,2026.03.15,"#trend,#rollsroyce",Official.exotic,"14,400",https://img.youtube.com/vi/xlcwbbh74b4/mqdefault.jpg,xlcwbbh74b4
일간,2026-06-15,shorts,미국,게임,조회수 순위,37,NEW,그의 비밀 짝사랑 상대를 찾았어요! 😳,2924462,2026.06.14,#!/about,KAYE,"3,040,000",https://img.youtube.com/vi/a0VzWxemyBo/mqdefault.jpg,a0VzWxemyBo
일간,2026-06-15,shorts,미국,게임,조회수 순위,38,+76,카메라에 포착된 가장 놀라운 동물들의 순간,2861296,2026.06.12,#반바지,AmitPedia,"141,000",https://img.youtube.com/vi/dVw_u4CGhJw/mqdefault.jpg,dVw_u4CGhJw
일간,2026-06-15,shorts,미국,게임,조회수 순위,39,NEW,Hide from the Cops Camera Challenge 💀 @aydonholley,2727736,2026.06.14,,Hero DW,"6,920,000",https://img.youtube.com/vi/nHNM1OMyrG8/mqdefault.jpg,nHNM1OMyrG8
일간,2026-06-15,shorts,미국,게임,조회수 순위,40,+14,20 + 20 + 20 + 7 = ? ☠️ 🫴🫴,2720096,2026.04.26,,Magic Tiles 3 Official,"99,100",https://img.youtube.com/vi/J0z3QS3SDVw/mqdefault.jpg,J0z3QS3SDVw
일간,2026-06-15,shorts,미국,게임,조회수 순위,41,+8,Not Every Man Deserves Forgiveness 💀🖤,2672845,2026.01.28,"#callofduty,#gaming",JayPlaysRTX,"201,000",https://img.youtube.com/vi/xAzbA_WKUnk/mqdefault.jpg,xAzbA_WKUnk
일간,2026-06-15,shorts,미국,게임,조회수 순위,42,+27,숨바꼭질 그림 그리기 게임 (메차 카멜레온),2642070,2026.06.14,"#게임,#인디게임",grizzbx,"44,300",https://img.youtube.com/vi/lOEqhFmshNg/mqdefault.jpg,lOEqhFmshNg
일간,2026-06-15,shorts,미국,게임,조회수 순위,43,+237,캣냅이 구구 가가 펭귄을 납치하려 한다! 리미널 호텔 게리 모드 GMOD에서,2623078,2026.06.09,"#가리스모드,#gmod",ZOOWAKE - Games,"4,040,000",https://img.youtube.com/vi/SZJLHVl4eHQ/mqdefault.jpg,SZJLHVl4eHQ
일간,2026-06-15,shorts,미국,게임,조회수 순위,44,-20,best trap??,2594543,2026.06.12,"#minecraft,#minecraftshorts",yyyketjow,"428,000",https://img.youtube.com/vi/MC6tbZaya_k/mqdefault.jpg,MC6tbZaya_k
일간,2026-06-15,shorts,미국,게임,조회수 순위,45,-16,Konuslar orasidan drift! 😱 Urilmasdan manzilga yetadimi? (BeamNG.drive),2497898,2026.05.09,"#beamng,#drift",FaZlo,"53,600",https://img.youtube.com/vi/ZQjEHBCas_g/mqdefault.jpg,ZQjEHBCas_g
일간,2026-06-15,shorts,미국,게임,조회수 순위,46,+35,A Phone Call at the Hairdresser's ✂️😂,2471947,2026.05.03,"#kpopdemonhunters,#animation",SS Vines,"401,000",https://img.youtube.com/vi/_c_s7D57IA4/mqdefault.jpg,_c_s7D57IA4
일간,2026-06-15,shorts,미국,게임,조회수 순위,47,+15,Police Dog Jumps Off 40 Foot Bridge,2436994,2026.06.09,"#bodycam,#cops",Cold Footage,"26,700",https://img.youtube.com/vi/zOrajpmlSAE/mqdefault.jpg,zOrajpmlSAE
일간,2026-06-15,shorts,미국,게임,조회수 순위,48,+36,Tiny to GIANT BMW Car vs Microvan,2415366,2026.06.12,,MrQueen Garage,"932,000",https://img.youtube.com/vi/H2g6PIo11RY/mqdefault.jpg,H2g6PIo11RY
일간,2026-06-15,shorts,미국,게임,조회수 순위,49,+67,,2381117,2026.05.09,"#absolutecinema,#Shorts",Luiiy,"50,400",https://img.youtube.com/vi/HEdzQcrCYSg/mqdefault.jpg,HEdzQcrCYSg
일간,2026-06-15,shorts,미국,게임,조회수 순위,50,+6,Rumi Demon and Lovely Rumi are competing to win her hair. 😎,2348193,2026.06.11,,ZoeyKpop,"255,000",https://img.youtube.com/vi/jLUm4FfWd-k/mqdefault.jpg,jLUm4FfWd-k
일간,2026-06-15,shorts,미국,게임,조회수 순위,51,-19,누가 살인마로부터 탈출할 수 있을까? 하지만 울타리는 점점 더 커져간다 💀 @aydonholley @pronobi1,2346860,2026.06.10,,Hero DW,"6,920,000",https://img.youtube.com/vi/w1FIuPmoFMg/mqdefault.jpg,w1FIuPmoFMg
일간,2026-06-15,shorts,미국,게임,조회수 순위,52,-46,고양이 모드 😂,2330754,2026.06.13,#반바지,Savage Vlogs,"23,500,000",https://img.youtube.com/vi/JA9K7kZ0qkc/mqdefault.jpg,JA9K7kZ0qkc
일간,2026-06-15,shorts,미국,게임,조회수 순위,53,-10,pitch challenge with my high school choir students,2325147,2026.02.05,"#solfeggio,#vocalwarmup",MAGIC VOICES,"112,000",https://img.youtube.com/vi/zE6OtVhr2jM/mqdefault.jpg,zE6OtVhr2jM
일간,2026-06-15,shorts,미국,게임,조회수 순위,54,+7,SPLINK and ROMY trying to get LUCKY in real life ❤️,2311876,2026.06.08,"#stealabrainrot,#roblox",COBLOX,"126,000",https://img.youtube.com/vi/XKDsRSQd-_E/mqdefault.jpg,XKDsRSQd-_E
일간,2026-06-15,shorts,미국,게임,조회수 순위,55,+20,Mbappe X Yamal 10 Number Jersey Skills🤣🥶☠️,2276995,2026.05.06,"#eafc24,#eafifa",PRIME FCC,"142,000",https://img.youtube.com/vi/qRViWZTzi78/mqdefault.jpg,qRViWZTzi78
일간,2026-06-15,shorts,미국,게임,조회수 순위,56,-20,가장 친한 친구가 사라졌다 😨,2253666,2026.06.14,,His Story,"3,060,000",https://img.youtube.com/vi/mI_VTtEqfr4/mqdefault.jpg,mI_VTtEqfr4
일간,2026-06-15,shorts,미국,게임,조회수 순위,57,NEW,DTI에서 역대급 트리오 룩을 선보였다 😱,2230237,2026.06.15,"#dresstoimpress,#roblox",SassyChannie,"323,000",https://img.youtube.com/vi/WXaTswvOqwg/mqdefault.jpg,WXaTswvOqwg
일간,2026-06-15,shorts,미국,게임,조회수 순위,58,-47,Time Wasting 🥶,2224126,2026.06.13,"#worldcupvibes,#football",NaniFoty,"554,000",https://img.youtube.com/vi/u7cFXBrocPs/mqdefault.jpg,u7cFXBrocPs
일간,2026-06-15,shorts,미국,게임,조회수 순위,59,+51,타키스 아니면 핫 치토스 😱,2203965,2026.05.03,#반바지,Savage Vlogs,"23,500,000",https://img.youtube.com/vi/8rR9tbe7YJk/mqdefault.jpg,8rR9tbe7YJk
일간,2026-06-15,shorts,미국,게임,조회수 순위,60,-19,Help JJ Save Him 😭😞 - MAIZEN Minecraft Animation,2153105,2026.06.14,"#minecraftanimation,#shorts",RYVO GAMING,"311,000",https://img.youtube.com/vi/ok-rB0F5_Qo/mqdefault.jpg,ok-rB0F5_Qo
일간,2026-06-15,shorts,미국,게임,조회수 순위,61,+11,생일 축하 형님 깜짝 선물😱,2123326,2025.07.31,,Bi Bi TV,"3,140,000",https://img.youtube.com/vi/_9wdt4bELzM/mqdefault.jpg,_9wdt4bELzM
일간,2026-06-15,shorts,미국,게임,조회수 순위,62,+20,이 생일 선물은 절대 주지 마세요 😂🎁,2085348,2025.07.23,,Bi Bi TV,"3,140,000",https://img.youtube.com/vi/H4I8hPK27Ac/mqdefault.jpg,H4I8hPK27Ac
일간,2026-06-15,shorts,미국,게임,조회수 순위,63,-8,릴리 러브브레이즈와 포피를 기분 상하게 하지 마세요😆 포피 플레이타임 5 밈,2044556,2026.05.25,,Blips,"816,000",https://img.youtube.com/vi/IInHq6Olxus/mqdefault.jpg,IInHq6Olxus
일간,2026-06-15,shorts,미국,게임,조회수 순위,64,NEW,"9개 성공, 마지막 하나 남았다 😤",2039651,2026.06.15,,His Story,"3,060,000",https://img.youtube.com/vi/cI3n46bRA-o/mqdefault.jpg,cI3n46bRA-o
일간,2026-06-15,shorts,미국,게임,조회수 순위,65,+12,funny daddy & mommy I need your help,1984245,2026.06.08,,PresentHunt,"12,300,000",https://img.youtube.com/vi/tGgVKHXeyuQ/mqdefault.jpg,tGgVKHXeyuQ
일간,2026-06-15,shorts,미국,게임,조회수 순위,66,-13,200 IQ 팀워크 TF2 vs 로블록스 // 팀 포트리스 웃긴 애니메이션,1957324,2026.05.12,"#tf2,#밈",MOLDRY,"335,000",https://img.youtube.com/vi/-mHhAsiGeFU/mqdefault.jpg,-mHhAsiGeFU
일간,2026-06-15,shorts,미국,게임,조회수 순위,67,+35,Choose One 😍 Who is Spy? Demoman or Medic // Team Fortress Funny Animation,1932984,2025.12.09,"#tf2,#memes",MOLDRY,"335,000",https://img.youtube.com/vi/fkozsV4qGgQ/mqdefault.jpg,fkozsV4qGgQ
일간,2026-06-15,shorts,미국,게임,조회수 순위,68,-38,엄마가 재미를 금지했어요 😭,1931214,2026.06.14,,His Story,"3,060,000",https://img.youtube.com/vi/zjVZ3raUrFk/mqdefault.jpg,zjVZ3raUrFk
일간,2026-06-15,shorts,미국,게임,조회수 순위,69,NEW,,1852801,2026.06.14,"#subs,#bigguy",Jordon,"213,000",https://img.youtube.com/vi/PPIW4Wb_MHE/mqdefault.jpg,PPIW4Wb_MHE
일간,2026-06-15,shorts,미국,게임,조회수 순위,70,+94,Rumi Demon and Lily AND Rumi knocks on the door looking for relatives 😍😍😍,1849999,2026.05.22,,ZoeyKpop,"255,000",https://img.youtube.com/vi/o7Z7a0WwMCM/mqdefault.jpg,o7Z7a0WwMCM
일간,2026-06-15,shorts,미국,게임,조회수 순위,71,-25,The Game Really Said “That One Didn’t Count” 💀,1841625,2026.06.09,"#gaming,#007firstlight",dimfected,"109,000",https://img.youtube.com/vi/VMIhY5lrzQ8/mqdefault.jpg,VMIhY5lrzQ8
일간,2026-06-15,shorts,미국,게임,조회수 순위,72,+16,Geometry dash sleep or switch (easy vs hard demon),1812432,2026.05.04,"#geometrydash,#funny",Cat the Star,"2,670,000",https://img.youtube.com/vi/JwCf7CFUb14/mqdefault.jpg,JwCf7CFUb14
일간,2026-06-15,shorts,미국,게임,조회수 순위,73,NEW,Problems with the Google Logo 😂,1804681,2026.06.15,,YosherYaps,"35,700",https://img.youtube.com/vi/c_Iz5d0GrWA/mqdefault.jpg,c_Iz5d0GrWA
일간,2026-06-15,shorts,미국,게임,조회수 순위,74,NEW,Grow a Garden 2 Is Out Now! | Roblox,1802016,2026.06.15,"#edit,#shorts",Robert Noob,"3,390,000",https://img.youtube.com/vi/N8NNS4-yvl4/mqdefault.jpg,N8NNS4-yvl4
일간,2026-06-15,shorts,미국,게임,조회수 순위,75,+24,Different ball sizes vs Giant goalkeeper🔥,1768281,2026.06.10,,SILVADXT,"439,000",https://img.youtube.com/vi/EewwRtcjYuA/mqdefault.jpg,EewwRtcjYuA
일간,2026-06-15,shorts,미국,게임,조회수 순위,76,NEW,Moon Wake Up But All Tiny? Can We Find Big Moon!,1741032,2026.06.14,"#shorts,#gmod",GT Mod,"1,960,000",https://img.youtube.com/vi/AI_HUPuUj1I/mqdefault.jpg,AI_HUPuUj1I
일간,2026-06-15,shorts,미국,게임,조회수 순위,77,NEW,10/10 World Cup Goals 🥶,1704764,2026.06.15,,NaniFoty,"554,000",https://img.youtube.com/vi/RXOnJu9QzH8/mqdefault.jpg,RXOnJu9QzH8
일간,2026-06-15,shorts,미국,게임,조회수 순위,78,+66,💀Understanding 0%  🔥Vibing 1000%,1682921,2026.03.12,,Magic Tiles 3 Official,"99,100",https://img.youtube.com/vi/_8mFp7c2wCU/mqdefault.jpg,_8mFp7c2wCU
일간,2026-06-15,shorts,미국,게임,조회수 순위,79,+17,Bad Little Spider Cheated Kamla | GTA V |,1680026,2026.01.28,#shorts,The MrTillu,"109,000",https://img.youtube.com/vi/09xsQDZv1p0/mqdefault.jpg,09xsQDZv1p0
일간,2026-06-15,shorts,미국,게임,조회수 순위,80,-23,10/10 World Cup Goals 🤯,1671285,2026.06.14,"#worldcupvibes,#football",NaniFoty,"554,000",https://img.youtube.com/vi/D88gsOYw9IU/mqdefault.jpg,D88gsOYw9IU
일간,2026-06-15,shorts,미국,게임,조회수 순위,81,+66,발디와 레인보우 POU는 넥스트봇에게서 숨을 수 있을까?,1659904,2025.11.09,"#gmod,#garrysmod",Bzzero,"652,000",https://img.youtube.com/vi/e19bt-Qxu8w/mqdefault.jpg,e19bt-Qxu8w
일간,2026-06-15,shorts,미국,게임,조회수 순위,82,NEW,미국 대표팀!!! 🇺🇸⚽️ @YouTube @fifa,1651435,2026.06.14,"#광고,#fifaworldcup",courtreezy,"5,020,000",https://img.youtube.com/vi/_Q6rBxfpT6E/mqdefault.jpg,_Q6rBxfpT6E
일간,2026-06-15,shorts,미국,게임,조회수 순위,83,-31,소금물을 이용해 모발 질감을 개선하는 방법😲,1648019,2026.05.05,,Dillon Latham,"1,040,000",https://img.youtube.com/vi/ece4Dv8GbmE/mqdefault.jpg,ece4Dv8GbmE
일간,2026-06-15,shorts,미국,게임,조회수 순위,84,+125,"음식 맞히기, 목숨은 딱 3개 🤣",1645321,2026.06.08,"#hardcoreminecraft,#100days",Moose,"5,170,000",https://img.youtube.com/vi/H4wvfsxGvQU/mqdefault.jpg,H4wvfsxGvQU
일간,2026-06-15,shorts,미국,게임,조회수 순위,85,NEW,마인크래프트에 필요한 모든 것을 직접 설치해야 합니다.,1617211,2026.06.15,"#마인크래프트,#마인크래프트밈",DrDonut Clips,"1,420,000",https://img.youtube.com/vi/I6_MXZ5gNlA/mqdefault.jpg,I6_MXZ5gNlA
일간,2026-06-15,shorts,미국,게임,조회수 순위,86,-73,Bro didn’t make it to chapter 7 😭🙏,1612316,2026.06.08,"#fortnite,#fortniteshorts",Xels,"938,000",https://img.youtube.com/vi/wP1eflBcC5A/mqdefault.jpg,wP1eflBcC5A
일간,2026-06-15,shorts,미국,게임,조회수 순위,87,+111,Left 4 Dead 좀비에게서 누가 살아남을 수 있을까 💀@aydonholley @pronobi1 @michael_franko,1606657,2026.06.13,,Hero DW,"6,920,000",https://img.youtube.com/vi/pThHhYjtVmw/mqdefault.jpg,pThHhYjtVmw
일간,2026-06-15,shorts,미국,게임,조회수 순위,88,-12,약탈자 그 소리 🏹,1591365,2026.06.13,"#lordshen,#bayshotyt",Bacon Shorts,"186,000",https://img.youtube.com/vi/72kghxMIzxg/mqdefault.jpg,72kghxMIzxg
일간,2026-06-15,shorts,미국,게임,조회수 순위,89,NEW,형은 절대 잊지 않을 거야...,1568312,2026.06.15,"#마인크래프트,#마인크래프트밈",Midmysticx,"1,470,000",https://img.youtube.com/vi/_qFhGnnzfys/mqdefault.jpg,_qFhGnnzfys
