Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Likes,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,게임,좋아요 순위,1,+31,사람들은 나를 피카소라 불러 (메카 카멜레온),167219,2026.06.12,"#게임,#인디게임",grizzbx,"44,300",https://img.youtube.com/vi/alKuYgWPgZs/mqdefault.jpg,alKuYgWPgZs
일간,2026-06-15,shorts,미국,게임,좋아요 순위,2,NEW,그의 비밀 짝사랑 상대를 찾았어요! 😳,148295,2026.06.14,#!/about,KAYE,"3,040,000",https://img.youtube.com/vi/a0VzWxemyBo/mqdefault.jpg,a0VzWxemyBo
일간,2026-06-15,shorts,미국,게임,좋아요 순위,3,+11,Cops Find Burglar Using Marco Polo Game,136815,2026.06.14,"#bodycam,#cops",Cold Footage,"26,700",https://img.youtube.com/vi/cK_7nGfkZkE/mqdefault.jpg,cK_7nGfkZkE
일간,2026-06-15,shorts,미국,게임,좋아요 순위,4,+13,TESTING 1960’s CANNED DRINKING WATER CAN FOR LEAD!,98232,2026.06.12,,Mrs.Fallout,"3,160,000",https://img.youtube.com/vi/dcRfAsd--pM/mqdefault.jpg,dcRfAsd--pM
일간,2026-06-15,shorts,미국,게임,좋아요 순위,5,-1,숨바꼭질 그림 그리기 게임 (메차 카멜레온),83436,2026.06.14,"#게임,#인디게임",grizzbx,"44,300",https://img.youtube.com/vi/lOEqhFmshNg/mqdefault.jpg,lOEqhFmshNg
일간,2026-06-15,shorts,미국,게임,좋아요 순위,6,+7,가장 웃긴 아기 영상 모음 TOP,74833,2026.06.12,,albatross,"31,600",https://img.youtube.com/vi/Fu2Q2mTD7hU/mqdefault.jpg,Fu2Q2mTD7hU
일간,2026-06-15,shorts,미국,게임,좋아요 순위,7,NEW,DTI에서 역대급 트리오 룩을 선보였다 😱,73288,2026.06.15,"#dresstoimpress,#roblox",SassyChannie,"323,000",https://img.youtube.com/vi/WXaTswvOqwg/mqdefault.jpg,WXaTswvOqwg
일간,2026-06-15,shorts,미국,게임,좋아요 순위,8,+462,"이 모델 지망생, 웬만한 톱모델보다 낫네 😱",68238,2026.06.14,"#dresstoimpress,#roblox",SassyChannie,"323,000",https://img.youtube.com/vi/Zv4PuiDg3O4/mqdefault.jpg,Zv4PuiDg3O4
일간,2026-06-15,shorts,미국,게임,좋아요 순위,9,+370,Hacker Spawn Days 😱📈,58332,2026.06.14,"#99nightintheforest,#roblox",Noobee,"1,250,000",https://img.youtube.com/vi/CVOE6lhgZt4/mqdefault.jpg,CVOE6lhgZt4
일간,2026-06-15,shorts,미국,게임,좋아요 순위,10,NEW,"9개 성공, 마지막 하나 남았다 😤",57390,2026.06.15,,His Story,"3,060,000",https://img.youtube.com/vi/cI3n46bRA-o/mqdefault.jpg,cI3n46bRA-o
일간,2026-06-15,shorts,미국,게임,좋아요 순위,11,+1,Minecraft’s finest trio,55477,2026.06.08,,Nqisik,"4,090,000",https://img.youtube.com/vi/NiXFIsZTwr4/mqdefault.jpg,NiXFIsZTwr4
일간,2026-06-15,shorts,미국,게임,좋아요 순위,12,+27,트래비스 스콧이 저에게 리매치를 신청했어요 🌵🏃,53077,2026.06.14,,IShowSpeed,"55,100,000",https://img.youtube.com/vi/f11cF0EBsn0/mqdefault.jpg,f11cF0EBsn0
일간,2026-06-15,shorts,미국,게임,좋아요 순위,13,NEW,We Lost A 2022 Legend Today,53039,2026.06.15,,Tyrecordslol,"6,060,000",https://img.youtube.com/vi/Bteqx9A5e2U/mqdefault.jpg,Bteqx9A5e2U
