Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Comments,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,과학기술,댓글 순위,1,NEW,박제 아닌 호랑이 만들기 🐯🎨,1053,2026.06.10,"#3D프린팅,#Creality",Creality,"209,000",https://img.youtube.com/vi/KChUoKevPZU/mqdefault.jpg,KChUoKevPZU
일간,2026-06-15,shorts,미국,과학기술,댓글 순위,2,NEW,FREE IPHONE 17 PRO 😍,1000,2026.03.15,"#shorts,#apple",MONEY TALKS WIRELESS,"7,570,000",https://img.youtube.com/vi/U5WKFvUn-go/mqdefault.jpg,U5WKFvUn-go
일간,2026-06-15,shorts,미국,과학기술,댓글 순위,3,NEW,He wanted to fix His Phone by Putting it in Rice 🫣,1000,2025.12.16,"#shorts,#moneytalkswireless",MONEY TALKS WIRELESS,"7,570,000",https://img.youtube.com/vi/VOMqWswVwCI/mqdefault.jpg,VOMqWswVwCI
일간,2026-06-15,shorts,미국,과학기술,댓글 순위,4,+18,Toyota’s new AI robot just hit this in one try 🏀🤖,601,2026.06.09,"#shorts,#ytshorts",Nexora,"485,000",https://img.youtube.com/vi/6Wro59v6NS4/mqdefault.jpg,6Wro59v6NS4
일간,2026-06-15,shorts,미국,과학기술,댓글 순위,5,+1,뭐가 진짜인지 모르겠어 😳,600,2026.06.08,"#shorts,#apple",MONEY TALKS WIRELESS,"7,570,000",https://img.youtube.com/vi/T4IunqBEw1o/mqdefault.jpg,T4IunqBEw1o
일간,2026-06-15,shorts,미국,과학기술,댓글 순위,6,NEW,Bodybuilding Situation Is Sad 😢,590,2026.06.15,"#science,#shorts",Chubbyemu,"3,710,000",https://img.youtube.com/vi/TL1dRsbC3oo/mqdefault.jpg,TL1dRsbC3oo
일간,2026-06-15,shorts,미국,과학기술,댓글 순위,7,-2,“The guy hit the jackpot💀”,500,2026.05.06,"#pcgaming,#benchmark",Hardware Nf,"151,000",https://img.youtube.com/vi/Gsk7x6-3hMc/mqdefault.jpg,Gsk7x6-3hMc
일간,2026-06-15,shorts,미국,과학기술,댓글 순위,8,NEW,이 건물은 가짜입니다,466,2026.06.15,,Lectec | Everyday Science,"130,000",https://img.youtube.com/vi/TjkdlPKMVu8/mqdefault.jpg,TjkdlPKMVu8
일간,2026-06-15,shorts,미국,과학기술,댓글 순위,9,NEW,Getting Married for Claude Fable,428,2026.06.15,,Alberta Tech,"449,000",https://img.youtube.com/vi/nA3ZA02xWAw/mqdefault.jpg,nA3ZA02xWAw
일간,2026-06-15,shorts,미국,과학기술,댓글 순위,10,+1,3D 프린터가 돈값 한다는 걸 아내에게 증명하기 (8편),400,2026.06.09,"#3D프린팅,#3D프린트",Jake Ward,"138,000",https://img.youtube.com/vi/Q7KMdoSZrh4/mqdefault.jpg,Q7KMdoSZrh4
일간,2026-06-15,shorts,미국,과학기술,댓글 순위,11,-3,Valve는 Steam 기프트 카드를 폐지합니다.,400,2026.06.12,,Zack Shutt,"220,000",https://img.youtube.com/vi/Qm5H7cmazDU/mqdefault.jpg,Qm5H7cmazDU
일간,2026-06-15,shorts,미국,과학기술,댓글 순위,12,NEW,모든 텍스트 비디오,343,2026.06.15,,UFD Tech,"1,470,000",https://img.youtube.com/vi/vYhPv-SYod8/mqdefault.jpg,vYhPv-SYod8
일간,2026-06-15,shorts,미국,과학기술,댓글 순위,13,NEW,"이메일 알림이 65,000개나 쌓였습니다",315,2026.06.15,,Parker Burton,"1,280,000",https://img.youtube.com/vi/XWaaPtOrZOY/mqdefault.jpg,XWaaPtOrZOY
일간,2026-06-15,shorts,미국,과학기술,댓글 순위,14,-1,Would You Trust Your Lock Anymore? 😳,300,2026.05.14,"#engineering,#technology",mechdesign98,"95,200",https://img.youtube.com/vi/Ow6ewsT9uL0/mqdefault.jpg,Ow6ewsT9uL0
