Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,과학기술,조회수 순위,1,0,WATCH Old School Bottle Waxing Technique In Action 🤯,12021557,2026.05.23,,Working Planet Shorts,"518,000",https://img.youtube.com/vi/4duyVie7GbY/mqdefault.jpg,4duyVie7GbY
일간,2026-06-15,shorts,미국,과학기술,조회수 순위,2,0,Would You Trust Your Lock Anymore? 😳,11406510,2026.05.14,"#engineering,#technology",mechdesign98,"95,200",https://img.youtube.com/vi/Ow6ewsT9uL0/mqdefault.jpg,Ow6ewsT9uL0
일간,2026-06-15,shorts,미국,과학기술,조회수 순위,3,0,1️⃣ Best creative gift ideas - Gun Shape Secret Storage Jet Flame Lighter ( # 2456 ) ‪,6388707,2026.06.09,,MaviGadget,"45,200,000",https://img.youtube.com/vi/pqnztLKPjxI/mqdefault.jpg,pqnztLKPjxI
일간,2026-06-15,shorts,미국,과학기술,조회수 순위,4,+59,How Trains Use Megawatt Magnets to Bite the Tracks!🚄,5370775,2026.06.14,,Peace Working Shorts,"744,000",https://img.youtube.com/vi/XYJwrYQXmYg/mqdefault.jpg,XYJwrYQXmYg
일간,2026-06-15,shorts,미국,과학기술,조회수 순위,5,+13,▶️ 바비큐 케밥 제조기 (박스형 기계) - 제품 링크는 프로필에 있습니다 (,3825954,2026.06.09,#3049),MaviGadget,"45,200,000",https://img.youtube.com/vi/-9G74-BcbXU/mqdefault.jpg,-9G74-BcbXU
일간,2026-06-15,shorts,미국,과학기술,조회수 순위,6,+1,🔔Metal rings for fashion and safety - Stainless Steel Self Defense Rotatable Foldable Ring (# 1608),3228847,2026.05.23,,MaviGadget,"45,200,000",https://img.youtube.com/vi/MT4RMtG0zv0/mqdefault.jpg,MT4RMtG0zv0
일간,2026-06-15,shorts,미국,과학기술,조회수 순위,7,+1,"DIY Rain Boot Chicken Feeder – Upcycled, Automatic, Zero Waste 🐔",2983702,2026.05.14,"#RainBootFeeder,#UpcycledChickenFeeder",Discovery and Learning,"939,000",https://img.youtube.com/vi/RkP0sF2LL7Y/mqdefault.jpg,RkP0sF2LL7Y
일간,2026-06-15,shorts,미국,과학기술,조회수 순위,8,+1,✅ Baby Comfy Safety Lightweight Bed Side Crib ( # 2346 )  Product Link in Bio,2977914,2026.02.25,,MaviGadget,"45,200,000",https://img.youtube.com/vi/SbJwLgzkZ3Q/mqdefault.jpg,SbJwLgzkZ3Q
일간,2026-06-15,shorts,미국,과학기술,조회수 순위,9,-5,“The guy hit the jackpot💀”,2910670,2026.05.06,"#pcgaming,#benchmark",Hardware Nf,"151,000",https://img.youtube.com/vi/Gsk7x6-3hMc/mqdefault.jpg,Gsk7x6-3hMc
일간,2026-06-15,shorts,미국,과학기술,조회수 순위,10,-4,This Giant Robot Tore Straight Through the Armor,2877205,2026.05.17,,NHRL,"912,000",https://img.youtube.com/vi/Y-Sy5QKD1xI/mqdefault.jpg,Y-Sy5QKD1xI
일간,2026-06-15,shorts,미국,과학기술,조회수 순위,11,+3,카메라가 날아다닐 수 있다면 어떨까요? 👀 | Insta360 X5 & Antigravity A1,2746585,2026.03.29,"#Insta360,#Insta360X5",Insta360,"1,500,000",https://img.youtube.com/vi/WgCZDoJIckw/mqdefault.jpg,WgCZDoJIckw
일간,2026-06-15,shorts,미국,과학기술,조회수 순위,12,+3,How to move elderly in bed safely and easily  ( # 1518 ) ▶️ ‪@MaviGadgets‬ Easy Roller Pillow,2647352,2025.11.07,,MaviGadget,"45,200,000",https://img.youtube.com/vi/twRe6p3cim8/mqdefault.jpg,twRe6p3cim8
일간,2026-06-15,shorts,미국,과학기술,조회수 순위,13,0,You Can Hear This Hit Coming,2290145,2026.03.19,,NHRL,"912,000",https://img.youtube.com/vi/fXUk_0qIef0/mqdefault.jpg,fXUk_0qIef0
