Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Likes,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,과학기술,좋아요 순위,1,NEW,The Funniest Artemis II Crew Moment Yet,119308,2026.06.10,"#ArtemisII,#NASA",NeuraX,"85,000",https://img.youtube.com/vi/uzk4yeWTChI/mqdefault.jpg,uzk4yeWTChI
일간,2026-06-15,shorts,미국,과학기술,좋아요 순위,2,NEW,박제 아닌 호랑이 만들기 🐯🎨,73634,2026.06.10,"#3D프린팅,#Creality",Creality,"209,000",https://img.youtube.com/vi/KChUoKevPZU/mqdefault.jpg,KChUoKevPZU
일간,2026-06-15,shorts,미국,과학기술,좋아요 순위,3,-2,3D 프린터가 돈값 한다는 걸 아내에게 증명하기 (8편),69092,2026.06.09,"#3D프린팅,#3D프린트",Jake Ward,"138,000",https://img.youtube.com/vi/Q7KMdoSZrh4/mqdefault.jpg,Q7KMdoSZrh4
일간,2026-06-15,shorts,미국,과학기술,좋아요 순위,4,-2,Would You Trust Your Lock Anymore? 😳,68601,2026.05.14,"#engineering,#technology",mechdesign98,"95,200",https://img.youtube.com/vi/Ow6ewsT9uL0/mqdefault.jpg,Ow6ewsT9uL0
일간,2026-06-15,shorts,미국,과학기술,좋아요 순위,5,NEW,이 건물은 가짜입니다,36071,2026.06.15,,Lectec | Everyday Science,"130,000",https://img.youtube.com/vi/TjkdlPKMVu8/mqdefault.jpg,TjkdlPKMVu8
일간,2026-06-15,shorts,미국,과학기술,좋아요 순위,6,0,악수하는 나사를 직접 만들어 봤습니다,31747,2026.06.11,,Pygmallionaire,"546,000",https://img.youtube.com/vi/SRrpL8QlCgY/mqdefault.jpg,SRrpL8QlCgY
일간,2026-06-15,shorts,미국,과학기술,좋아요 순위,7,NEW,모든 텍스트 비디오,29328,2026.06.15,,UFD Tech,"1,470,000",https://img.youtube.com/vi/vYhPv-SYod8/mqdefault.jpg,vYhPv-SYod8
일간,2026-06-15,shorts,미국,과학기술,좋아요 순위,8,-5,“The guy hit the jackpot💀”,29164,2026.05.06,"#pcgaming,#benchmark",Hardware Nf,"151,000",https://img.youtube.com/vi/Gsk7x6-3hMc/mqdefault.jpg,Gsk7x6-3hMc
일간,2026-06-15,shorts,미국,과학기술,좋아요 순위,9,+4,1️⃣ Best creative gift ideas - Gun Shape Secret Storage Jet Flame Lighter ( # 2456 ) ‪,23499,2026.06.09,,MaviGadget,"45,200,000",https://img.youtube.com/vi/pqnztLKPjxI/mqdefault.jpg,pqnztLKPjxI
일간,2026-06-15,shorts,미국,과학기술,좋아요 순위,10,+1,카메라가 날아다닐 수 있다면 어떨까요? 👀 | Insta360 X5 & Antigravity A1,20842,2026.03.29,"#Insta360,#Insta360X5",Insta360,"1,500,000",https://img.youtube.com/vi/WgCZDoJIckw/mqdefault.jpg,WgCZDoJIckw
