Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,교육,조회수 순위,1,NEW,Kindness left the woman speechless.,11912386,2026.05.21,"#kindness,#kindnessiscool",Kindness in Action,"973,000",https://img.youtube.com/vi/32t2Swzn2bc/mqdefault.jpg,32t2Swzn2bc
일간,2026-06-15,shorts,미국,교육,조회수 순위,2,0,The little girl gave a small joy.,8530642,2026.03.02,"#kindnessiscool,#kindness",Kindness in Action,"973,000",https://img.youtube.com/vi/ggsAZcvH7ck/mqdefault.jpg,ggsAZcvH7ck
일간,2026-06-15,shorts,미국,교육,조회수 순위,3,+1,A mother's love in a paper excavator.,7618536,2026.03.07,"#kindnessiscool,#kindness",Kindness in Action,"973,000",https://img.youtube.com/vi/_87NPLIIt9s/mqdefault.jpg,_87NPLIIt9s
일간,2026-06-15,shorts,미국,교육,조회수 순위,4,-3,,6605261,2026.06.13,"#알록,#이슬람",Islamic 24 Edit,"1,310,000",https://img.youtube.com/vi/EGkBVX6yHbY/mqdefault.jpg,EGkBVX6yHbY
일간,2026-06-15,shorts,미국,교육,조회수 순위,5,+1,Firefighters Use This Tool to Break In Fast 😳,5619741,2026.04.30,"#shorts,#sciene",The Fact House,"210,000",https://img.youtube.com/vi/823FqELoiuY/mqdefault.jpg,823FqELoiuY
일간,2026-06-15,shorts,미국,교육,조회수 순위,6,NEW,10달러를 100만 달러로 불렸다가 순식간에 전부 날린 남자,4366103,2026.06.15,"#트레이딩,#백만장자마인드",Creating Wealth,"468,000",https://img.youtube.com/vi/h5eyRlLGQfE/mqdefault.jpg,h5eyRlLGQfE
일간,2026-06-15,shorts,미국,교육,조회수 순위,7,-2,집에서 초콜릿 광고 찍어봤습니다,4365670,2026.06.13,,Jake Ceja,"7,950,000",https://img.youtube.com/vi/ImBS2cqhA4E/mqdefault.jpg,ImBS2cqhA4E
일간,2026-06-15,shorts,미국,교육,조회수 순위,8,-5,의사 앵무새들,4145405,2026.06.13,,Mr Por Pepe,"1,660,000",https://img.youtube.com/vi/_ivTUCZq_SY/mqdefault.jpg,_ivTUCZq_SY
일간,2026-06-15,shorts,미국,교육,조회수 순위,9,0,팔꿈치 탈구 정복술 | 응급구조사 및 응급 상황 요원을 위한 안전한 기법,4070513,2026.01.07,"#팔꿈치탈구,#탈구정술",Joint Reduction Simulation Lab,"438,000",https://img.youtube.com/vi/ggNwAMvX3Cg/mqdefault.jpg,ggNwAMvX3Cg
일간,2026-06-15,shorts,미국,교육,조회수 순위,10,+1,Baby Big Bird Sings La La La 🎵,3522999,2025.09.24,#sesamestreet,Sesame Street,"30,000,000",https://img.youtube.com/vi/vscs5SV4U7A/mqdefault.jpg,vscs5SV4U7A
일간,2026-06-15,shorts,미국,교육,조회수 순위,11,-3,Baby Flexibility Face-Off:China🇨🇳 vs France🇫🇷!,3443520,2026.02.02,"#dance,#fyp",ywddxwls,"4,420,000",https://img.youtube.com/vi/vRlP4lOoTfQ/mqdefault.jpg,vRlP4lOoTfQ
일간,2026-06-15,shorts,미국,교육,조회수 순위,12,+5,CONDA NGUYEN - 돕는 간단한 방법,3365254,2026.06.09,"#condanguyen,#친절",CONDA NGUYEN,"4,780,000",https://img.youtube.com/vi/BvXCXxhs03c/mqdefault.jpg,BvXCXxhs03c
일간,2026-06-15,shorts,미국,교육,조회수 순위,13,+35,Professional orthodontics: Expand the jaw and then straighten the teeth with braces,3143853,2026.06.12,"#braces,#dentist",Amazing Dentist,"54,800",https://img.youtube.com/vi/VA88jZ65lJE/mqdefault.jpg,VA88jZ65lJE
일간,2026-06-15,shorts,미국,교육,조회수 순위,14,-7,We always go crazy to the beats,2990328,2025.08.13,,JohnnyShuck,"142,000",https://img.youtube.com/vi/xLpdZahvERg/mqdefault.jpg,xLpdZahvERg
일간,2026-06-15,shorts,미국,교육,조회수 순위,15,-5,SUPERHERO Grandma To The Rescue! 🦸 CoComelon DIY Paper Car Craft & Toy Play,2888614,2026.01.05,"#kids,#shorts",The Melon Patch – Learning Videos for Toddlers,"572,000",https://img.youtube.com/vi/UNR79r1ZDN8/mqdefault.jpg,UNR79r1ZDN8
일간,2026-06-15,shorts,미국,교육,조회수 순위,16,+8,Watch This Tile Gap Disappear 😱,2617681,2026.02.02,"#shots,#satisfying",Future Spark,"372,000",https://img.youtube.com/vi/DOTQYrX2Ha8/mqdefault.jpg,DOTQYrX2Ha8
일간,2026-06-15,shorts,미국,교육,조회수 순위,17,-4,Senior Python Developer With 30 Years of Experience 😂😂,2523298,2025.10.13,,IT EXAM GURUJI,"163,000",https://img.youtube.com/vi/0Y82opjHbPA/mqdefault.jpg,0Y82opjHbPA
일간,2026-06-15,shorts,미국,교육,조회수 순위,18,-2,Cars are Changing Colors! | Learn Colors with Cars | Cars Driving on the Xylophone 🔴🟠🟡🟢🔵🟣,2446702,2025.12.01,"#shorts,#kidssong",Yes! Neo – Kids Songs and Cartoons,"5,850,000",https://img.youtube.com/vi/Q6A534kvCXQ/mqdefault.jpg,Q6A534kvCXQ
일간,2026-06-15,shorts,미국,교육,조회수 순위,19,0,Next Starts Now | Hyundai X FIFA World Cup 2026™,2396361,2026.06.01,,HyundaiWorldwide,"910,000",https://img.youtube.com/vi/9TNRSQvYB-A/mqdefault.jpg,9TNRSQvYB-A
일간,2026-06-15,shorts,미국,교육,조회수 순위,20,+3,Luigi as Daisy?! Daisy as Luigi?!Role Swap😂,2384453,2026.05.12,"#mariobros,#luigi",Game by emojis,"311,000",https://img.youtube.com/vi/2mjG8bzRHbw/mqdefault.jpg,2mjG8bzRHbw
일간,2026-06-15,shorts,미국,교육,조회수 순위,21,NEW,POV: They both thought they lost each other. 🥹🐾❤️,2330255,2026.06.15,"#PuppyLove,#BestFriends",International Parenting Health Institute,"126,000",https://img.youtube.com/vi/1kb5xlJye0E/mqdefault.jpg,1kb5xlJye0E
일간,2026-06-15,shorts,미국,교육,조회수 순위,22,+37,THIS Airport Scene HITS HARDER Than EXPECTED 🇺🇸,2278222,2026.06.10,"#movie,#usa",Infinite Wealth Lab,"125,000",https://img.youtube.com/vi/a_kgM_C6eZU/mqdefault.jpg,a_kgM_C6eZU
일간,2026-06-15,shorts,미국,교육,조회수 순위,23,-1,Let’s Learn ABCD Together ! ABC with playdoh | ABC Song,2228751,2026.04.11,"#cocomelon,#toddlerlearning",Hunny Bunny Kids,"838,000",https://img.youtube.com/vi/bLMsVoad2vE/mqdefault.jpg,bLMsVoad2vE
일간,2026-06-15,shorts,미국,교육,조회수 순위,24,-4,여성 거주자 청소 및 성인용 기저귀 및 침대 패드 교체,2219172,2023.11.21,,Florida Training Academy,"1,100,000",https://img.youtube.com/vi/mh8Zv21Oids/mqdefault.jpg,mh8Zv21Oids
일간,2026-06-15,shorts,미국,교육,조회수 순위,25,-13,USCG Sniper Precision Fire,2180117,2026.05.16,,Vilux,"71,700",https://img.youtube.com/vi/XgEDz4hFMIM/mqdefault.jpg,XgEDz4hFMIM
일간,2026-06-15,shorts,미국,교육,조회수 순위,26,-8,스톱워치 + Call of Duty 4,2097248,2026.06.09,,Jake Ceja,"7,950,000",https://img.youtube.com/vi/9E0ECuEIDlw/mqdefault.jpg,9E0ECuEIDlw
일간,2026-06-15,shorts,미국,교육,조회수 순위,27,+11,Kindness deserves to be repaid.,1887257,2025.12.08,"#kindness,#kindnessiscool",Kindness in Action,"973,000",https://img.youtube.com/vi/3vXtSmMM9Pg/mqdefault.jpg,3vXtSmMM9Pg
일간,2026-06-15,shorts,미국,교육,조회수 순위,28,-7,가짜 경찰 구별하는 법,1857636,2026.05.18,"#book,#법",Law By Mike,"19,000,000",https://img.youtube.com/vi/UWgol8mYNIU/mqdefault.jpg,UWgol8mYNIU
