Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Likes,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,교육,좋아요 순위,1,NEW,10달러를 100만 달러로 불렸다가 순식간에 전부 날린 남자,86315,2026.06.15,"#트레이딩,#백만장자마인드",Creating Wealth,"468,000",https://img.youtube.com/vi/h5eyRlLGQfE/mqdefault.jpg,h5eyRlLGQfE
일간,2026-06-15,shorts,미국,교육,좋아요 순위,2,-1,의사 앵무새들,79954,2026.06.13,,Mr Por Pepe,"1,660,000",https://img.youtube.com/vi/_ivTUCZq_SY/mqdefault.jpg,_ivTUCZq_SY
일간,2026-06-15,shorts,미국,교육,좋아요 순위,3,NEW,POV: They both thought they lost each other. 🥹🐾❤️,76922,2026.06.15,"#PuppyLove,#BestFriends",International Parenting Health Institute,"126,000",https://img.youtube.com/vi/1kb5xlJye0E/mqdefault.jpg,1kb5xlJye0E
일간,2026-06-15,shorts,미국,교육,좋아요 순위,4,NEW,Kindness left the woman speechless.,72637,2026.05.21,"#kindness,#kindnessiscool",Kindness in Action,"973,000",https://img.youtube.com/vi/32t2Swzn2bc/mqdefault.jpg,32t2Swzn2bc
일간,2026-06-15,shorts,미국,교육,좋아요 순위,5,-2,The little girl gave a small joy.,63211,2026.03.02,"#kindnessiscool,#kindness",Kindness in Action,"973,000",https://img.youtube.com/vi/ggsAZcvH7ck/mqdefault.jpg,ggsAZcvH7ck
일간,2026-06-15,shorts,미국,교육,좋아요 순위,6,-4,A mother's love in a paper excavator.,62763,2026.03.07,"#kindnessiscool,#kindness",Kindness in Action,"973,000",https://img.youtube.com/vi/_87NPLIIt9s/mqdefault.jpg,_87NPLIIt9s
일간,2026-06-15,shorts,미국,교육,좋아요 순위,7,+8,THIS Airport Scene HITS HARDER Than EXPECTED 🇺🇸,55005,2026.06.10,"#movie,#usa",Infinite Wealth Lab,"125,000",https://img.youtube.com/vi/a_kgM_C6eZU/mqdefault.jpg,a_kgM_C6eZU
일간,2026-06-15,shorts,미국,교육,좋아요 순위,8,NEW,뒤집어 입으려면 두 배나 비싸,48323,2026.06.14,"#바보같은부자들패션,#패션",Refashioned Hippie,"686,000",https://img.youtube.com/vi/g6i4dG9pFg4/mqdefault.jpg,g6i4dG9pFg4
일간,2026-06-15,shorts,미국,교육,좋아요 순위,9,+74,진통 중인 환자가 대변을 보고 싶다고 말할 때,39496,2026.06.14,"#간호사유머,#출산이야기",Anna The Nurse,"530,000",https://img.youtube.com/vi/myQcO2lglEc/mqdefault.jpg,myQcO2lglEc
일간,2026-06-15,shorts,미국,교육,좋아요 순위,10,+3,"생애 첫 결혼식 라이브 페인팅 도전, 과연 결과는? ✨🥹",38650,2026.06.11,#예술,Melissa Santos,"75,100",https://img.youtube.com/vi/8EAOIl9UJtg/mqdefault.jpg,8EAOIl9UJtg
일간,2026-06-15,shorts,미국,교육,좋아요 순위,11,-3,집에서 초콜릿 광고 찍어봤습니다,38584,2026.06.13,,Jake Ceja,"7,950,000",https://img.youtube.com/vi/ImBS2cqhA4E/mqdefault.jpg,ImBS2cqhA4E
일간,2026-06-15,shorts,미국,교육,좋아요 순위,12,-2,Senior Python Developer With 30 Years of Experience 😂😂,35652,2025.10.13,,IT EXAM GURUJI,"163,000",https://img.youtube.com/vi/0Y82opjHbPA/mqdefault.jpg,0Y82opjHbPA
일간,2026-06-15,shorts,미국,교육,좋아요 순위,13,-7,스톱워치 + Call of Duty 4,35621,2026.06.09,,Jake Ceja,"7,950,000",https://img.youtube.com/vi/9E0ECuEIDlw/mqdefault.jpg,9E0ECuEIDlw
일간,2026-06-15,shorts,미국,교육,좋아요 순위,14,-3,"닭을 살까요, 카메라 짐벌을 살까요?",35341,2026.06.13,,Zver,"250,000",https://img.youtube.com/vi/WT8-78kmKlg/mqdefault.jpg,WT8-78kmKlg
일간,2026-06-15,shorts,미국,교육,좋아요 순위,15,-8,Sometimes we’re so focused on the destination…life sends a cat. 😂🐱❤️,34090,2026.06.11,"#FunnyCats,#CatVideo",International Parenting Health Institute,"126,000",https://img.youtube.com/vi/d2Wzskk6iAo/mqdefault.jpg,d2Wzskk6iAo
