Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Comments,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,노하우/스타일,댓글 순위,1,+2,What Keeps A Tornado From Sucking A House Off The Foundation?,2700,2026.06.12,"#build,#howto",HAUS PLANS ®️,"1,800,000",https://img.youtube.com/vi/ehYNnFbJs5w/mqdefault.jpg,ehYNnFbJs5w
일간,2026-06-15,shorts,미국,노하우/스타일,댓글 순위,2,0,입술을 매력적으로 만들어줄 귀여운 립글로스를 골라보세요 😍💋💄,2000,2026.05.24,"#shorts,#감성",BlaBla_TV,"1,290,000",https://img.youtube.com/vi/NMU1Yc4bpTI/mqdefault.jpg,NMU1Yc4bpTI
일간,2026-06-15,shorts,미국,노하우/스타일,댓글 순위,3,NEW,내년이면 2014년생 아기들..,1600,2026.06.14,"#숏츠,#숏비디오",Misses Beauty,"100,000",https://img.youtube.com/vi/ROJertrX1GQ/mqdefault.jpg,ROJertrX1GQ
일간,2026-06-15,shorts,미국,노하우/스타일,댓글 순위,4,NEW,내년이면 2015년생 아기들..,1300,2026.06.14,"#숏츠,#숏비디오",Misses Beauty,"100,000",https://img.youtube.com/vi/TuS_Hp8qAKw/mqdefault.jpg,TuS_Hp8qAKw
일간,2026-06-15,shorts,미국,노하우/스타일,댓글 순위,5,-4,4 Antique Can Openers Tested,1200,2026.06.10,,Rescue & Restore Shorts,"1,960,000",https://img.youtube.com/vi/xwkcVpSuFcQ/mqdefault.jpg,xwkcVpSuFcQ
일간,2026-06-15,shorts,미국,노하우/스타일,댓글 순위,6,-1,Types of Teeth you may have🩶✨,1000,2026.05.24,"#shorts,#glowup",shesiconic,"65,500",https://img.youtube.com/vi/OGDfYYaGA30/mqdefault.jpg,OGDfYYaGA30
일간,2026-06-15,shorts,미국,노하우/스타일,댓글 순위,7,NEW,which one are you 🎀 tag your bestie~~,1000,2026.02.08,"#personalstyle,#fashionblogger",Halina Ta,"7,650",https://img.youtube.com/vi/5VMg-BrKw64/mqdefault.jpg,5VMg-BrKw64
일간,2026-06-15,shorts,미국,노하우/스타일,댓글 순위,8,NEW,그라미스 셰이크,1000,2023.06.27,,Cooking With Lynja,"14,800,000",https://img.youtube.com/vi/EHcj2WbDLM0/mqdefault.jpg,EHcj2WbDLM0
일간,2026-06-15,shorts,미국,노하우/스타일,댓글 순위,9,NEW,단 한 번의 결혼식을 위한 심플하거나 마법같은 웨딩드레스는 어떠세요?,1000,2024.09.15,"#샬럿,#플러스사이즈신부",Juicy Body Goddess (JBGMA-TV),"313,000",https://img.youtube.com/vi/L2rmkNcM1Bk/mqdefault.jpg,L2rmkNcM1Bk
일간,2026-06-15,shorts,미국,노하우/스타일,댓글 순위,10,NEW,얼음으로 드레이크를 만들기…,1000,2026.04.26,,Braden,"214,000",https://img.youtube.com/vi/eWfjoeLnMZo/mqdefault.jpg,eWfjoeLnMZo
일간,2026-06-15,shorts,미국,노하우/스타일,댓글 순위,11,NEW,Dallas Cowboys boots that carry the whole outfit.,755,2026.06.06,"#dreampairs,#womensfashion",DREAM PAIRS,"10,700",https://img.youtube.com/vi/rIjwLuSyqb8/mqdefault.jpg,rIjwLuSyqb8
일간,2026-06-15,shorts,미국,노하우/스타일,댓글 순위,12,-1,SHEIN 입어보기 하울,700,2026.05.30,"#sheinpartner,#패션하울",Clara Afua,"46,500",https://img.youtube.com/vi/z920CnwC-GU/mqdefault.jpg,z920CnwC-GU
일간,2026-06-15,shorts,미국,노하우/스타일,댓글 순위,13,+2,pov: the internet told me to paint it white,500,2026.06.10,"#wood,#interiordesign",Heart and Home Crew,"96,600",https://img.youtube.com/vi/3dZmy7yXjNI/mqdefault.jpg,3dZmy7yXjNI
일간,2026-06-15,shorts,미국,노하우/스타일,댓글 순위,14,NEW,The haters gon’ looove this one 😆🎢🎠,499,2026.06.15,"#MillennialMom,#MomComedy",Abbey Fickley,"1,820,000",https://img.youtube.com/vi/l_MFnQmSV7Q/mqdefault.jpg,l_MFnQmSV7Q
일간,2026-06-15,shorts,미국,노하우/스타일,댓글 순위,15,+8,Most Rare Hair features you may have💫,428,2026.06.13,"#shorts,#glowup",VIORIA,"21,300",https://img.youtube.com/vi/1lB4JU8e_XY/mqdefault.jpg,1lB4JU8e_XY
일간,2026-06-15,shorts,미국,노하우/스타일,댓글 순위,16,NEW,Julia Robert’s tries to rewrite history on Renee Good,405,2026.06.15,,CurlyBoyChuck,"343,000",https://img.youtube.com/vi/arKLB3PY3cg/mqdefault.jpg,arKLB3PY3cg
일간,2026-06-15,shorts,미국,노하우/스타일,댓글 순위,17,NEW,호날두 vs 메시? 누구를 먼저 만들까요?,386,2026.06.15,,Braden,"214,000",https://img.youtube.com/vi/F_0ZWWp2mdo/mqdefault.jpg,F_0ZWWp2mdo
일간,2026-06-15,shorts,미국,노하우/스타일,댓글 순위,18,-6,The Best Message God Has Ever Sent To You,364,2026.06.14,#channeledmessages,Erika Enriquez,"105,000",https://img.youtube.com/vi/Zxl_HomOTMo/mqdefault.jpg,Zxl_HomOTMo
일간,2026-06-15,shorts,미국,노하우/스타일,댓글 순위,19,NEW,parole officer fired after celebrating Austin Metcalfe’s murder!,356,2026.06.16,,CurlyBoyChuck,"343,000",https://img.youtube.com/vi/kbu6QPofc10/mqdefault.jpg,kbu6QPofc10
일간,2026-06-15,shorts,미국,노하우/스타일,댓글 순위,20,+15,자작나무 껍질 물통 만들기 2탄,327,2026.06.14,"#부시크래프트,#캠핑",SageSmokeSurvival,"667,000",https://img.youtube.com/vi/3XAy8mt3-Kw/mqdefault.jpg,3XAy8mt3-Kw
일간,2026-06-15,shorts,미국,노하우/스타일,댓글 순위,21,NEW,Your Lipstick! 💋💖✨,318,2026.06.14,"#shorts,#lipstick",BlaBla_TV,"1,290,000",https://img.youtube.com/vi/w-rXzI6VU88/mqdefault.jpg,w-rXzI6VU88
일간,2026-06-15,shorts,미국,노하우/스타일,댓글 순위,22,NEW,2013년생들의 내년 모습..,317,2026.06.14,"#shorts,#shortvideo",Misses Beauty,"100,000",https://img.youtube.com/vi/XTluquylO8o/mqdefault.jpg,XTluquylO8o
일간,2026-06-15,shorts,미국,노하우/스타일,댓글 순위,23,+4,저는 당신에게 솔직해야 합니다.,303,2026.06.14,,blogilates,"11,000,000",https://img.youtube.com/vi/NxIOEn5Sizs/mqdefault.jpg,NxIOEn5Sizs
일간,2026-06-15,shorts,미국,노하우/스타일,댓글 순위,24,+14,진작 알았더라면 좋았을 텐데! PVC 몰딩 연결하는 최고의 방법!,300,2026.06.10,"#DIY,#공구",WINNI,"1,240,000",https://img.youtube.com/vi/iRORmszMKhE/mqdefault.jpg,iRORmszMKhE
일간,2026-06-15,shorts,미국,노하우/스타일,댓글 순위,25,-4,"월마트, 다이내믹 가격 변동으로 소비자 기만 중!",300,2026.06.08,"#월마트,#사기",Lindey Glenn,"494,000",https://img.youtube.com/vi/TgwD2U_-xlw/mqdefault.jpg,TgwD2U_-xlw
일간,2026-06-15,shorts,미국,노하우/스타일,댓글 순위,26,-22,"그냥 넘기지 마세요, 저를 믿어보세요",300,2026.06.13,,Soma Chhaya,"1,040,000",https://img.youtube.com/vi/oEa3rjyC5to/mqdefault.jpg,oEa3rjyC5to
