Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,1,0,"Finally, a Gate That Stops Escape-Artist Dogs 🐶",17687360,2026.05.11,"#amazonfinds,#gadgests",DramaCart,"103,000",https://img.youtube.com/vi/kSVl4tPaVMk/mqdefault.jpg,kSVl4tPaVMk
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,2,+3,🚗 아이들이 내 등에 올라타서 운전하게 했더니 공짜 마사지가?! ✨,11899675,2026.06.08,"#육아꿀팁,#DIY장난감",PurrToon Kids – Watch & Play,"1,120,000",https://img.youtube.com/vi/rHoLOO8LnFE/mqdefault.jpg,rHoLOO8LnFE
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,3,0,이 욕조로 집에서 목욕을 즐길 수 있어요!,10583215,2026.05.07,"#5분,#소형제품",쿨 아이템 공식,"36,300,000",https://img.youtube.com/vi/vSdPJrRTaw0/mqdefault.jpg,vSdPJrRTaw0
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,4,0,멋진 아이템! 이런 아이스크림은 처음 봐요! 🥰,9675420,2026.03.22,"#재밌는가족게임,#5분",쿨 아이템 공식,"36,300,000",https://img.youtube.com/vi/4f0gFKJVqoI/mqdefault.jpg,4f0gFKJVqoI
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,5,+3,How to make the best CHOCOLATE CEREAL with milk for your brother?😅❤️🍨| CHEFKOUDY,8629461,2026.05.30,"#howtoeat,#breakfast",chefkoudy,"12,200,000",https://img.youtube.com/vi/EasSRgktgiY/mqdefault.jpg,EasSRgktgiY
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,6,0,Cool Items! Anti-theft for rental properties!,8626284,2026.02.11,"#shorts,#5Minute",쿨 아이템 공식,"36,300,000",https://img.youtube.com/vi/VGFpyRK7Ddk/mqdefault.jpg,VGFpyRK7Ddk
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,7,+5,What’s on My Face? 😊 Kids Learning Game,6717943,2026.04.11,"#fun,#shorts",KIDZOKI,"8,800,000",https://img.youtube.com/vi/F6KcKzIEYyU/mqdefault.jpg,F6KcKzIEYyU
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,8,+16,A cleaning marvel! Super useful wet wipes,6295406,2026.06.03,"#productrecommendation,#cleaning",쿨 아이템 공식,"36,300,000",https://img.youtube.com/vi/2pmT-wfuhzY/mqdefault.jpg,2pmT-wfuhzY
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,9,+9,🎨 What Happens When Colors Mix Together?,6086608,2025.08.02,"#fun,#kids",BiBiLo,"3,000,000",https://img.youtube.com/vi/7PUvJsTWj5M/mqdefault.jpg,7PUvJsTWj5M
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,10,+7,🦖 함께 세고 노래 불러봐요! 신나는 학습 모험! 🎶✨,6069983,2026.04.07,#WOW,BubbleBoo,"2,450,000",https://img.youtube.com/vi/FNWQ_soVKzw/mqdefault.jpg,FNWQ_soVKzw
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,11,-9,Homemade Bubble Blaster From Straws? 🫧🚀,6007228,2026.06.05,"#bubbles,#diyforkids",ThinkaDoos,"1,190,000",https://img.youtube.com/vi/giq8cPavkpw/mqdefault.jpg,giq8cPavkpw
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,12,-2,우리 고양이가 왕족처럼 대접받는 기분을 느끼게 해줘요 👑🐱,5655792,2026.05.03,"#꿀팁,#CATZOOKA",Catzooka,"123,000",https://img.youtube.com/vi/3_tEa8UCIcM/mqdefault.jpg,3_tEa8UCIcM
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,13,+15,How to Care for Your Doll! 🛟🥗 Safety & Health Tips,5356939,2026.05.22,"#fun,#learn",Flip4Fun,"3,450,000",https://img.youtube.com/vi/Dl4vWIHcFw8/mqdefault.jpg,Dl4vWIHcFw8
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,14,NEW,,5240251,2026.06.14,"#kpop,#케이팝악령퇴치사",魔女的契约,"4,930,000",https://img.youtube.com/vi/pbWR-K8S9eQ/mqdefault.jpg,pbWR-K8S9eQ
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,15,0,Let’s Make Bubble Wrap Art! 🎨🫧 Colorful DIY Painting,5214057,2026.04.18,"#shorts,#kids",4 Friends | Kids Stories,"5,330,000",https://img.youtube.com/vi/m4rnc9-2CZc/mqdefault.jpg,m4rnc9-2CZc
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,16,-7,Excuse ME 😵,5150592,2025.04.10,"#funny,#memes",X-Designer Breeds,"1,340,000",https://img.youtube.com/vi/BdqRv9Nyrgs/mqdefault.jpg,BdqRv9Nyrgs
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,17,+3,The Taste Test! 👅✨ Learning the Flavors! 😲,5105176,2026.05.06,"#tastetest,#flavors",BippyBop,"8,620,000",https://img.youtube.com/vi/IxPi1aUPLYw/mqdefault.jpg,IxPi1aUPLYw
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,18,+33,Cool Items!🥰 Let's see if they still try to rob it.,4619799,2025.09.09,"#shorts,#5Minute",쿨 아이템 공식,"36,300,000",https://img.youtube.com/vi/mqoWip87Mdg/mqdefault.jpg,mqoWip87Mdg
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,19,+6,Mini Ridger for Scallions – Fast Row Preparation in the Vegetable Field 🌿,4183702,2026.05.04,"#MiniRidger,#ScallionRows",Clever solution,"580,000",https://img.youtube.com/vi/3yCidD0Y9-0/mqdefault.jpg,3yCidD0Y9-0
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,20,+9,재미있는 얼굴 특징들을 알아볼까요! 🎉,4163305,2026.04.12,"#어린이,#학습",GO COLOR!,"490,000",https://img.youtube.com/vi/s-vWJoQ1OLY/mqdefault.jpg,s-vWJoQ1OLY
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,21,+15,Turn Basic Materials Into A Handy Device 🔧,4033576,2026.06.06,"#DIY,#DoorHack",Brave Gals,"2,210,000",https://img.youtube.com/vi/q6P_f6UFnS8/mqdefault.jpg,q6P_f6UFnS8
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,22,+9,🌈🚚 Refill the Truck with Colors! Fun Learning for Kids 🎨,4015783,2025.08.30,"#kids,#fun",KIDZOKI,"8,800,000",https://img.youtube.com/vi/FvpJ8-fJsOQ/mqdefault.jpg,FvpJ8-fJsOQ
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,23,+11,Jinu's Prank Goes Wrong 😱,3937731,2026.06.13,"#shorts,#youtubeshorts",Shortzzz Extra,"7,710",https://img.youtube.com/vi/GQFNHrBZ7-4/mqdefault.jpg,GQFNHrBZ7-4
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,24,NEW,How did Rumi get taller than Jinu?! 😱,3793963,2026.06.15,"#kpopdemonhunters,#huntrix",HunterBeat,"87,300",https://img.youtube.com/vi/Rq4IZwmewZw/mqdefault.jpg,Rq4IZwmewZw
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,25,-14,ألقاها غرباء على الطريق السريع... لكنها لم تستسلم أبداً!,3772091,2026.01.12,,فرينديز,"978,000",https://img.youtube.com/vi/SEvH_lIpRfQ/mqdefault.jpg,SEvH_lIpRfQ
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,26,+42,Tuna 🍣 ​⁠‪@patrickzeinali‬ ​⁠‪@ChefRush‬,3768393,2024.11.30,,albert_cancook,"28,800,000",https://img.youtube.com/vi/TOOq4qLIX5k/mqdefault.jpg,TOOq4qLIX5k
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,27,-5,Puppy’s Hygiene Checklist! 🐶🧼 Fun Routine for Kids,3711726,2026.06.02,"#shorts,#Flip4Fun",Flip4Fun,"3,450,000",https://img.youtube.com/vi/DawIFtooiK0/mqdefault.jpg,DawIFtooiK0
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,28,-15,모든 휴대폰 케이스의 최종 보스 👹 | 거대한 피젯 나이프 케이스?!,3618385,2025.07.08,"#귀여운발견,#폰케이스",Cute Finds,"466,000",https://img.youtube.com/vi/Deb4-wBOS84/mqdefault.jpg,Deb4-wBOS84
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,29,-2,4 Antique Can Openers Tested,3564015,2026.06.10,,Rescue & Restore Shorts,"1,960,000",https://img.youtube.com/vi/xwkcVpSuFcQ/mqdefault.jpg,xwkcVpSuFcQ
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,30,NEW,과연 누가 이길까? 재밌다!,3514809,2026.06.15,"#헤어,#헤어스타일",BRL,"899,000",https://img.youtube.com/vi/ET0zVVrbOuI/mqdefault.jpg,ET0zVVrbOuI
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,31,+21,,3336983,2026.06.10,"#KPOP,#KPOP악령퇴치사",魔女的契约,"4,930,000",https://img.youtube.com/vi/pGHSN3jorKI/mqdefault.jpg,pGHSN3jorKI
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,32,-6,Drawing Turtle Relay Challenge! 🐢🎨 Kid vs. Mom! 😲,3333131,2026.03.25,"#kidsvideo,#drawingchallenge",Billy Blip Boss,"8,320,000",https://img.youtube.com/vi/pV0Ofj6BBYw/mqdefault.jpg,pV0Ofj6BBYw
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,33,-19,😲🚪 각 문 뒤에는 누가 있을까요? 두드려 봅시다!,3284202,2026.04.29,"#반바지,#어린이반바지",FundzyBits,"2,530,000",https://img.youtube.com/vi/IbPC9JyXXWI/mqdefault.jpg,IbPC9JyXXWI
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,34,+8,Odilbek qoʻrqdi🥲,3277038,2026.06.10,"#odilbek,#edit",CRAXX EDITS,"55,000",https://img.youtube.com/vi/3IA267QnPis/mqdefault.jpg,3IA267QnPis
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,35,-5,Minimalist’s Must-Haves | Functional & Timeless,3272206,2026.04.19,"#gadgests,#viral",Magic Cool Item,"243,000",https://img.youtube.com/vi/18nN1hcJJGs/mqdefault.jpg,18nN1hcJJGs
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,36,NEW,,3230336,2026.06.15,"#kpop,#kpopdemonhunters",魔女的契约,"4,930,000",https://img.youtube.com/vi/wh-ic883a-g/mqdefault.jpg,wh-ic883a-g
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,37,NEW,,3170047,2026.06.14,"#short,#Mario",Ahong & Life Experiment,"2,840,000",https://img.youtube.com/vi/QSloA7mhrpI/mqdefault.jpg,QSloA7mhrpI
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,38,NEW,,3128201,2026.06.14,"#kpop,#kpopdemonhunters",魔女的契约,"4,930,000",https://img.youtube.com/vi/kOSFIDZ3emI/mqdefault.jpg,kOSFIDZ3emI
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,39,-1,음료는 어디로 갈까요?! 🧃🎵,3126386,2026.05.12,"#재미,#배움",KIDZOKI,"8,800,000",https://img.youtube.com/vi/akrxs_PEpf4/mqdefault.jpg,akrxs_PEpf4
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,40,NEW,Shoes made of balloons!,3085196,2026.06.15,"#viral,#gadgests",쿨 아이템 공식,"36,300,000",https://img.youtube.com/vi/Lp_Rp3nolIE/mqdefault.jpg,Lp_Rp3nolIE
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,41,+2,These home essentials deserve a spot in every house,3030095,2026.05.23,"#viral,#creative",Magic Cool Item,"243,000",https://img.youtube.com/vi/-1UdgJbRvtI/mqdefault.jpg,-1UdgJbRvtI
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,42,-5,The Safety Challenge! 🚦🛑 Road Rules for Kids! 😲✨,2964502,2026.04.21,"#BillyBlipBoss,#kidsvideo",Billy Blip Boss,"8,320,000",https://img.youtube.com/vi/6zVvliNnvTE/mqdefault.jpg,6zVvliNnvTE
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,43,+2,What Keeps A Tornado From Sucking A House Off The Foundation?,2932910,2026.06.12,"#build,#howto",HAUS PLANS ®️,"1,800,000",https://img.youtube.com/vi/ehYNnFbJs5w/mqdefault.jpg,ehYNnFbJs5w
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,44,+2,🌱 Fruit & Veggie Adventures: Watch Them Grow! 🍅✨,2850214,2026.02.20,"#KidsLearning,#NatureFun",KukuMagic,"1,070,000",https://img.youtube.com/vi/UcJndcGHLAY/mqdefault.jpg,UcJndcGHLAY
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,45,-6,Crafting Joy: DIY Giraffe Fidget Toy! 🦒✨,2835303,2026.04.18,"#fun,#creativity",Whiz Blip Poppy,"23,200",https://img.youtube.com/vi/SMYzQm0y6xU/mqdefault.jpg,SMYzQm0y6xU
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,46,-14,🌟 Transform Your Toothbrush into a Fun Adventure Tool! 🪥✨,2790771,2026.05.25,"#shorts,#kids",Niki’s Playhouse - Videos for Kids,"623,000",https://img.youtube.com/vi/Z7gwsgzD-dU/mqdefault.jpg,Z7gwsgzD-dU
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,47,-40,هل يمكن النجاة من فوضى الكاتشب؟ 🍅😱,2761013,2026.06.13,,Giggle Jiggle Extra! Arabic,"714,000",https://img.youtube.com/vi/5Rk9zM-Vcnc/mqdefault.jpg,5Rk9zM-Vcnc
일간,2026-06-15,shorts,미국,노하우/스타일,조회수 순위,48,-25,How can babies enjoy fruit safely at 5 months? Try this Baby Fruit Feeder Pacifier for safe chewing!,2720709,2025.06.21,"#Baby,#BabyMustHaves",BabyVK,"4,240,000",https://img.youtube.com/vi/d4jA5aTyY0k/mqdefault.jpg,d4jA5aTyY0k
