Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Likes,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,노하우/스타일,좋아요 순위,1,+1,4 Antique Can Openers Tested,88501,2026.06.10,,Rescue & Restore Shorts,"1,960,000",https://img.youtube.com/vi/xwkcVpSuFcQ/mqdefault.jpg,xwkcVpSuFcQ
일간,2026-06-15,shorts,미국,노하우/스타일,좋아요 순위,2,+2,No way she did this💀😭,73723,2026.06.14,,Cycle Wrld,"225,000",https://img.youtube.com/vi/aYsLu1ZFDR4/mqdefault.jpg,aYsLu1ZFDR4
일간,2026-06-15,shorts,미국,노하우/스타일,좋아요 순위,3,+4,🚗 아이들이 내 등에 올라타서 운전하게 했더니 공짜 마사지가?! ✨,64482,2026.06.08,"#육아꿀팁,#DIY장난감",PurrToon Kids – Watch & Play,"1,120,000",https://img.youtube.com/vi/rHoLOO8LnFE/mqdefault.jpg,rHoLOO8LnFE
일간,2026-06-15,shorts,미국,노하우/스타일,좋아요 순위,4,+1,pov: the internet told me to paint it white,60463,2026.06.10,"#wood,#interiordesign",Heart and Home Crew,"96,600",https://img.youtube.com/vi/3dZmy7yXjNI/mqdefault.jpg,3dZmy7yXjNI
일간,2026-06-15,shorts,미국,노하우/스타일,좋아요 순위,5,+5,What Keeps A Tornado From Sucking A House Off The Foundation?,59925,2026.06.12,"#build,#howto",HAUS PLANS ®️,"1,800,000",https://img.youtube.com/vi/ehYNnFbJs5w/mqdefault.jpg,ehYNnFbJs5w
일간,2026-06-15,shorts,미국,노하우/스타일,좋아요 순위,6,0,이 욕조로 집에서 목욕을 즐길 수 있어요!,53891,2026.05.07,"#5분,#소형제품",쿨 아이템 공식,"36,300,000",https://img.youtube.com/vi/vSdPJrRTaw0/mqdefault.jpg,vSdPJrRTaw0
일간,2026-06-15,shorts,미국,노하우/스타일,좋아요 순위,7,+1,멋진 아이템! 이런 아이스크림은 처음 봐요! 🥰,48605,2026.03.22,"#재밌는가족게임,#5분",쿨 아이템 공식,"36,300,000",https://img.youtube.com/vi/4f0gFKJVqoI/mqdefault.jpg,4f0gFKJVqoI
일간,2026-06-15,shorts,미국,노하우/스타일,좋아요 순위,8,+1,"Finally, a Gate That Stops Escape-Artist Dogs 🐶",46110,2026.05.11,"#amazonfinds,#gadgests",DramaCart,"103,000",https://img.youtube.com/vi/kSVl4tPaVMk/mqdefault.jpg,kSVl4tPaVMk
일간,2026-06-15,shorts,미국,노하우/스타일,좋아요 순위,9,+2,Cool Items! Anti-theft for rental properties!,45241,2026.02.11,"#shorts,#5Minute",쿨 아이템 공식,"36,300,000",https://img.youtube.com/vi/VGFpyRK7Ddk/mqdefault.jpg,VGFpyRK7Ddk
일간,2026-06-15,shorts,미국,노하우/스타일,좋아요 순위,10,+63,자작나무 껍질 물통 만들기 2탄,43808,2026.06.14,"#부시크래프트,#캠핑",SageSmokeSurvival,"667,000",https://img.youtube.com/vi/3XAy8mt3-Kw/mqdefault.jpg,3XAy8mt3-Kw
일간,2026-06-15,shorts,미국,노하우/스타일,좋아요 순위,11,-8,Homemade Bubble Blaster From Straws? 🫧🚀,41724,2026.06.05,"#bubbles,#diyforkids",ThinkaDoos,"1,190,000",https://img.youtube.com/vi/giq8cPavkpw/mqdefault.jpg,giq8cPavkpw
일간,2026-06-15,shorts,미국,노하우/스타일,좋아요 순위,12,NEW,6주 동안 손톱을 그대로 두지 마세요 ⚠️,35979,2026.06.15,,Ballpit Nails,"941,000",https://img.youtube.com/vi/KWrRDUzPnpc/mqdefault.jpg,KWrRDUzPnpc
일간,2026-06-15,shorts,미국,노하우/스타일,좋아요 순위,13,+34,A cleaning marvel! Super useful wet wipes,33224,2026.06.03,"#productrecommendation,#cleaning",쿨 아이템 공식,"36,300,000",https://img.youtube.com/vi/2pmT-wfuhzY/mqdefault.jpg,2pmT-wfuhzY
일간,2026-06-15,shorts,미국,노하우/스타일,좋아요 순위,14,-2,Let’s Make Bubble Wrap Art! 🎨🫧 Colorful DIY Painting,32021,2026.04.18,"#shorts,#kids",4 Friends | Kids Stories,"5,330,000",https://img.youtube.com/vi/m4rnc9-2CZc/mqdefault.jpg,m4rnc9-2CZc
일간,2026-06-15,shorts,미국,노하우/스타일,좋아요 순위,15,+54,Cool Items!🥰 Let's see if they still try to rob it.,31802,2025.09.09,"#shorts,#5Minute",쿨 아이템 공식,"36,300,000",https://img.youtube.com/vi/mqoWip87Mdg/mqdefault.jpg,mqoWip87Mdg
일간,2026-06-15,shorts,미국,노하우/스타일,좋아요 순위,16,+11,How to Care for Your Doll! 🛟🥗 Safety & Health Tips,31446,2026.05.22,"#fun,#learn",Flip4Fun,"3,450,000",https://img.youtube.com/vi/Dl4vWIHcFw8/mqdefault.jpg,Dl4vWIHcFw8
일간,2026-06-15,shorts,미국,노하우/스타일,좋아요 순위,17,+5,The Taste Test! 👅✨ Learning the Flavors! 😲,30690,2026.05.06,"#tastetest,#flavors",BippyBop,"8,620,000",https://img.youtube.com/vi/IxPi1aUPLYw/mqdefault.jpg,IxPi1aUPLYw
일간,2026-06-15,shorts,미국,노하우/스타일,좋아요 순위,18,NEW,,30020,2026.06.14,"#kpop,#케이팝악령퇴치사",魔女的契约,"4,930,000",https://img.youtube.com/vi/pbWR-K8S9eQ/mqdefault.jpg,pbWR-K8S9eQ
일간,2026-06-15,shorts,미국,노하우/스타일,좋아요 순위,19,+18,Handmade Clay Mold for Steamed Rice Cakes | Start to End Full Process. 🥰,28744,2026.03.17,#ricepaperrolls,Towhid From Bangladesh,"671,000",https://img.youtube.com/vi/cVUECMn9-q0/mqdefault.jpg,cVUECMn9-q0
일간,2026-06-15,shorts,미국,노하우/스타일,좋아요 순위,20,+1,How to make the best CHOCOLATE CEREAL with milk for your brother?😅❤️🍨| CHEFKOUDY,28409,2026.05.30,"#howtoeat,#breakfast",chefkoudy,"12,200,000",https://img.youtube.com/vi/EasSRgktgiY/mqdefault.jpg,EasSRgktgiY
일간,2026-06-15,shorts,미국,노하우/스타일,좋아요 순위,21,-7,Puppy’s Hygiene Checklist! 🐶🧼 Fun Routine for Kids,28314,2026.06.02,"#shorts,#Flip4Fun",Flip4Fun,"3,450,000",https://img.youtube.com/vi/DawIFtooiK0/mqdefault.jpg,DawIFtooiK0
일간,2026-06-15,shorts,미국,노하우/스타일,좋아요 순위,22,+8,What’s on My Face? 😊 Kids Learning Game,27170,2026.04.11,"#fun,#shorts",KIDZOKI,"8,800,000",https://img.youtube.com/vi/F6KcKzIEYyU/mqdefault.jpg,F6KcKzIEYyU
일간,2026-06-15,shorts,미국,노하우/스타일,좋아요 순위,23,+10,🦖 함께 세고 노래 불러봐요! 신나는 학습 모험! 🎶✨,26816,2026.04.07,#WOW,BubbleBoo,"2,450,000",https://img.youtube.com/vi/FNWQ_soVKzw/mqdefault.jpg,FNWQ_soVKzw
일간,2026-06-15,shorts,미국,노하우/스타일,좋아요 순위,24,NEW,How did Rumi get taller than Jinu?! 😱,26513,2026.06.15,"#kpopdemonhunters,#huntrix",HunterBeat,"87,300",https://img.youtube.com/vi/Rq4IZwmewZw/mqdefault.jpg,Rq4IZwmewZw
일간,2026-06-15,shorts,미국,노하우/스타일,좋아요 순위,25,+4,아놀드 슈워제네거 참가작 🥶,26378,2026.03.14,"#arnold,#arnoldclassic",SAMEEM EDITZ,"299,000",https://img.youtube.com/vi/jLntm__dHF8/mqdefault.jpg,jLntm__dHF8
일간,2026-06-15,shorts,미국,노하우/스타일,좋아요 순위,26,-10,입술을 매력적으로 만들어줄 귀여운 립글로스를 골라보세요 😍💋💄,25827,2026.05.24,"#shorts,#감성",BlaBla_TV,"1,290,000",https://img.youtube.com/vi/NMU1Yc4bpTI/mqdefault.jpg,NMU1Yc4bpTI
일간,2026-06-15,shorts,미국,노하우/스타일,좋아요 순위,27,+15,🎨 What Happens When Colors Mix Together?,25767,2025.08.02,"#fun,#kids",BiBiLo,"3,000,000",https://img.youtube.com/vi/7PUvJsTWj5M/mqdefault.jpg,7PUvJsTWj5M
일간,2026-06-15,shorts,미국,노하우/스타일,좋아요 순위,28,-10,Master Carver Unlocks the Spirit of the Tree 🪵😮   tatuE,25755,2026.06.08,"#buddha,#woods",@VishuArt,"34,500",https://img.youtube.com/vi/teLIAO5Adbw/mqdefault.jpg,teLIAO5Adbw
