Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Comments,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,1,0,Cardi B MELTS DOWN Over Karmelo Anthony VERDICT,2200,2026.06.14,,The Officer Tatum,"3,770,000",https://img.youtube.com/vi/N5Tz7Cm-xHM/mqdefault.jpg,N5Tz7Cm-xHM
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,2,+9,Drone shows arson suspect in California fire,1900,2026.06.14,"#fox,#foxnews",Fox News,"15,400,000",https://img.youtube.com/vi/O4p-5OJWL4M/mqdefault.jpg,O4p-5OJWL4M
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,3,+1,"Ohio Trump voters express buyer's remorse, disappointment",1700,2026.06.12,"#Ohio,#Trump",MS NOW,"9,870,000",https://img.youtube.com/vi/5cfANVfzsH8/mqdefault.jpg,5cfANVfzsH8
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,4,+217,The View HAS MELTDOWN Over UFC 250 At the White House,1504,2026.06.15,,The Officer Tatum,"3,770,000",https://img.youtube.com/vi/6y2hOMznCFs/mqdefault.jpg,6y2hOMznCFs
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,5,+3,브랜던의 완승,1400,2026.06.14,"#trish,#trishreganshow",Trish Regan,"1,280,000",https://img.youtube.com/vi/v4NibNHr9g8/mqdefault.jpg,v4NibNHr9g8
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,6,NEW,This is not gay,1400,2026.06.15,"#duet,#whitehouse",Hawk's Podcasts / mdg650hawk,"818,000",https://img.youtube.com/vi/fTJL2scm-mA/mqdefault.jpg,fTJL2scm-mA
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,7,NEW,"오바마, 트럼프의 이란 핵합의에 의구심 제기",1397,2026.06.15,"#shorts,#미국",Fox News,"15,400,000",https://img.youtube.com/vi/cXXxOV3akTA/mqdefault.jpg,cXXxOV3akTA
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,8,NEW,"Black Nail Techs Explain Why Asian Nail Shops Are Cheaper,,It’s Not A Good Reason",1381,2026.06.15,,African Diaspora News Channel,"1,930,000",https://img.youtube.com/vi/ckVmyjKxXPg/mqdefault.jpg,ckVmyjKxXPg
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,9,NEW,Stanford graduates walk out during Google CEO’s commencement speech,1300,2026.06.15,,BreakThrough News,"1,070,000",https://img.youtube.com/vi/mOoZj8Vp9Sw/mqdefault.jpg,mOoZj8Vp9Sw
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,10,-4,Sunny Hostin MELTS DOWN Over UFC At the White House,1300,2026.06.14,,The Officer Tatum,"3,770,000",https://img.youtube.com/vi/4QA8pJgxfm4/mqdefault.jpg,4QA8pJgxfm4
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,11,NEW,MUERE GASPI en un ACCIDENTE de HELICÓPTERO en BRASIL!🇧🇷🚁😭😔,1200,2026.06.15,"#short,#sabiasque",Idolatro24,"3,900,000",https://img.youtube.com/vi/H9kt4LTBqp8/mqdefault.jpg,H9kt4LTBqp8
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,12,+14,콜로세움의 칼리굴라,1137,2026.06.14,,PoliticsGirl,"483,000",https://img.youtube.com/vi/_uyZhFi9-QU/mqdefault.jpg,_uyZhFi9-QU
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,13,NEW,WOW: Trump CAUGHT falling asleep at his 80th birthday UFC event,1100,2026.06.16,#shorts,Brian Tyler Cohen,"5,200,000",https://img.youtube.com/vi/F-ntjGQpLhw/mqdefault.jpg,F-ntjGQpLhw
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,14,-12,Karmelo Anthony Supporter CRASHES OUT,1100,2026.06.12,,The Officer Tatum,"3,770,000",https://img.youtube.com/vi/bSawkNrn2es/mqdefault.jpg,bSawkNrn2es
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,15,-1,제시가 흑인 볼링에 반응하다,1100,2026.06.08,,Jesse Lee Peterson,"616,000",https://img.youtube.com/vi/-UF2vPLBV08/mqdefault.jpg,-UF2vPLBV08
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,16,NEW,"속보: 밴스, 미-이란 평화 협정 타결을 ‘큰 승리’로 평가",1100,2026.06.15,"#shorts,#뉴스",Fox News,"15,400,000",https://img.youtube.com/vi/0C-3IgAeJRw/mqdefault.jpg,0C-3IgAeJRw
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,17,+13,青鳥大吼陸客狂嗆滾，警察無奈『人家只是來玩的，你不覺得自己太無聊嗎？』，當場給青鳥上一課...,1100,2026.06.12,"#警察,#青鳥",監督GOGO,"266,000",https://img.youtube.com/vi/YRiCduMTnak/mqdefault.jpg,YRiCduMTnak
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,18,+63,Spencer Pratt DROPS BOMBSHELL Evidence in FRAUDULENT LA Mayoral Race,1008,2026.06.14,,The Officer Tatum,"3,770,000",https://img.youtube.com/vi/IQF3VuKJAbE/mqdefault.jpg,IQF3VuKJAbE
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,19,NEW,"Search & Seizure, ICE Breaks In, U.S. Border Patrol Immigration Checkpoint, NGH",1000,2026.01.14,"#ice,#borderpatrol",Robert Trudell,"112,000",https://img.youtube.com/vi/6Go8E16WlHw/mqdefault.jpg,6Go8E16WlHw
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,20,NEW,Little Man Will Be Man Of The House Soon,1000,2026.06.15,"#ViralClips,#CaughtOnCamera",Seth Summers TV,"90,399",https://img.youtube.com/vi/utAqTjy79Ac/mqdefault.jpg,utAqTjy79Ac
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,21,-18,신은 트럼프를 싫어한다,1000,2026.06.14,,Hawk's Podcasts / mdg650hawk,"818,000",https://img.youtube.com/vi/93aVUrSvVSw/mqdefault.jpg,93aVUrSvVSw
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,22,NEW,Carol picked out her new scrunchie for todays hairstyle!,1000,2026.03.22,"#grandma,#familyfun",Grandma Carol’s World,"129,000",https://img.youtube.com/vi/UUEnfxn1UfY/mqdefault.jpg,UUEnfxn1UfY
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,23,NEW,"Yes, this is real.",1000,2026.05.01,,Keith Edwards,"1,290,000",https://img.youtube.com/vi/l_rcHymTaac/mqdefault.jpg,l_rcHymTaac
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,24,NEW,Mamdani ENDS Property Rights...NYC Is FINISHED,1000,2026.05.29,,The Officer Tatum,"3,770,000",https://img.youtube.com/vi/r4LX6Go4LiI/mqdefault.jpg,r4LX6Go4LiI
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,25,NEW,어디서든 벌어질 수 있는 일,973,2026.06.15,,Fleccas Talks,"911,000",https://img.youtube.com/vi/wz_IoeN0MoA/mqdefault.jpg,wz_IoeN0MoA
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,26,NEW,우리 모두를 대변하는 이 애국자의 일침,936,2026.06.15,"#애국심,#제프스퀘어",Jeff Square,"230,000",https://img.youtube.com/vi/b6v6y2WGaF4/mqdefault.jpg,b6v6y2WGaF4
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,27,NEW,속보: '이란 이슬람 공화국과의 협상 완료': 트럼프,920,2026.06.15,"#shorts,#속보",Fox News,"15,400,000",https://img.youtube.com/vi/Df6PtNP7NZ0/mqdefault.jpg,Df6PtNP7NZ0
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,28,-19,В японском зоопарке горилла по кличке Кийомаса поссорился со своей самкой и она выгнала его,900,2026.06.10,,Repost,"236,000",https://img.youtube.com/vi/1g_FI79sYIg/mqdefault.jpg,1g_FI79sYIg
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,29,+49,졸업식에서 노예제 운운하며 벌어진 소동,900,2026.06.09,,Fleccas Talks,"911,000",https://img.youtube.com/vi/s1hgWFUAdeM/mqdefault.jpg,s1hgWFUAdeM
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,30,-20,세상에.. 트럼프의 반응을 보세요😀🙈,900,2026.06.05,,The Norteys Clips,"796,000",https://img.youtube.com/vi/PaVSoLsp1TI/mqdefault.jpg,PaVSoLsp1TI
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,31,NEW,🔥 트럼프의 적대자 명단 발표 이후 비트코인이 폭등,878,2026.06.15,#반바지,Brian Tyler Cohen,"5,200,000",https://img.youtube.com/vi/ckI6K2WOASQ/mqdefault.jpg,ckI6K2WOASQ
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,32,NEW,US 🇺🇸 Peace Deal reached with Iran 🇮🇷,873,2026.06.15,,Ryan McBeth,"1,050,000",https://img.youtube.com/vi/KRcY-8SWQ6o/mqdefault.jpg,KRcY-8SWQ6o
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,33,NEW,Trump takes in UFC action from cage-side seat,871,2026.06.15,"#cnn,#news",CNN,"19,600,000",https://img.youtube.com/vi/m-0amyZPq_U/mqdefault.jpg,m-0amyZPq_U
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,34,+64,"단독: 오바마 전 대통령, 이란 전쟁에 대한 입장 표명",857,2026.06.14,,ABC News,"19,600,000",https://img.youtube.com/vi/Rn0K55vILaA/mqdefault.jpg,Rn0K55vILaA
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,35,NEW,“Whatever the hell this was”: UFC stages a spectacle at Lincoln Memorial,853,2026.06.15,,MS NOW,"9,870,000",https://img.youtube.com/vi/5PFeaQDon98/mqdefault.jpg,5PFeaQDon98
일간,2026-06-15,shorts,미국,뉴스/정치,댓글 순위,36,NEW,U.S. & Iran Agree to End the War,809,2026.06.15,"#USA,#America",DeFranco News Clips,"1,460,000",https://img.youtube.com/vi/hwIcMYHkPY0/mqdefault.jpg,hwIcMYHkPY0
