Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,1,0,"Search & Seizure, ICE Breaks In, U.S. Border Patrol Immigration Checkpoint, NGH",8939653,2026.01.14,"#ice,#borderpatrol",Robert Trudell,"112,000",https://img.youtube.com/vi/6Go8E16WlHw/mqdefault.jpg,6Go8E16WlHw
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,2,+16,Drone shows arson suspect in California fire,1178170,2026.06.14,"#fox,#foxnews",Fox News,"15,400,000",https://img.youtube.com/vi/O4p-5OJWL4M/mqdefault.jpg,O4p-5OJWL4M
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,3,NEW,Why Sons Should Have Their Fathers,1087569,2026.06.15,"#ViralClips,#CaughtOnCamera",Seth Summers TV,"90,399",https://img.youtube.com/vi/t8-cCKApeVI/mqdefault.jpg,t8-cCKApeVI
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,4,-2,Niño Ronald destaca por su ejemplo de valores y buen comportamiento,1027190,2025.09.17,"#@LaPrensaHonduras,#noticiasdehonduras",Diario La Prensa - Premium,"239,000",https://img.youtube.com/vi/0ipvuPcr4L4/mqdefault.jpg,0ipvuPcr4L4
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,5,-1,The moment a Jollibee building collapses in GenSan 😳,984770,2026.06.10,"#philippines,#news",AccuWeather,"2,060,000",https://img.youtube.com/vi/B2PiD6UPqAg/mqdefault.jpg,B2PiD6UPqAg
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,6,0,The sky turned into a wave 🌊,869583,2026.06.04,"#shelfcloud,#storm",AccuWeather,"2,060,000",https://img.youtube.com/vi/6FEs2xwXvRc/mqdefault.jpg,6FEs2xwXvRc
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,7,-4,가족이 안전한 곳으로 대피한 지 몇 초 만에 토네이도가 덮쳤습니다.,790097,2026.04.21,"#토네이도대피소,#오클라호마",AccuWeather,"2,060,000",https://img.youtube.com/vi/v0F4Fp7m20w/mqdefault.jpg,v0F4Fp7m20w
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,8,NEW,Little Man Will Be Man Of The House Soon,700582,2026.06.15,"#ViralClips,#CaughtOnCamera",Seth Summers TV,"90,399",https://img.youtube.com/vi/utAqTjy79Ac/mqdefault.jpg,utAqTjy79Ac
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,9,NEW,দলকে সমর্থন দিতে গলায় ট্যাটু করছেন ব্রাজিলের দুই তরুণী,688995,2026.06.14,"#brazilfans,#tsc",SOMOY TV,"28,700,000",https://img.youtube.com/vi/TMqN3z8kwmo/mqdefault.jpg,TMqN3z8kwmo
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,10,-2,Deadly precision: French mortar fire,537536,2026.06.12,"#military,#army",BattleZone 24,"12,300",https://img.youtube.com/vi/9HdfmszSFQQ/mqdefault.jpg,9HdfmszSFQQ
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,11,NEW,@riley_sanderson,537334,2026.06.14,"#surron,#emoto",seak,"42,500",https://img.youtube.com/vi/ey_L8U8iS6w/mqdefault.jpg,ey_L8U8iS6w
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,12,-2,They Don’t Even Flinch 😨,513864,2026.04.23,"#military,#airdrop",Flash Feed Now,"45,300",https://img.youtube.com/vi/_lnQRUyEpus/mqdefault.jpg,_lnQRUyEpus
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,13,-8,Being A Carpenter Can Be Overwhelming,508942,2026.06.09,"#ViralClips,#CaughtOnCamera",Seth Summers TV,"90,399",https://img.youtube.com/vi/uf8gm0wJjZg/mqdefault.jpg,uf8gm0wJjZg
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,14,-5,No los Perdones!!,484139,2026.06.08,,Super Immigrant,"184,000",https://img.youtube.com/vi/lBRwCvBwji0/mqdefault.jpg,lBRwCvBwji0
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,15,NEW,MUERE GASPI en un ACCIDENTE de HELICÓPTERO en BRASIL!🇧🇷🚁😭😔,472730,2026.06.15,"#short,#sabiasque",Idolatro24,"3,900,000",https://img.youtube.com/vi/H9kt4LTBqp8/mqdefault.jpg,H9kt4LTBqp8
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,16,NEW,칩 프랭클린이 트럼프를 또 한 번 굴욕시켰습니다!,445198,2026.06.12,,Really American,"1,180,000",https://img.youtube.com/vi/JkHbf3Dc38s/mqdefault.jpg,JkHbf3Dc38s
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,17,NEW,“Whatever the hell this was”: UFC stages a spectacle at Lincoln Memorial,410200,2026.06.15,,MS NOW,"9,870,000",https://img.youtube.com/vi/5PFeaQDon98/mqdefault.jpg,5PFeaQDon98
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,18,-4,В японском зоопарке горилла по кличке Кийомаса поссорился со своей самкой и она выгнала его,406186,2026.06.10,,Repost,"236,000",https://img.youtube.com/vi/1g_FI79sYIg/mqdefault.jpg,1g_FI79sYIg
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,19,NEW,그를 석방해야 할까요?,402235,2026.05.17,,Mike Ritland,"437,000",https://img.youtube.com/vi/O6_TuQOACyA/mqdefault.jpg,O6_TuQOACyA
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,20,NEW,졸업식에서 노예제 운운하며 벌어진 소동,395729,2026.06.09,,Fleccas Talks,"911,000",https://img.youtube.com/vi/s1hgWFUAdeM/mqdefault.jpg,s1hgWFUAdeM
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,21,NEW,Stanford graduates walk out during Google CEO’s commencement speech,376582,2026.06.15,,BreakThrough News,"1,070,000",https://img.youtube.com/vi/mOoZj8Vp9Sw/mqdefault.jpg,mOoZj8Vp9Sw
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,22,NEW,القعقاع كان يبحث عن لقمة العيش وليس الإنتحار كما يقول البعض,360824,2026.06.14,,مكحل تعز,"132,000",https://img.youtube.com/vi/hRlqr0BWoCA/mqdefault.jpg,hRlqr0BWoCA
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,23,NEW,브랜던의 완승,355367,2026.06.14,"#trish,#trishreganshow",Trish Regan,"1,280,000",https://img.youtube.com/vi/v4NibNHr9g8/mqdefault.jpg,v4NibNHr9g8
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,24,NEW,Как евреи воспитывают своих детей,350765,2026.06.10,,Laktionov LIVE,"79,800",https://img.youtube.com/vi/FVjZmYoa3y0/mqdefault.jpg,FVjZmYoa3y0
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,25,-6,아이들이 트럼프를 우스꽝스럽게 놀려 망신을 줬다,344262,2026.05.12,,The Democrats,"124,000",https://img.youtube.com/vi/GH7Me2FrpH0/mqdefault.jpg,GH7Me2FrpH0
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,26,NEW,이 꼬맹이가 이 지프차에 3만 달러를 투자했는데... 이걸로 바꾸려고 했다니! 😱,323717,2026.06.13,,Nicky LIFE,"25,099",https://img.youtube.com/vi/_u7mXx_rdRY/mqdefault.jpg,_u7mXx_rdRY
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,27,NEW,Should He Have Taken The Necklace Off?,320199,2026.06.15,,Mike Ritland,"437,000",https://img.youtube.com/vi/qzzI1vfLnMo/mqdefault.jpg,qzzI1vfLnMo
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,28,-11,세상에.. 트럼프의 반응을 보세요😀🙈,316566,2026.06.05,,The Norteys Clips,"796,000",https://img.youtube.com/vi/PaVSoLsp1TI/mqdefault.jpg,PaVSoLsp1TI
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,29,NEW,SEE IT: Massive fireball ERUPTS after propane explosion destroys lakeside homes,314594,2026.06.14,"#foxnews,#news",Fox News,"15,400,000",https://img.youtube.com/vi/mwDv5WXN21c/mqdefault.jpg,mwDv5WXN21c
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,30,NEW,ড্রোন হা'ম'লা'র মুহূর্তে যেভাবে পালিয়ে বাঁচলেন ইসরায়েলি সেনা,313668,2026.06.14,"#israel,#israelisoldier",Kalbela World,"1,010,000",https://img.youtube.com/vi/ZLb2jjH9E5M/mqdefault.jpg,ZLb2jjH9E5M
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,31,-20,Erika Kirk: 'I Forgive Him',313576,2025.09.22,#erikakirk,Turning Point USA,"7,240,000",https://img.youtube.com/vi/d7ewpHCMxqQ/mqdefault.jpg,d7ewpHCMxqQ
일간,2026-06-15,shorts,미국,뉴스/정치,조회수 순위,32,NEW,"날짜가 y로 끝나는 날이라면, 트럼프 후보들이 기본적인 질문에도 답하지 못하는 또 다른 날이 될 겁니다.",312916,2026.06.14,,Sen. Adam Schiff,"633,000",https://img.youtube.com/vi/pDCpmfmbRvo/mqdefault.jpg,pDCpmfmbRvo
