Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Likes,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,뉴스/정치,좋아요 순위,1,NEW,MUERE GASPI en un ACCIDENTE de HELICÓPTERO en BRASIL!🇧🇷🚁😭😔,33020,2026.06.15,"#short,#sabiasque",Idolatro24,"3,900,000",https://img.youtube.com/vi/H9kt4LTBqp8/mqdefault.jpg,H9kt4LTBqp8
일간,2026-06-15,shorts,미국,뉴스/정치,좋아요 순위,2,NEW,Little Man Will Be Man Of The House Soon,25925,2026.06.15,"#ViralClips,#CaughtOnCamera",Seth Summers TV,"90,399",https://img.youtube.com/vi/utAqTjy79Ac/mqdefault.jpg,utAqTjy79Ac
일간,2026-06-15,shorts,미국,뉴스/정치,좋아요 순위,3,-1,브랜던의 완승,24684,2026.06.14,"#trish,#trishreganshow",Trish Regan,"1,280,000",https://img.youtube.com/vi/v4NibNHr9g8/mqdefault.jpg,v4NibNHr9g8
일간,2026-06-15,shorts,미국,뉴스/정치,좋아요 순위,4,NEW,This is not gay,22671,2026.06.15,"#duet,#whitehouse",Hawk's Podcasts / mdg650hawk,"818,000",https://img.youtube.com/vi/fTJL2scm-mA/mqdefault.jpg,fTJL2scm-mA
일간,2026-06-15,shorts,미국,뉴스/정치,좋아요 순위,5,NEW,i tried calling voters for the first time,22097,2026.06.15,,HasanAbi,"1,900,000",https://img.youtube.com/vi/SH8zSuVXSzM/mqdefault.jpg,SH8zSuVXSzM
일간,2026-06-15,shorts,미국,뉴스/정치,좋아요 순위,6,NEW,"Black Nail Techs Explain Why Asian Nail Shops Are Cheaper,,It’s Not A Good Reason",21234,2026.06.15,,African Diaspora News Channel,"1,930,000",https://img.youtube.com/vi/ckVmyjKxXPg/mqdefault.jpg,ckVmyjKxXPg
일간,2026-06-15,shorts,미국,뉴스/정치,좋아요 순위,7,-2,"Search & Seizure, ICE Breaks In, U.S. Border Patrol Immigration Checkpoint, NGH",19272,2026.01.14,"#ice,#borderpatrol",Robert Trudell,"112,000",https://img.youtube.com/vi/6Go8E16WlHw/mqdefault.jpg,6Go8E16WlHw
일간,2026-06-15,shorts,미국,뉴스/정치,좋아요 순위,8,+52,Spencer Pratt DROPS BOMBSHELL Evidence in FRAUDULENT LA Mayoral Race,19196,2026.06.14,,The Officer Tatum,"3,770,000",https://img.youtube.com/vi/IQF3VuKJAbE/mqdefault.jpg,IQF3VuKJAbE
일간,2026-06-15,shorts,미국,뉴스/정치,좋아요 순위,9,+1,콜로세움의 칼리굴라,18927,2026.06.14,,PoliticsGirl,"483,000",https://img.youtube.com/vi/_uyZhFi9-QU/mqdefault.jpg,_uyZhFi9-QU
일간,2026-06-15,shorts,미국,뉴스/정치,좋아요 순위,10,NEW,탁월하다 - 놀라운 이중잣대,18706,2026.06.15,"#trish,#trishreganshow",Trish Regan,"1,280,000",https://img.youtube.com/vi/XUpSBH7J0ds/mqdefault.jpg,XUpSBH7J0ds
일간,2026-06-15,shorts,미국,뉴스/정치,좋아요 순위,11,NEW,Why Sons Should Have Their Fathers,18169,2026.06.15,"#ViralClips,#CaughtOnCamera",Seth Summers TV,"90,399",https://img.youtube.com/vi/t8-cCKApeVI/mqdefault.jpg,t8-cCKApeVI
