Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Comments,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,동물,댓글 순위,1,0,그들이 나를 볼 수 있다고 생각하나요?,3600,2026.06.14,,Forrest Galante,"2,720,000",https://img.youtube.com/vi/TTSUrA0xjiY/mqdefault.jpg,TTSUrA0xjiY
일간,2026-06-15,shorts,미국,동물,댓글 순위,2,NEW,"Dumped With His Bed and Water Bowl, This Puppy Waited for an Owner Who Never Came Back",1100,2026.06.14,,Mercy Tails,"60,599",https://img.youtube.com/vi/Y4koTn8n3Ss/mqdefault.jpg,Y4koTn8n3Ss
일간,2026-06-15,shorts,미국,동물,댓글 순위,3,-1,모든 원숭이가 거절했다… 단 한 마리만 빼고 😳🐒,1000,2026.05.20,"#shorts,#viral",Rosafari,"2,350,000",https://img.youtube.com/vi/0FfKM3eG8io/mqdefault.jpg,0FfKM3eG8io
일간,2026-06-15,shorts,미국,동물,댓글 순위,4,NEW,Bathing a cat is so easy!,1000,2025.10.12,"#catbathing,#cat",Paws & Me,"172,000",https://img.youtube.com/vi/Br6jbjr8gEA/mqdefault.jpg,Br6jbjr8gEA
일간,2026-06-15,shorts,미국,동물,댓글 순위,5,NEW,Esta Chica Cambió Su Rostro Así Para Hacerla Sonreír 😳❤️,1000,2026.05.05,,Amigos Peludos,"3,070,000",https://img.youtube.com/vi/tdws6yf0FG0/mqdefault.jpg,tdws6yf0FG0
일간,2026-06-15,shorts,미국,동물,댓글 순위,6,0,그는 강아지 귀에 교정기를 달았는데 결과가 정말 기가 막히네요 😮,700,2026.06.10,,HL Stories,"409,000",https://img.youtube.com/vi/y0z6Hzr_8UY/mqdefault.jpg,y0z6Hzr_8UY
일간,2026-06-15,shorts,미국,동물,댓글 순위,7,+18,"This parrot, which sleeps with its owner, even talks in its sleep.",586,2026.06.09,"#parrot,#parrots",Happy parrots,"254,000",https://img.youtube.com/vi/Y782GONO1Cc/mqdefault.jpg,Y782GONO1Cc
일간,2026-06-15,shorts,미국,동물,댓글 순위,8,NEW,빨래는 영 소질이 없네 😆,564,2026.06.15,"#miketv,#ploop",WILLY WONKY & CHARLIE BEAR,"71,500",https://img.youtube.com/vi/5pk24cvxcr4/mqdefault.jpg,5pk24cvxcr4
일간,2026-06-15,shorts,미국,동물,댓글 순위,9,-2,They Had To Sing Baby As An Animal🐱🐶🎤,499,2026.06.14,"#shorts,#viral",Rosafari,"2,350,000",https://img.youtube.com/vi/Ui3X9Hfr6Ws/mqdefault.jpg,Ui3X9Hfr6Ws
일간,2026-06-15,shorts,미국,동물,댓글 순위,10,+3,Hognose Snake Insists it is Dead!,466,2026.06.10,"#snakes,#reptiles",Will Robertson's Wildlife,"228,000",https://img.youtube.com/vi/9cA5eYBs2is/mqdefault.jpg,9cA5eYBs2is
