Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Likes,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,동물,좋아요 순위,1,0,그들이 나를 볼 수 있다고 생각하나요?,164815,2026.06.14,,Forrest Galante,"2,720,000",https://img.youtube.com/vi/TTSUrA0xjiY/mqdefault.jpg,TTSUrA0xjiY
일간,2026-06-15,shorts,미국,동물,좋아요 순위,2,+1,Hognose Snake Insists it is Dead!,62846,2026.06.10,"#snakes,#reptiles",Will Robertson's Wildlife,"228,000",https://img.youtube.com/vi/9cA5eYBs2is/mqdefault.jpg,9cA5eYBs2is
일간,2026-06-15,shorts,미국,동물,좋아요 순위,3,-1,그는 강아지 귀에 교정기를 달았는데 결과가 정말 기가 막히네요 😮,52232,2026.06.10,,HL Stories,"409,000",https://img.youtube.com/vi/y0z6Hzr_8UY/mqdefault.jpg,y0z6Hzr_8UY
일간,2026-06-15,shorts,미국,동물,좋아요 순위,4,+12,"This parrot, which sleeps with its owner, even talks in its sleep.",43353,2026.06.09,"#parrot,#parrots",Happy parrots,"254,000",https://img.youtube.com/vi/Y782GONO1Cc/mqdefault.jpg,Y782GONO1Cc
일간,2026-06-15,shorts,미국,동물,좋아요 순위,5,+5,"A brave Alabai puppy, surrounded by jackals, is very happy to see his mother.",43296,2025.12.02,,Pers Pets,"189,000",https://img.youtube.com/vi/0H_pPDc14Cc/mqdefault.jpg,0H_pPDc14Cc
일간,2026-06-15,shorts,미국,동물,좋아요 순위,6,+5,뇌세포 하나를 나눠 쓰는 고양이와 아이들,40696,2026.06.08,"#웃긴,#고양이",PetMakeHappy,"183,000",https://img.youtube.com/vi/TZz09mt7T24/mqdefault.jpg,TZz09mt7T24
일간,2026-06-15,shorts,미국,동물,좋아요 순위,7,+2,Eles encenaram um Ragnarok🔥,39926,2026.06.14,#filmes,Tesouro do Cinema,"679,000",https://img.youtube.com/vi/Ff0msD_HcWk/mqdefault.jpg,Ff0msD_HcWk
일간,2026-06-15,shorts,미국,동물,좋아요 순위,8,+23,"물에 빠진 고슴도치를 우연히 발견한 여성, 그 후...",33063,2026.06.09,,Wildlife Animals 379,"5,480,000",https://img.youtube.com/vi/iKhmFBV0Rak/mqdefault.jpg,iKhmFBV0Rak
일간,2026-06-15,shorts,미국,동물,좋아요 순위,9,-4,What’s your hobby?😅,32402,2026.04.29,"#cat,#cats",Sonyakisa8 TT,"19,300,000",https://img.youtube.com/vi/gwGr6vcoYWE/mqdefault.jpg,gwGr6vcoYWE
일간,2026-06-15,shorts,미국,동물,좋아요 순위,10,-6,소리 확인하지 마세요😭😭,31397,2026.04.07,,Animalcom,"291,000",https://img.youtube.com/vi/iRmgk_W_ty4/mqdefault.jpg,iRmgk_W_ty4
일간,2026-06-15,shorts,미국,동물,좋아요 순위,11,+2,This Smart Dog Earned a Little Girl’s Trust,25356,2026.06.10,"#animals,#love",PawStepX,"40,400",https://img.youtube.com/vi/KKWYow7Info/mqdefault.jpg,KKWYow7Info
일간,2026-06-15,shorts,미국,동물,좋아요 순위,12,-5,부화 2일 전 찌그러진 거위 알을 발견했는데… 아기가 아직 살아있어요 🐣💛🪿✨,25321,2026.05.27,"#기적,#거위",MrGeese,"306,000",https://img.youtube.com/vi/IX0BC71f7bw/mqdefault.jpg,IX0BC71f7bw
일간,2026-06-15,shorts,미국,동물,좋아요 순위,13,-5,랜덤 카드를 뽑아 케이크 만들기,25303,2026.06.12,"#케이크,#케이크데코레이션",Sweet Impact,"3,500,000",https://img.youtube.com/vi/QTMkFrKPxxU/mqdefault.jpg,QTMkFrKPxxU
일간,2026-06-15,shorts,미국,동물,좋아요 순위,14,NEW,"친절한가, 아니면 비친절한가?",24275,2026.06.16,,Forrest Galante,"2,720,000",https://img.youtube.com/vi/bXYc7q9M7Sk/mqdefault.jpg,bXYc7q9M7Sk
