Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Comments,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,1,+1,불가능 축구 슛! ※역대급※,4000,2025.12.23,#BucketSquad,Jesser,"44,800,000",https://img.youtube.com/vi/HbaZxZMlHcM/mqdefault.jpg,HbaZxZMlHcM
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,2,NEW,Wemby knows it’s gonna be a long journey back to finals 😡,3300,2026.06.14,"#nba,#nbafinals",Bleacher Report,"4,960,000",https://img.youtube.com/vi/4zyegq-I_rs/mqdefault.jpg,4zyegq-I_rs
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,3,-2,누가 FIFA 월드컵에서 우승할까요?,3100,2026.06.12,#광고,Jesser,"44,800,000",https://img.youtube.com/vi/KprTbagX5XY/mqdefault.jpg,KprTbagX5XY
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,4,NEW,일리야 토푸리아의 나쁜 버릇 🥀 ✅,2800,2026.06.15,#UFC,Nansend Sports,"255,000",https://img.youtube.com/vi/b65X0D38rcs/mqdefault.jpg,b65X0D38rcs
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,5,NEW,"Gaethje ""How I BEAT Ilia's A**"" 😱",2100,2026.06.15,"#iliatopuria,#justingaethje",MMA READ,"166,000",https://img.youtube.com/vi/i1BS22B9foY/mqdefault.jpg,i1BS22B9foY
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,6,NEW,WHAT DREAMS ARE MADE OF 🏆,2000,2026.06.15,"#ufcwhitehouse,#UFC",UFC,"22,500,000",https://img.youtube.com/vi/-bTWxbyzbBA/mqdefault.jpg,-bTWxbyzbBA
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,7,NEW,Wemby won’t forget about this one 🥺,1900,2026.06.14,"#nba,#nbafinals",Bleacher Report,"4,960,000",https://img.youtube.com/vi/4z9LtppvURs/mqdefault.jpg,4z9LtppvURs
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,8,NEW,DOCTOR STOPPAGE...,1900,2026.06.15,"#ufcwhitehouse,#UFC",UFC,"22,500,000",https://img.youtube.com/vi/D2FvKtOSS3I/mqdefault.jpg,D2FvKtOSS3I
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,9,NEW,Wemby says Spurs dominated most of the Finals,1500,2026.06.14,"#nba,#victorwembanyama",Bleacher Report,"4,960,000",https://img.youtube.com/vi/G4wxhR6QaWM/mqdefault.jpg,G4wxhR6QaWM
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,10,NEW,Fury defeats Hall by decision 🥊 ‪@DAZNBoxing‬,1000,2026.06.14,"#BeautyVsTheBeast,#boxing",Bleacher Report,"4,960,000",https://img.youtube.com/vi/ZZiCeJsXOO0/mqdefault.jpg,ZZiCeJsXOO0
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,11,NEW,How Wemby ended his final press conference of the season 😅,1000,2026.06.14,"#nba,#victorwembanyama",Bleacher Report,"4,960,000",https://img.youtube.com/vi/RNsoiKCk66k/mqdefault.jpg,RNsoiKCk66k
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,12,NEW,Jose Alvarado after winning the Finals 😅,1000,2026.06.15,"#nba,#knicks",Bleacher Report,"4,960,000",https://img.youtube.com/vi/49f-kKeOAEI/mqdefault.jpg,49f-kKeOAEI
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,13,NEW,뉴욕 닉스가 NBA 챔피언십에서 우승한 순간! 🏆 53년 만의 첫 우승! 🔥,1000,2026.06.14,"#ESPN,#NBA",ESPN,"14,400,000",https://img.youtube.com/vi/lFEYvy1T5Gs/mqdefault.jpg,lFEYvy1T5Gs
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,14,NEW,Se rieron de la novia de un futbolista… hasta que ella respondió así,1000,2025.10.09,"#futbol,#football",GOAT 48,"169,000",https://img.youtube.com/vi/5Mu44RMZiR4/mqdefault.jpg,5Mu44RMZiR4
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,15,NEW,GoPro | Drainage Ditch Kayaking Race POV | Stu Telfer,1000,2023.08.27,"#Shorts,#GoProHERO11",고프로,"11,300,000",https://img.youtube.com/vi/FG0vP41ZhOA/mqdefault.jpg,FG0vP41ZhOA
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,16,-6,FINISH THE NAME…⚽️🤔💭,1000,2026.05.06,,Keveen Etzer Francois,"18,500",https://img.youtube.com/vi/Hpx-QX5pXYg/mqdefault.jpg,Hpx-QX5pXYg
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,17,NEW,Wemby keeps coming in 2nd place 💔,962,2026.06.14,#shorts,MTN Hoops,"190,000",https://img.youtube.com/vi/0DxLsvbiqas/mqdefault.jpg,0DxLsvbiqas
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,18,+101,타이슨의 아들이 모두를 놀라게 했다!😱,935,2026.06.11,"#ufc,#mma",Boxing Warriors,"248,000",https://img.youtube.com/vi/iXLvdsoANDI/mqdefault.jpg,iXLvdsoANDI
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,19,+9,공이 너무 갖고 싶었던 사람들 😂😅,900,2026.06.09,"#mlb,#야구",House of Highlights,"17,600,000",https://img.youtube.com/vi/wSdBRTfpHrQ/mqdefault.jpg,wSdBRTfpHrQ
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,20,NEW,Jalen Brunson is an NBA champion 🏆🔥,874,2026.06.14,"#nba,#jalenbrunson",Bleacher Report,"4,960,000",https://img.youtube.com/vi/VW92vesbJhY/mqdefault.jpg,VW92vesbJhY
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,21,NEW,El sueño de Celine por fin se hizo realidad,860,2026.06.15,,Football Guest,"707,000",https://img.youtube.com/vi/1mBogQ9jw-k/mqdefault.jpg,1mBogQ9jw-k
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,22,NEW,세상에서 제일 행복한 남자 😁,836,2026.06.15,"#ufcwhitehouse,#UFC",UFC,"22,500,000",https://img.youtube.com/vi/3hetDNmXpeo/mqdefault.jpg,3hetDNmXpeo
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,23,+8,Norwegian hill bombs😋,820,2026.06.14,"#rollerskating,#skate",Jammalynn Flower,"181,000",https://img.youtube.com/vi/jCXwVGuFfXQ/mqdefault.jpg,jCXwVGuFfXQ
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,24,-20,My Uncle Works At FIFA And Sent Me This🥶🔥,800,2026.06.11,"#football,#fifaworldcup2026",Night Owl 🦉,"6,130",https://img.youtube.com/vi/jp0pAx9Cfls/mqdefault.jpg,jp0pAx9Cfls
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,25,-11,FINISH THE NAME…⚽️🤔💭,800,2026.06.10,,Keveen Etzer Francois,"18,500",https://img.youtube.com/vi/-8oZY8W_Glo/mqdefault.jpg,-8oZY8W_Glo
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,26,+380,벤이 이 순간을 위해 53년을 기다려왔습니다 👏,772,2026.06.14,,NBA,"24,400,000",https://img.youtube.com/vi/3bAGNOMNIdU/mqdefault.jpg,3bAGNOMNIdU
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,27,NEW,게인이 불가능을 가능하게 만들었다 💥,760,2026.06.15,"#ufcwhitehouse,#UFC",UFC,"22,500,000",https://img.youtube.com/vi/xOBSRprPyYc/mqdefault.jpg,xOBSRprPyYc
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,28,NEW,게인이 다시 한번 잠정 챔피언에 올랐습니다!,734,2026.06.15,"#ufcwhitehouse,#UFC",UFC,"22,500,000",https://img.youtube.com/vi/PDTfOqYNTP0/mqdefault.jpg,PDTfOqYNTP0
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,29,NEW,The WORST FEELING in Sports 🥈💔,721,2026.06.15,#shorts,Locoprezident,"745,000",https://img.youtube.com/vi/HNG6qK1oVsg/mqdefault.jpg,HNG6qK1oVsg
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,30,-12,CHELSEA BARCELONA 2009 🔥,700,2026.06.11,,OVERTIME TV,"223,000",https://img.youtube.com/vi/WKxquwH7hNY/mqdefault.jpg,WKxquwH7hNY
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,31,NEW,정말 엄청난 경기였다,699,2026.06.15,"#ufcwhitehouse,#UFC",UFC,"22,500,000",https://img.youtube.com/vi/9edjW2hUIf4/mqdefault.jpg,9edjW2hUIf4
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,32,+90,드디어 끝났습니다! 🗣️ 스티븐 A. 스미스는 이제 마음 편히 쉴 수 있겠네요 🏆,670,2026.06.14,"#ESPN,#NBA",ESPN,"14,400,000",https://img.youtube.com/vi/gZk4D-to59M/mqdefault.jpg,gZk4D-to59M
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,33,NEW,THE KNICKS ARE CHAMPIONS LIVE REACTION 🥲🏆,620,2026.06.14,"#knicksfantv,#knicksnews",KnicksFanTV,"107,000",https://img.youtube.com/vi/TGPwvrTHkLw/mqdefault.jpg,TGPwvrTHkLw
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,34,+146,일리아 토푸리아가 저스틴 게이치를 밀쳤다,600,2026.06.13,"#ufcwhitehouse,#UFC",UFC,"22,500,000",https://img.youtube.com/vi/TUge_B_O9EE/mqdefault.jpg,TUge_B_O9EE
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,35,-10,성인이 되자마자 바로 감옥에 간다면?,600,2026.06.08,,COPSCOPE,"70,900",https://img.youtube.com/vi/25JnJuWz5xI/mqdefault.jpg,25JnJuWz5xI
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,36,NEW,KAT finds his dad and his fiancée Jordyn Woods. 💕 🏆,599,2026.06.14,,NBA,"24,400,000",https://img.youtube.com/vi/Uswp1AoVP54/mqdefault.jpg,Uswp1AoVP54
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,37,NEW,Islam Makhachev says Ilia Topuria got humbled by Justin Gaethje at the UFC White House,569,2026.06.15,"#ufc,#mma",Delinquent MMA,"52,000",https://img.youtube.com/vi/cW-84yYhjFs/mqdefault.jpg,cW-84yYhjFs
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,38,NEW,IT'S CHAMA TIME 🗿,566,2026.06.15,"#ufcwhitehouse,#UFC",UFC,"22,500,000",https://img.youtube.com/vi/b1am4sXp96U/mqdefault.jpg,b1am4sXp96U
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,39,NEW,Brunson found a way 🏆,561,2026.06.15,"#nba,#nbafinals",Bleacher Report,"4,960,000",https://img.youtube.com/vi/YtLbjPqLsR8/mqdefault.jpg,YtLbjPqLsR8
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,40,NEW,Absolute cinema as Knicks win first NBA Championship in 53 years 🏆,560,2026.06.14,,NBA,"24,400,000",https://img.youtube.com/vi/PMzLUvr4M8U/mqdefault.jpg,PMzLUvr4M8U
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,41,NEW,강력한 타격이 쏟아지는,544,2026.06.15,"#ufcwhitehouse,#UFC",UFC,"22,500,000",https://img.youtube.com/vi/sJCgTe-sYV8/mqdefault.jpg,sJCgTe-sYV8
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,42,NEW,이보다 더 좋을 순 없는 반응,529,2026.06.15,"#ufcwhitehouse,#UFC",UFC,"22,500,000",https://img.youtube.com/vi/XkthRsSjdpY/mqdefault.jpg,XkthRsSjdpY
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,43,NEW,🇺🇿 Bu duodan keyin yutishimiz shart!,523,2026.06.15,"#futbol,#top",Dunyo Futboli,"47,600",https://img.youtube.com/vi/7UhWWsltoAA/mqdefault.jpg,7UhWWsltoAA
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,44,NEW,'보통은 스턴트 대역이 해요.' 🤣 티모시 샬라메의 눈이 너무 뜨거워 보여요 😭,520,2026.06.14,#ESPN,ESPN,"14,400,000",https://img.youtube.com/vi/O9s-TwIr5js/mqdefault.jpg,O9s-TwIr5js
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,45,NEW,"""¿Que SALIO de DEBAJO del SHORT de ESTE JUGADOR 🤔""",512,2026.06.14,"#shorts,#youtubeshorts",ZonaGol,"325,000",https://img.youtube.com/vi/Xc3ZM5aRbF8/mqdefault.jpg,Xc3ZM5aRbF8
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,46,NEW,Mitch Johnson on what he wishes Spurs did differently vs. Brunson 💀,508,2026.06.15,"#nba,#basketball",Bleacher Report,"4,960,000",https://img.youtube.com/vi/C9N8qjoHRf0/mqdefault.jpg,C9N8qjoHRf0
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,47,NEW,"KAT, 또 다른 도전을 위해 준비 완료! 🔥",505,2026.06.15,#ESPN,NBA on ESPN,"2,110,000",https://img.youtube.com/vi/ACtLMU7y0bU/mqdefault.jpg,ACtLMU7y0bU
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,48,NEW,JB X KAT 😂 🏆,500,2026.06.14,,NBA,"24,400,000",https://img.youtube.com/vi/VtAkJHX5MGU/mqdefault.jpg,VtAkJHX5MGU
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,49,+328,Will the Spurs win Game 5 after their brutal collapse? 🤔,500,2026.06.11,"#nbafinals,#knicks",CBS Sports,"1,200,000",https://img.youtube.com/vi/iRbLkPnuAIU/mqdefault.jpg,iRbLkPnuAIU
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,50,-45,조시 호킷과 데릭 루이스의 신경전,500,2026.06.14,"#UFC화이트하우스,#UFC",UFC,"22,500,000",https://img.youtube.com/vi/F8LxlLdk76k/mqdefault.jpg,F8LxlLdk76k
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,51,+31,Chris Webber on “Arrogant” Spurs’ “Unforgiveable” Game 4 Mistakes vs Knicks,500,2026.06.12,"#richeisenshow,#nba",The Rich Eisen Show,"1,100,000",https://img.youtube.com/vi/DLFnUbCHYu0/mqdefault.jpg,DLFnUbCHYu0
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,52,-43,😭🤮 Josh Hokit THROWS UP during UFC Freedom 250 official weigh in,500,2026.06.14,"#JOSHHOKIT,#UFCFREEDOM250",FULL SEND MMA,"615,000",https://img.youtube.com/vi/Gn2-4Y9EU5E/mqdefault.jpg,Gn2-4Y9EU5E
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,53,NEW,"Ilia ""I'm Confident NOT COCKY"" 😱",496,2026.06.15,"#iliatopuria,#ufcwhitehouse",MMA READ,"166,000",https://img.youtube.com/vi/NzJgfxVlkfs/mqdefault.jpg,NzJgfxVlkfs
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,54,NEW,What will Jalen Brunson’s Legacy Be?,493,2026.06.15,,Andrew Fenichel,"205,000",https://img.youtube.com/vi/R68R9mKBsIs/mqdefault.jpg,R68R9mKBsIs
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,55,NEW,They Won But At What Cost?..😓💔,491,2026.06.14,"#scottsterling,#goalkeeper",MenXftbl,"311,000",https://img.youtube.com/vi/58j9VHAiBNg/mqdefault.jpg,58j9VHAiBNg
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,56,NEW,가네는 왜 눈을 찌를까? ✅,478,2026.06.14,#UFC,Nansend Sports,"255,000",https://img.youtube.com/vi/_ReNTbc4Sh0/mqdefault.jpg,_ReNTbc4Sh0
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,57,NEW,"""Niños vs Adultos en el Fútbol 👶⚽️""",467,2026.06.15,"#shorts,#youtubeshorts",ZonaGol,"325,000",https://img.youtube.com/vi/nHZsWT3MiHk/mqdefault.jpg,nHZsWT3MiHk
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,58,NEW,"브런슨, 자신의 신체적 한계를 극복하고 회의론자들의 생각을 뒤집다",457,2026.06.15,#ESPN,NBA on ESPN,"2,110,000",https://img.youtube.com/vi/1VuJ6Ku4PIw/mqdefault.jpg,1VuJ6Ku4PIw
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,59,+166,젤렌 브런슨은 아버지를 보자마자 모든 감정을 쏟아냈다.,440,2026.06.14,,NBA,"24,400,000",https://img.youtube.com/vi/d8PpIFtKs4M/mqdefault.jpg,d8PpIFtKs4M
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,60,NEW,웬비(Wemby)는 모든 게 빨리 끝나기만을 기다렸다👀,429,2026.06.14,"#nbafinals,#nbaplayoffs",House of Highlights,"17,600,000",https://img.youtube.com/vi/1XBDLu4KsnY/mqdefault.jpg,1XBDLu4KsnY
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,61,+103,The knicks turned an alien into a human 👽,427,2026.06.09,"#shorts,#NBA",Bricks & Buckets,"7,530",https://img.youtube.com/vi/uZlO_prhSLs/mqdefault.jpg,uZlO_prhSLs
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,62,NEW,CIRYL GANE DEFEATS ALEX PEREIRA🚨,427,2026.06.15,"#UFC,#MMA",House of Highlights,"17,600,000",https://img.youtube.com/vi/KQFuFIsf-io/mqdefault.jpg,KQFuFIsf-io
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,63,NEW,Mikal Bridges was worth the picks 🏆,426,2026.06.14,"#nba,#nbafinals",Bleacher Report,"4,960,000",https://img.youtube.com/vi/sFxNxYn4_mI/mqdefault.jpg,sFxNxYn4_mI
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,64,NEW,Germany did it again 😭🙏🏼,425,2026.06.15,,Bex,"130,000",https://img.youtube.com/vi/5swzZt1Ed8k/mqdefault.jpg,5swzZt1Ed8k
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,65,NEW,Knicks Fan Rich Eisen Reacts to New York Winning the NBA Finals For the First Time In 53 Years,423,2026.06.14,"#richeisenshow,#nba",The Rich Eisen Show,"1,100,000",https://img.youtube.com/vi/k2hLrZwDGk4/mqdefault.jpg,k2hLrZwDGk4
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,66,+85,엄마가 버림.. 💀,421,2026.06.14,#shorts,Cam 23,"119,000",https://img.youtube.com/vi/XTWphyO4gy8/mqdefault.jpg,XTWphyO4gy8
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,67,+166,KAT는 옛 동료에게 감사를 표합니다 🥹,412,2026.06.14,"#ESPN,#NBA결승전",ESPN,"14,400,000",https://img.youtube.com/vi/FqGI1PumL_s/mqdefault.jpg,FqGI1PumL_s
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,68,NEW,"""¿Porque Neymar Siempre se Lesiona 🤔""",411,2026.06.15,"#shorts,#youtubeshorts",ZonaGol,"325,000",https://img.youtube.com/vi/FC0bUu7Wnzs/mqdefault.jpg,FC0bUu7Wnzs
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,69,NEW,Gymnastics flexibility contest 😳,401,2026.06.15,"#olympics,#gymnastics",Ian Gunther,"2,200,000",https://img.youtube.com/vi/H5wa-urxnAs/mqdefault.jpg,H5wa-urxnAs
일간,2026-06-15,shorts,미국,스포츠,댓글 순위,70,-31,"It's called Football, not Soccer 🤫⚽",400,2026.05.23,"#football,#soccer",OX,"1,590,000",https://img.youtube.com/vi/t3b8cDkvycw/mqdefault.jpg,t3b8cDkvycw
