Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,스포츠,조회수 순위,1,0,누가 FIFA 월드컵에서 우승할까요?,10060731,2026.06.12,#광고,Jesser,"44,800,000",https://img.youtube.com/vi/KprTbagX5XY/mqdefault.jpg,KprTbagX5XY
일간,2026-06-15,shorts,미국,스포츠,조회수 순위,2,+3,Other knee slides vs This one 😂🤯,8408660,2026.05.24,"#200iQMoments,#FootballHighlights",Roni Njr 10,"33,000",https://img.youtube.com/vi/el0qLlayUhM/mqdefault.jpg,el0qLlayUhM
일간,2026-06-15,shorts,미국,스포츠,조회수 순위,3,-1,Mavie Reacts to Neymar On Stage...😂❤️,7684231,2026.06.10,"#neymar,#neymarjr",217aep,"3,410,000",https://img.youtube.com/vi/cqmoAwuL_MI/mqdefault.jpg,cqmoAwuL_MI
일간,2026-06-15,shorts,미국,스포츠,조회수 순위,4,+2,아이스 해머 꿀팁!,6387644,2026.04.27,#BucketSquad,Jesser,"44,800,000",https://img.youtube.com/vi/u09MP4l03k4/mqdefault.jpg,u09MP4l03k4
일간,2026-06-15,shorts,미국,스포츠,조회수 순위,5,-2,마법 반지 해킹! @zackdfilms,6168813,2026.06.12,#BucketSquad,Jesser,"44,800,000",https://img.youtube.com/vi/VAR3U9P9GDg/mqdefault.jpg,VAR3U9P9GDg
일간,2026-06-15,shorts,미국,스포츠,조회수 순위,6,-2,AVON NOVA 🚓 Little Officer on Duty. POOM POOM! Freeze!,5970999,2023.05.05,"#avonnova,#police",AVON NOVA,"1,310,000",https://img.youtube.com/vi/jQayvYGqPbk/mqdefault.jpg,jQayvYGqPbk
일간,2026-06-15,shorts,미국,스포츠,조회수 순위,7,+4,BRO WAS ALREADY MOVING 😭,4495395,2026.04.02,,BlazeTrack Clips,"68,500",https://img.youtube.com/vi/KpvwDxed2V8/mqdefault.jpg,KpvwDxed2V8
일간,2026-06-15,shorts,미국,스포츠,조회수 순위,8,NEW,Gymnastics flexibility contest 😳,4197975,2026.06.15,"#olympics,#gymnastics",Ian Gunther,"2,200,000",https://img.youtube.com/vi/H5wa-urxnAs/mqdefault.jpg,H5wa-urxnAs
일간,2026-06-15,shorts,미국,스포츠,조회수 순위,9,+27,타이슨의 아들이 모두를 놀라게 했다!😱,3987996,2026.06.11,"#ufc,#mma",Boxing Warriors,"248,000",https://img.youtube.com/vi/iXLvdsoANDI/mqdefault.jpg,iXLvdsoANDI
일간,2026-06-15,shorts,미국,스포츠,조회수 순위,10,0,Ronaldo & Messi Love Their Fans ❤️🩹,3960392,2026.05.13,,Porsevio,"533,000",https://img.youtube.com/vi/-aTVnlfLz3c/mqdefault.jpg,-aTVnlfLz3c
일간,2026-06-15,shorts,미국,스포츠,조회수 순위,11,-4,My Uncle Works At FIFA And Sent Me This🥶🔥,3770369,2026.06.11,"#football,#fifaworldcup2026",Night Owl 🦉,"6,130",https://img.youtube.com/vi/jp0pAx9Cfls/mqdefault.jpg,jp0pAx9Cfls
일간,2026-06-15,shorts,미국,스포츠,조회수 순위,12,+18,Only Ronaldo Can Score A Goal Like This...,3262910,2026.06.14,"#football,#viral",ZeroSeven,"64,000",https://img.youtube.com/vi/LwEmbve3imE/mqdefault.jpg,LwEmbve3imE
