Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Likes,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,스포츠,좋아요 순위,1,NEW,Others vs Messi's Bicycle kick 😂🔥,146088,2025.11.25,"#football,#cristianoronaldo",A7 EDITZ,"1,950,000",https://img.youtube.com/vi/HZM_8oFI03Q/mqdefault.jpg,HZM_8oFI03Q
일간,2026-06-15,shorts,미국,스포츠,좋아요 순위,2,NEW,Gymnastics flexibility contest 😳,129859,2026.06.15,"#olympics,#gymnastics",Ian Gunther,"2,200,000",https://img.youtube.com/vi/H5wa-urxnAs/mqdefault.jpg,H5wa-urxnAs
일간,2026-06-15,shorts,미국,스포츠,좋아요 순위,3,-1,Other knee slides vs This one 😂🤯,102441,2026.05.24,"#200iQMoments,#FootballHighlights",Roni Njr 10,"33,000",https://img.youtube.com/vi/el0qLlayUhM/mqdefault.jpg,el0qLlayUhM
일간,2026-06-15,shorts,미국,스포츠,좋아요 순위,4,-3,아이스 해머 꿀팁!,99667,2026.04.27,#BucketSquad,Jesser,"44,800,000",https://img.youtube.com/vi/u09MP4l03k4/mqdefault.jpg,u09MP4l03k4
일간,2026-06-15,shorts,미국,스포츠,좋아요 순위,5,-2,마법 반지 해킹! @zackdfilms,94532,2026.06.12,#BucketSquad,Jesser,"44,800,000",https://img.youtube.com/vi/VAR3U9P9GDg/mqdefault.jpg,VAR3U9P9GDg
일간,2026-06-15,shorts,미국,스포츠,좋아요 순위,6,+8,타이슨의 아들이 모두를 놀라게 했다!😱,76082,2026.06.11,"#ufc,#mma",Boxing Warriors,"248,000",https://img.youtube.com/vi/iXLvdsoANDI/mqdefault.jpg,iXLvdsoANDI
일간,2026-06-15,shorts,미국,스포츠,좋아요 순위,7,-3,BRO WAS ALREADY MOVING 😭,75002,2026.04.02,,BlazeTrack Clips,"68,500",https://img.youtube.com/vi/KpvwDxed2V8/mqdefault.jpg,KpvwDxed2V8
일간,2026-06-15,shorts,미국,스포츠,좋아요 순위,8,+8,공이 너무 갖고 싶었던 사람들 😂😅,68046,2026.06.09,"#mlb,#야구",House of Highlights,"17,600,000",https://img.youtube.com/vi/wSdBRTfpHrQ/mqdefault.jpg,wSdBRTfpHrQ
일간,2026-06-15,shorts,미국,스포츠,좋아요 순위,9,-3,Celebrations for sick kids ❤️‍🩹,60827,2026.05.15,"#Football,#Soccer",FootEdits,"319,000",https://img.youtube.com/vi/pBC5AXT_L3w/mqdefault.jpg,pBC5AXT_L3w
일간,2026-06-15,shorts,미국,스포츠,좋아요 순위,10,-1,누가 FIFA 월드컵에서 우승할까요?,58898,2026.06.12,#광고,Jesser,"44,800,000",https://img.youtube.com/vi/KprTbagX5XY/mqdefault.jpg,KprTbagX5XY
일간,2026-06-15,shorts,미국,스포츠,좋아요 순위,11,NEW,일리야 토푸리아의 나쁜 버릇 🥀 ✅,56967,2026.06.15,#UFC,Nansend Sports,"255,000",https://img.youtube.com/vi/b65X0D38rcs/mqdefault.jpg,b65X0D38rcs
일간,2026-06-15,shorts,미국,스포츠,좋아요 순위,12,-2,Ronaldo & Messi Love Their Fans ❤️🩹,49092,2026.05.13,,Porsevio,"533,000",https://img.youtube.com/vi/-aTVnlfLz3c/mqdefault.jpg,-aTVnlfLz3c
일간,2026-06-15,shorts,미국,스포츠,좋아요 순위,13,+2,Gymnasts are too good 😂 (Rebekah Bean in the first one 🐐),45901,2026.06.14,"#gymnastics,#toystory",Ian Gunther,"2,200,000",https://img.youtube.com/vi/DwP-GAin6p4/mqdefault.jpg,DwP-GAin6p4
일간,2026-06-15,shorts,미국,스포츠,좋아요 순위,14,-9,This Is Why We Love Football ❤️‍🩹,41408,2026.06.08,,BallerVerse,"102,000",https://img.youtube.com/vi/v1YanLyWOYQ/mqdefault.jpg,v1YanLyWOYQ
일간,2026-06-15,shorts,미국,스포츠,좋아요 순위,15,+10,Only Ronaldo Can Score A Goal Like This...,38672,2026.06.14,"#football,#viral",ZeroSeven,"64,000",https://img.youtube.com/vi/LwEmbve3imE/mqdefault.jpg,LwEmbve3imE
일간,2026-06-15,shorts,미국,스포츠,좋아요 순위,16,-5,He had to remember that's still his brother,38669,2025.12.30,"#siblings,#boxing",Sport Launch,"203,000",https://img.youtube.com/vi/064NdiClhfc/mqdefault.jpg,064NdiClhfc
일간,2026-06-15,shorts,미국,스포츠,좋아요 순위,17,NEW,NBA 82전 0패 달성할 때까지 계속하기! 🏀👀,38272,2026.06.15,#nba,The Deep 3,"751,000",https://img.youtube.com/vi/325kRKMHTqE/mqdefault.jpg,325kRKMHTqE
일간,2026-06-15,shorts,미국,스포츠,좋아요 순위,18,+18,무한 돈 복사 버그!,35517,2026.04.30,#BucketSquad,Jesser,"44,800,000",https://img.youtube.com/vi/1K79ThGNS6o/mqdefault.jpg,1K79ThGNS6o
일간,2026-06-15,shorts,미국,스포츠,좋아요 순위,19,+54,모든 월드컵 참가국에 무료 굿즈 보내달라고 요청하기,33563,2026.06.14,"#월드컵,#FIFA",Phillip A,"155,000",https://img.youtube.com/vi/p6Hz4X2WrGM/mqdefault.jpg,p6Hz4X2WrGM
일간,2026-06-15,shorts,미국,스포츠,좋아요 순위,20,-12,Cristiano Ronaldo desafió la gravedad 😳,32422,2026.06.08,,GOAT 48,"169,000",https://img.youtube.com/vi/QziNVZ4AvTc/mqdefault.jpg,QziNVZ4AvTc
일간,2026-06-15,shorts,미국,스포츠,좋아요 순위,21,NEW,WHAT DREAMS ARE MADE OF 🏆,32131,2026.06.15,"#ufcwhitehouse,#UFC",UFC,"22,500,000",https://img.youtube.com/vi/-bTWxbyzbBA/mqdefault.jpg,-bTWxbyzbBA
일간,2026-06-15,shorts,미국,스포츠,좋아요 순위,22,0,Tommy vs. Eddie '𝗧𝗼𝗽 𝗧𝗿𝘂𝗺𝗽𝘀' style 🍿,31233,2026.06.13,"#BeautyVsTheBeast,#DAZN",DAZN Boxing,"5,070,000",https://img.youtube.com/vi/fzamhtl2ync/mqdefault.jpg,fzamhtl2ync
일간,2026-06-15,shorts,미국,스포츠,좋아요 순위,23,NEW,"Gaethje ""How I BEAT Ilia's A**"" 😱",30902,2026.06.15,"#iliatopuria,#justingaethje",MMA READ,"166,000",https://img.youtube.com/vi/i1BS22B9foY/mqdefault.jpg,i1BS22B9foY
일간,2026-06-15,shorts,미국,스포츠,좋아요 순위,24,-5,Messi Vs Ishowspeed Vs Ronaldo Camera Moments..🤯🔥,29695,2026.06.11,"#football,#shorts",Emperorftbl,"158,000",https://img.youtube.com/vi/CaTpDotGzrI/mqdefault.jpg,CaTpDotGzrI
일간,2026-06-15,shorts,미국,스포츠,좋아요 순위,25,+2,불가능 축구 슛! ※역대급※,28775,2025.12.23,#BucketSquad,Jesser,"44,800,000",https://img.youtube.com/vi/HbaZxZMlHcM/mqdefault.jpg,HbaZxZMlHcM
일간,2026-06-15,shorts,미국,스포츠,좋아요 순위,26,NEW,Wemby keeps coming in 2nd place 💔,28570,2026.06.14,#shorts,MTN Hoops,"190,000",https://img.youtube.com/vi/0DxLsvbiqas/mqdefault.jpg,0DxLsvbiqas
일간,2026-06-15,shorts,미국,스포츠,좋아요 순위,27,NEW,Jose Alvarado after winning the Finals 😅,28185,2026.06.15,"#nba,#knicks",Bleacher Report,"4,960,000",https://img.youtube.com/vi/49f-kKeOAEI/mqdefault.jpg,49f-kKeOAEI
일간,2026-06-15,shorts,미국,스포츠,좋아요 순위,28,+2,Smartest Ronaldo Fan Ever 🐬🤯,27965,2026.02.26,,Porsevio,"533,000",https://img.youtube.com/vi/8l8MDw0ux-k/mqdefault.jpg,8l8MDw0ux-k
일간,2026-06-15,shorts,미국,스포츠,좋아요 순위,29,+15,When Maradona Solves Kane's Problem😂,26619,2026.06.11,"#goal,#goals",Senax,"38,300",https://img.youtube.com/vi/AfLworf41D0/mqdefault.jpg,AfLworf41D0
일간,2026-06-15,shorts,미국,스포츠,좋아요 순위,30,-1,라민 야말을 뽑을 수 있을까??,24682,2026.06.12,"#숏츠,#유튜브숏츠",Devin Caherly,"5,720,000",https://img.youtube.com/vi/q-qUzBlvD94/mqdefault.jpg,q-qUzBlvD94
일간,2026-06-15,shorts,미국,스포츠,좋아요 순위,31,NEW,50 Cent(골든 글러브) vs 플로이드 메이웨더(세계 챔피언) 추억 소환👀,24596,2026.05.30,"#복싱훈련,#FloydMayweather",Head Bussin Boxing,"59,100",https://img.youtube.com/vi/c0AMszkagzU/mqdefault.jpg,c0AMszkagzU
