Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Comments,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,엔터테인먼트,댓글 순위,1,NEW,구독자분들의 소원을 들어드립니다,10000,2026.05.08,,미스터 비스트,"501,000,000",https://img.youtube.com/vi/B9LizOAAoLg/mqdefault.jpg,B9LizOAAoLg
일간,2026-06-15,shorts,미국,엔터테인먼트,댓글 순위,2,NEW,"유튜버를 맞추면 1,000달러",8496,2026.06.15,,미스터 비스트,"501,000,000",https://img.youtube.com/vi/xDuuM3ERr5Q/mqdefault.jpg,xDuuM3ERr5Q
일간,2026-06-15,shorts,미국,엔터테인먼트,댓글 순위,3,+330,설마 이게 사실이라고?,5200,2026.06.14,"#무슬림,#데시",Browniesaadi,"819,000",https://img.youtube.com/vi/ZyghbkhreT8/mqdefault.jpg,ZyghbkhreT8
일간,2026-06-15,shorts,미국,엔터테인먼트,댓글 순위,4,NEW,내 친구를 석방하라!,5000,2026.06.15,,JD Delay,"1,760,000",https://img.youtube.com/vi/9ll17SNu3Aw/mqdefault.jpg,9ll17SNu3Aw
일간,2026-06-15,shorts,미국,엔터테인먼트,댓글 순위,5,NEW,카멜로의 유죄 협상 합의,3900,2026.06.15,,JD Delay,"1,760,000",https://img.youtube.com/vi/0gY5SWNw2Ng/mqdefault.jpg,0gY5SWNw2Ng
일간,2026-06-15,shorts,미국,엔터테인먼트,댓글 순위,6,+6,그들이 그녀의 번지 점프용 줄을 연결하는 걸 잊었다니 믿을 수가 없어.,2500,2026.06.14,,Kagan Dunlap,"1,060,000",https://img.youtube.com/vi/HSpkS01NL1Y/mqdefault.jpg,HSpkS01NL1Y
일간,2026-06-15,shorts,미국,엔터테인먼트,댓글 순위,7,+229,We ALL love doing this,2464,2026.06.15,"#relatablestories,#comedy",Tyler Vitelli,"7,520,000",https://img.youtube.com/vi/MyzHsdLKJ70/mqdefault.jpg,MyzHsdLKJ70
일간,2026-06-15,shorts,미국,엔터테인먼트,댓글 순위,8,-1,I Tried a Bag of Air from 2020.. 💨,2400,2026.06.14,"#relatablestories,#comedy",Tyler Vitelli,"7,520,000",https://img.youtube.com/vi/VB8G6aWcUEo/mqdefault.jpg,VB8G6aWcUEo
일간,2026-06-15,shorts,미국,엔터테인먼트,댓글 순위,9,NEW,How Fast Can You Guess This Baby? (Rapper),2300,2026.06.14,,BAT CHOPPA,"2,310,000",https://img.youtube.com/vi/JdKC6NhIxew/mqdefault.jpg,JdKC6NhIxew
일간,2026-06-15,shorts,미국,엔터테인먼트,댓글 순위,10,NEW,사람들이 너무 지쳤어요 😭,2200,2026.06.15,"#asmongold,#asmon",StompnWorld,"246,000",https://img.youtube.com/vi/t6cAFDu04gs/mqdefault.jpg,t6cAFDu04gs
일간,2026-06-15,shorts,미국,엔터테인먼트,댓글 순위,11,-1,카멜로의 부모,2200,2026.06.15,,JD Delay,"1,760,000",https://img.youtube.com/vi/HfnmpJDkJe0/mqdefault.jpg,HfnmpJDkJe0
일간,2026-06-15,shorts,미국,엔터테인먼트,댓글 순위,12,+331,광기 그 자체인 닉스 팬들,2004,2026.06.15,,Austin Sweatt,"477,000",https://img.youtube.com/vi/is68htKcj-s/mqdefault.jpg,is68htKcj-s
일간,2026-06-15,shorts,미국,엔터테인먼트,댓글 순위,13,-4,미니 스퀴시 언박싱 ✨,2000,2026.06.03,"#스퀴시,#언박싱",lilycollects,"3,410,000",https://img.youtube.com/vi/VlN_IDuNz4U/mqdefault.jpg,VlN_IDuNz4U
일간,2026-06-15,shorts,미국,엔터테인먼트,댓글 순위,14,NEW,다른 마술 트릭 VS 이번 트릭❤️,1957,2026.06.14,"#숏,#마술",Shrouds Fx,"507,000",https://img.youtube.com/vi/lGFTAAB12wY/mqdefault.jpg,lGFTAAB12wY
일간,2026-06-15,shorts,미국,엔터테인먼트,댓글 순위,15,+210,“Lack of Dignity”: Maureen Roasts Madonna for her Unwillingness to Let Go of Her Younger Persona,1900,2026.06.10,,The Nerve with Maureen Callahan,"328,000",https://img.youtube.com/vi/aXpmXcILIo0/mqdefault.jpg,aXpmXcILIo0
일간,2026-06-15,shorts,미국,엔터테인먼트,댓글 순위,16,+165,배상금 요구,1839,2026.06.15,,JD Delay,"1,760,000",https://img.youtube.com/vi/OiYk9WLlKrU/mqdefault.jpg,OiYk9WLlKrU
일간,2026-06-15,shorts,미국,엔터테인먼트,댓글 순위,17,NEW,Charleston White says Karmelo Anthony's father is weak and won't go to bat for his son after trial,1800,2026.06.15,"#antondaniels,#charlestonwhite",Anton Daniels,"1,420,000",https://img.youtube.com/vi/o-6EIUZ30HA/mqdefault.jpg,o-6EIUZ30HA
일간,2026-06-15,shorts,미국,엔터테인먼트,댓글 순위,18,NEW,World Cup in USA vs Rest of World,1700,2026.06.15,,Speed McQueen,"14,200,000",https://img.youtube.com/vi/bGc-9KOKSv4/mqdefault.jpg,bGc-9KOKSv4
