Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,엔터테인먼트,조회수 순위,1,+1,월드컵에서 가장 시끄러운 나라는? ⚽️,17137538,2026.06.14,"#ad,#fifaworldcup",Zhong,"72,600,000",https://img.youtube.com/vi/Fvta-JkYMgY/mqdefault.jpg,Fvta-JkYMgY
일간,2026-06-15,shorts,미국,엔터테인먼트,조회수 순위,2,0,동물을 맞춰보세요,16637477,2026.05.06,,미스터 비스트,"501,000,000",https://img.youtube.com/vi/rqsRdfdN4uI/mqdefault.jpg,rqsRdfdN4uI
일간,2026-06-15,shorts,미국,엔터테인먼트,조회수 순위,3,+12,How Growers Pack Large Plants in Seconds Without Damaging a Single Branch✨️👇,13359823,2026.06.09,,LifeHub,"65,900",https://img.youtube.com/vi/zNmvKHd7QKA/mqdefault.jpg,zNmvKHd7QKA
일간,2026-06-15,shorts,미국,엔터테인먼트,조회수 순위,4,+4,THAT WAS MY DRINK! 🥤😡,12811714,2026.06.12,,Strong Brain,"1,930,000",https://img.youtube.com/vi/tErb1KWhEEY/mqdefault.jpg,tErb1KWhEEY
일간,2026-06-15,shorts,미국,엔터테인먼트,조회수 순위,5,+1,모든 유튜브 플레이 버튼,12731135,2026.05.20,,미스터 비스트,"501,000,000",https://img.youtube.com/vi/SllXaJiQjBA/mqdefault.jpg,SllXaJiQjBA
일간,2026-06-15,shorts,미국,엔터테인먼트,조회수 순위,6,-2,구독하고 5억 유튜브 플레이 버튼을 확인하세요,12390235,2026.05.23,,미스터 비스트,"501,000,000",https://img.youtube.com/vi/hYahU_Cqwp8/mqdefault.jpg,hYahU_Cqwp8
일간,2026-06-15,shorts,미국,엔터테인먼트,조회수 순위,7,0,이게 들어가면 구독해야 합니다,10733412,2026.05.18,,미스터 비스트,"501,000,000",https://img.youtube.com/vi/dqpCvSU-ECE/mqdefault.jpg,dqpCvSU-ECE
일간,2026-06-15,shorts,미국,엔터테인먼트,조회수 순위,8,NEW,ЧАПИТОСИКИ ПОТЕРЯЛИСЬ😥😥😥,10588730,2026.06.03,"#shorts,#чапитося",Chapitosiki,"34,600,000",https://img.youtube.com/vi/ztmVs-yIum4/mqdefault.jpg,ztmVs-yIum4
일간,2026-06-15,shorts,미국,엔터테인먼트,조회수 순위,9,+7,정글에서 생존 기술을 뽐내보세요💦,10006287,2026.05.03,"#캠핑,#야외활동",OUDOM SKILLS,"117,000",https://img.youtube.com/vi/6r-vofHRAFw/mqdefault.jpg,6r-vofHRAFw
일간,2026-06-15,shorts,미국,엔터테인먼트,조회수 순위,10,-7,"버튼을 누르면, 천 달러",9629074,2026.05.16,,미스터 비스트,"501,000,000",https://img.youtube.com/vi/QAkEMtJpq3c/mqdefault.jpg,QAkEMtJpq3c
일간,2026-06-15,shorts,미국,엔터테인먼트,조회수 순위,11,-1,They Thought It Was Something Else 😭😂,9561581,2026.05.04,"#FunnyVideos,#Guitar",Your Name Guitar,"33,200",https://img.youtube.com/vi/1FLCj5pHHxU/mqdefault.jpg,1FLCj5pHHxU
일간,2026-06-15,shorts,미국,엔터테인먼트,조회수 순위,12,NEW,"유튜버를 맞추면 1,000달러",9544882,2026.06.15,,미스터 비스트,"501,000,000",https://img.youtube.com/vi/xDuuM3ERr5Q/mqdefault.jpg,xDuuM3ERr5Q
일간,2026-06-15,shorts,미국,엔터테인먼트,조회수 순위,13,-8,누가 가장 강한 스트리머일까요?,9487477,2026.04.04,,미스터 비스트,"501,000,000",https://img.youtube.com/vi/_JUlWtSCNbs/mqdefault.jpg,_JUlWtSCNbs
일간,2026-06-15,shorts,미국,엔터테인먼트,조회수 순위,14,+22,Crazy는 몇 마일이나 되는 걸까요?💀,9362693,2026.06.11,,MambaFxHUByt,"158,000",https://img.youtube.com/vi/D-6aL-OVvjw/mqdefault.jpg,D-6aL-OVvjw
일간,2026-06-15,shorts,미국,엔터테인먼트,조회수 순위,15,+2,구독자분들의 소원을 들어드립니다,8767572,2026.05.08,,미스터 비스트,"501,000,000",https://img.youtube.com/vi/B9LizOAAoLg/mqdefault.jpg,B9LizOAAoLg
일간,2026-06-15,shorts,미국,엔터테인먼트,조회수 순위,16,-7,Creating ASMR Relaxing Style HOK POP-TUBE,8709830,2026.06.10,"#satisfyingvideos,#relaxing",BaBy Bee,"1,290,000",https://img.youtube.com/vi/gWSjjv5O1CU/mqdefault.jpg,gWSjjv5O1CU
일간,2026-06-15,shorts,미국,엔터테인먼트,조회수 순위,17,-16,Water Fixes Everything 💀🔥 | 3 Body Problem | FUNK ABNORMAL (Slowed),8700150,2026.06.13,"#trending,#shorts",Riven-Edits,"808,000",https://img.youtube.com/vi/HmWeyudqYRU/mqdefault.jpg,HmWeyudqYRU
일간,2026-06-15,shorts,미국,엔터테인먼트,조회수 순위,18,+1,The Notorious B.I.G. Meets Michael Jackson,8395989,2026.05.24,,Marshmallows Diary,"67,100",https://img.youtube.com/vi/94PBapWU7W0/mqdefault.jpg,94PBapWU7W0
일간,2026-06-15,shorts,미국,엔터테인먼트,조회수 순위,19,+23,When I bought a quirky water gun hahaha with something very new gun toy time to arrange it,8298849,2025.07.05,,owen,"1,510,000",https://img.youtube.com/vi/l4YVD6SlRsw/mqdefault.jpg,l4YVD6SlRsw
일간,2026-06-15,shorts,미국,엔터테인먼트,조회수 순위,20,+6,Build a Funny Body Game! 🧩😄 | Fun Kids Learning,8189224,2026.03.24,"#kidsvideo,#funnygame",Toony Friends TV,"1,300,000",https://img.youtube.com/vi/YdSqLx5M7pc/mqdefault.jpg,YdSqLx5M7pc
일간,2026-06-15,shorts,미국,엔터테인먼트,조회수 순위,21,0,제가 가진 모든 유튜브 플레이 버튼,8183415,2025.08.16,,미스터 비스트,"501,000,000",https://img.youtube.com/vi/R_BmT1OJw98/mqdefault.jpg,R_BmT1OJw98
일간,2026-06-15,shorts,미국,엔터테인먼트,조회수 순위,22,+5,PINK BOX REACT Real or fake prank,8097967,2026.04.04,"#kpop,#kpopdemonhunter",Pink Box,"1,460,000",https://img.youtube.com/vi/AlXj_KFfOfY/mqdefault.jpg,AlXj_KFfOfY
일간,2026-06-15,shorts,미국,엔터테인먼트,조회수 순위,23,-10,세상에서 가장 빠른 데이트,7562465,2026.05.13,,미스터 비스트,"501,000,000",https://img.youtube.com/vi/hCuqh2NU2Yg/mqdefault.jpg,hCuqh2NU2Yg
일간,2026-06-15,shorts,미국,엔터테인먼트,조회수 순위,24,+8,Underwater Wine Opening Method 🥂,7398660,2026.06.13,"#shorts,#sciene",Curious as Hell,"229,000",https://img.youtube.com/vi/-Xd9Zcyy4AE/mqdefault.jpg,-Xd9Zcyy4AE
일간,2026-06-15,shorts,미국,엔터테인먼트,조회수 순위,25,NEW,Sleeping Time for Different people,7151109,2026.06.15,,Speed McQueen,"14,200,000",https://img.youtube.com/vi/mMD7MN_xJaI/mqdefault.jpg,mMD7MN_xJaI
일간,2026-06-15,shorts,미국,엔터테인먼트,조회수 순위,26,+2,세계에서 가장 유연한 소녀와 공중에 뜬 골드맨 동상! 이게 어떻게 가능하지? @silvermanstatueofficial,7120171,2026.05.21,,Liberty Barros,"6,500,000",https://img.youtube.com/vi/LXvwAh6XOnM/mqdefault.jpg,LXvwAh6XOnM
일간,2026-06-15,shorts,미국,엔터테인먼트,조회수 순위,27,-16,어린이 안전 수칙: 문 손잡이에 절대 타면 안 돼요 🚫,6827492,2026.03.09,"#twintwin,#어린이안전수칙",Twin Twin,"5,280,000",https://img.youtube.com/vi/xjVH9KKkjjE/mqdefault.jpg,xjVH9KKkjjE
일간,2026-06-15,shorts,미국,엔터테인먼트,조회수 순위,28,+3,FIFA와 YouTube에서 보낸 소포를 받았어요! 🤩⚽️🏆  @YouTube @fifa,6787242,2026.06.11,"#광고,#FIFAWorldCup",Jenny Hoyos,"11,700,000",https://img.youtube.com/vi/cvMxrZ81UEs/mqdefault.jpg,cvMxrZ81UEs
일간,2026-06-15,shorts,미국,엔터테인먼트,조회수 순위,29,-7,"전화를 받고, 1만 달러를 받아가세요",6778948,2025.09.17,,미스터 비스트,"501,000,000",https://img.youtube.com/vi/50G0kIty7Cg/mqdefault.jpg,50G0kIty7Cg
일간,2026-06-15,shorts,미국,엔터테인먼트,조회수 순위,30,+1,딸 무키를 위한 마지막 선물 ✈️😭,6537365,2026.06.14,"#웃긴영상,#shorts",TwinKle Couple,"13,000,000",https://img.youtube.com/vi/2siwqjttN6M/mqdefault.jpg,2siwqjttN6M
일간,2026-06-15,shorts,미국,엔터테인먼트,조회수 순위,31,-2,Vacuum Go Kart vs Mop Go Kart – Who Wins?,6271020,2026.04.15,,Clean Girl,"20,400,000",https://img.youtube.com/vi/mz9SSJbEQ8A/mqdefault.jpg,mz9SSJbEQ8A
