Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Likes,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,1,NEW,"유튜버를 맞추면 1,000달러",271787,2026.06.15,,미스터 비스트,"501,000,000",https://img.youtube.com/vi/xDuuM3ERr5Q/mqdefault.jpg,xDuuM3ERr5Q
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,2,-1,Water Fixes Everything 💀🔥 | 3 Body Problem | FUNK ABNORMAL (Slowed),192913,2026.06.13,"#trending,#shorts",Riven-Edits,"808,000",https://img.youtube.com/vi/HmWeyudqYRU/mqdefault.jpg,HmWeyudqYRU
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,3,+580,월드컵에서 가장 시끄러운 나라는? ⚽️,185884,2026.06.14,"#ad,#fifaworldcup",Zhong,"72,600,000",https://img.youtube.com/vi/Fvta-JkYMgY/mqdefault.jpg,Fvta-JkYMgY
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,4,NEW,Ronaldo or Messi?,119261,2026.06.14,,Topper Guild,"91,800,000",https://img.youtube.com/vi/dTRKWvxoA-I/mqdefault.jpg,dTRKWvxoA-I
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,5,+4,동물을 맞춰보세요,116351,2026.05.06,,미스터 비스트,"501,000,000",https://img.youtube.com/vi/rqsRdfdN4uI/mqdefault.jpg,rqsRdfdN4uI
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,6,NEW,다른 마술 트릭 VS 이번 트릭❤️,107413,2026.06.14,"#숏,#마술",Shrouds Fx,"507,000",https://img.youtube.com/vi/lGFTAAB12wY/mqdefault.jpg,lGFTAAB12wY
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,7,NEW,글리터 만두 스퀴시를 언박싱하면 루이비통 가방을 드립니다! 😱😳,105110,2026.06.15,"#스퀴시,#피젯",It’Sarah 💜,"3,290,000",https://img.youtube.com/vi/cwvnxsFMLr0/mqdefault.jpg,cwvnxsFMLr0
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,8,-6,메시 vs 호날두 파쿠르 챌린지 🏃‍♂️⚽🔥,102430,2025.12.11,"#shorts,#football",Mixed Football,"8,310,000",https://img.youtube.com/vi/D395TUCbiRg/mqdefault.jpg,D395TUCbiRg
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,9,NEW,케이크 아티스트가 밝히는 웨딩 케이크의 비밀 🤫,100508,2026.06.15,,Sideserf Cake Studio,"7,120,000",https://img.youtube.com/vi/Bd3WXvAX4Mc/mqdefault.jpg,Bd3WXvAX4Mc
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,10,+330,광기 그 자체인 닉스 팬들,100435,2026.06.15,,Austin Sweatt,"477,000",https://img.youtube.com/vi/is68htKcj-s/mqdefault.jpg,is68htKcj-s
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,11,+43,Does This Bottle Still Make Apple Crunching Sound? 🤔,98993,2026.06.14,"#storytelling,#funny",Tyler Vitelli,"7,520,000",https://img.youtube.com/vi/fIrzl2V5wfc/mqdefault.jpg,fIrzl2V5wfc
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,12,NEW,It despawned 😭💔🥀,96695,2026.06.13,,PiePlayz,"56,800",https://img.youtube.com/vi/Cvi0PdGmNgw/mqdefault.jpg,Cvi0PdGmNgw
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,13,+113,치약 오레오 챌린지! 🪥,91624,2026.01.17,,Stay Wild,"22,800,000",https://img.youtube.com/vi/9Lpaz69sTSg/mqdefault.jpg,9Lpaz69sTSg
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,14,-2,구독하고 5억 유튜브 플레이 버튼을 확인하세요,89816,2026.05.23,,미스터 비스트,"501,000,000",https://img.youtube.com/vi/hYahU_Cqwp8/mqdefault.jpg,hYahU_Cqwp8
일간,2026-06-15,shorts,미국,엔터테인먼트,좋아요 순위,15,-8,폴아웃 76 머리핀 시위,86187,2026.06.11,,Greylin,"36,400",https://img.youtube.com/vi/sA9CfND8RQo/mqdefault.jpg,sA9CfND8RQo
