Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Comments,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,영화/애니메이션,댓글 순위,1,NEW,and you just accept the fate 😂,1100,2026.06.14,"#sofimanassyan,#relatable",Sofi Manassyan,"10,900,000",https://img.youtube.com/vi/T9eRPt2gOwE/mqdefault.jpg,T9eRPt2gOwE
일간,2026-06-15,shorts,미국,영화/애니메이션,댓글 순위,2,NEW,Backrooms // Captain Clark vs Bacteria,1100,2026.06.14,"#backrooms,#captain",Monzig,"247,000",https://img.youtube.com/vi/ob1f6dIabE4/mqdefault.jpg,ob1f6dIabE4
일간,2026-06-15,shorts,미국,영화/애니메이션,댓글 순위,3,NEW,Everyone at this school can turn into different animals!🐃🦁🐇,1000,2026.06.14,"#shorts,#movie",Wolf Meroy,"764,000",https://img.youtube.com/vi/HrU88U-hnDk/mqdefault.jpg,HrU88U-hnDk
일간,2026-06-15,shorts,미국,영화/애니메이션,댓글 순위,4,NEW,Erica Bain's Subway Justice | The Brave One (2007) Vigilante Scene',1000,2026.02.03,"#movie,#TheBraveOne",Koi,"343,000",https://img.youtube.com/vi/0ZVL539c9J4/mqdefault.jpg,0ZVL539c9J4
일간,2026-06-15,shorts,미국,영화/애니메이션,댓글 순위,5,NEW,Quem você salvaria: o Sr. Peterson ou o Baldi? 🌸👨‍🏫,1000,2026.06.15,#shorts,Rise Hope,"1,550,000",https://img.youtube.com/vi/sJoL8Zc0YCo/mqdefault.jpg,sJoL8Zc0YCo
일간,2026-06-15,shorts,미국,영화/애니메이션,댓글 순위,6,NEW,국가 국기의 검은색이 제거되면,1000,2025.10.12,"#countryballs,#반바지",Mr Globee,"3,310,000",https://img.youtube.com/vi/GELwFCjWtj8/mqdefault.jpg,GELwFCjWtj8
일간,2026-06-15,shorts,미국,영화/애니메이션,댓글 순위,7,NEW,How to FILM a HELLCAT Drive OFF!,1000,2022.11.03,"#Shorts,#drexlee",Drex Lee,"5,020,000",https://img.youtube.com/vi/OjJNhSQwU5w/mqdefault.jpg,OjJNhSQwU5w
일간,2026-06-15,shorts,미국,영화/애니메이션,댓글 순위,8,NEW,Jesus blesses everyone—even those who hurt Him.,1000,2026.05.01,"#jesus,#shorts",JAY,"168,000",https://img.youtube.com/vi/d8JXl_Rl1Qw/mqdefault.jpg,d8JXl_Rl1Qw
일간,2026-06-15,shorts,미국,영화/애니메이션,댓글 순위,9,NEW,Khabib is One Step Ahead of Topuria 🤫🦅,763,2026.06.15,,iAdvancedU,"148,000",https://img.youtube.com/vi/Wlvb21SFt7A/mqdefault.jpg,Wlvb21SFt7A
일간,2026-06-15,shorts,미국,영화/애니메이션,댓글 순위,10,NEW,Khabib Was Right About Gaethje 😳,752,2026.06.15,,iAdvancedU,"148,000",https://img.youtube.com/vi/y2vhy6eO3eY/mqdefault.jpg,y2vhy6eO3eY
