Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,영화/애니메이션,조회수 순위,1,NEW,and you just accept the fate 😂,10046424,2026.06.14,"#sofimanassyan,#relatable",Sofi Manassyan,"10,900,000",https://img.youtube.com/vi/T9eRPt2gOwE/mqdefault.jpg,T9eRPt2gOwE
일간,2026-06-15,shorts,미국,영화/애니메이션,조회수 순위,2,-1,Tình yêu của Ronaldo đã phản bội a ấy,9203366,2026.06.10,#kindness,Spider Ro,"1,140,000",https://img.youtube.com/vi/krihoBz997U/mqdefault.jpg,krihoBz997U
일간,2026-06-15,shorts,미국,영화/애니메이션,조회수 순위,3,-1,"""할아버지를 건드리지 마""😂 | 할아버지와의 전쟁 (2020)",5300384,2026.04.29,"#편집,#단편영화",Linnea Cut,"282,000",https://img.youtube.com/vi/jqodwKS62-Y/mqdefault.jpg,jqodwKS62-Y
일간,2026-06-15,shorts,미국,영화/애니메이션,조회수 순위,4,+1,Normal skill VS The GOAT,4939402,2026.01.03,,Pretty Good Storys,"568,000",https://img.youtube.com/vi/CXjmKrbL7gI/mqdefault.jpg,CXjmKrbL7gI
일간,2026-06-15,shorts,미국,영화/애니메이션,조회수 순위,5,-2,Gigant chocolate bar @cooksbatata,4317868,2026.06.08,,surthany hejeij,"16,400,000",https://img.youtube.com/vi/S3yYBCbvk3E/mqdefault.jpg,S3yYBCbvk3E
일간,2026-06-15,shorts,미국,영화/애니메이션,조회수 순위,6,+26,The Moment the SPARK Hit! 🔥😋,4252067,2026.06.12,"#shorts,#FlaminHot",Gabriel Hunter,"135,000",https://img.youtube.com/vi/E_sCE5HzBcA/mqdefault.jpg,E_sCE5HzBcA
일간,2026-06-15,shorts,미국,영화/애니메이션,조회수 순위,7,+5,The 5 Million Case ORDER That Changed Everything! 😱🌶️,4130099,2026.06.11,"#shorts,#FlaminHot",Gabriel Hunter,"135,000",https://img.youtube.com/vi/_RCd9rI6ZnU/mqdefault.jpg,_RCd9rI6ZnU
일간,2026-06-15,shorts,미국,영화/애니메이션,조회수 순위,8,+61,Duel of the Derringer | El Camino – Jesse‘s Wild West Gambit 🎲🔫💀,3764889,2026.06.10,"#ElCamino,#BreakingBad",Leave,"77,300",https://img.youtube.com/vi/J5saL_LMF0Y/mqdefault.jpg,J5saL_LMF0Y
일간,2026-06-15,shorts,미국,영화/애니메이션,조회수 순위,9,+9,💥💣He Met a Man Who Could Blow Anything to Pieces… And His Mind Was Blown! 😱🔥,3644668,2026.06.05,"#GiùLaTesta,#DuckYouSucker",ShortCutStrike,"90,700",https://img.youtube.com/vi/fs5i5raOhhk/mqdefault.jpg,fs5i5raOhhk
일간,2026-06-15,shorts,미국,영화/애니메이션,조회수 순위,10,+7,What is Happening with bro😂,3324888,2024.11.05,"#animatedshort,#funnyanimation",Hero Twist,"2,820,000",https://img.youtube.com/vi/ibgwsLv6aLY/mqdefault.jpg,ibgwsLv6aLY
