Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Likes,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,영화/애니메이션,좋아요 순위,1,NEW,and you just accept the fate 😂,161208,2026.06.14,"#sofimanassyan,#relatable",Sofi Manassyan,"10,900,000",https://img.youtube.com/vi/T9eRPt2gOwE/mqdefault.jpg,T9eRPt2gOwE
일간,2026-06-15,shorts,미국,영화/애니메이션,좋아요 순위,2,-1,The 5 Million Case ORDER That Changed Everything! 😱🌶️,157723,2026.06.11,"#shorts,#FlaminHot",Gabriel Hunter,"135,000",https://img.youtube.com/vi/_RCd9rI6ZnU/mqdefault.jpg,_RCd9rI6ZnU
일간,2026-06-15,shorts,미국,영화/애니메이션,좋아요 순위,3,+16,The Moment the SPARK Hit! 🔥😋,112496,2026.06.12,"#shorts,#FlaminHot",Gabriel Hunter,"135,000",https://img.youtube.com/vi/E_sCE5HzBcA/mqdefault.jpg,E_sCE5HzBcA
일간,2026-06-15,shorts,미국,영화/애니메이션,좋아요 순위,4,+2,I am the original clone.- Invincible,102528,2026.06.10,"#shorts,#edit",Vorythix Mode,"57,500",https://img.youtube.com/vi/AbkAN0Nx1lI/mqdefault.jpg,AbkAN0Nx1lI
일간,2026-06-15,shorts,미국,영화/애니메이션,좋아요 순위,5,+11,Johnny Ringo Shows Off His Gun Skills to Taunt Doc Holliday… Big Mistake.😏🔥,92115,2026.06.10,"#shorts,#viral",Aerial1969,"200,000",https://img.youtube.com/vi/9awof6BQiOg/mqdefault.jpg,9awof6BQiOg
일간,2026-06-15,shorts,미국,영화/애니메이션,좋아요 순위,6,-4,Vinny Explains the Rules First… Then They Fight 😂🥊 | My Cousin Vinny (1992),82864,2026.06.08,"#MyCousinVinny,#MyCousinVinny1992",ClipWizard,"71,800",https://img.youtube.com/vi/vhfDLtbIkgQ/mqdefault.jpg,vhfDLtbIkgQ
일간,2026-06-15,shorts,미국,영화/애니메이션,좋아요 순위,7,NEW,"""약 주세요!"" 셸던의 웃음 폭발하는 치과 방문 🦷😂",81870,2026.06.14,#어린셸던,CatFlix,"412,000",https://img.youtube.com/vi/jQHVtFP-t-Q/mqdefault.jpg,jQHVtFP-t-Q
일간,2026-06-15,shorts,미국,영화/애니메이션,좋아요 순위,8,-3,구스타보 프링이 제시를 구에르카 카르텔에 넘겼다.,77779,2026.06.11,"#바이럴영상,#숏폼영상",WatchItNow,"220,000",https://img.youtube.com/vi/RodFHI2mCks/mqdefault.jpg,RodFHI2mCks
일간,2026-06-15,shorts,미국,영화/애니메이션,좋아요 순위,9,+68,Duel of the Derringer | El Camino – Jesse‘s Wild West Gambit 🎲🔫💀,64778,2026.06.10,"#ElCamino,#BreakingBad",Leave,"77,300",https://img.youtube.com/vi/J5saL_LMF0Y/mqdefault.jpg,J5saL_LMF0Y
일간,2026-06-15,shorts,미국,영화/애니메이션,좋아요 순위,10,0,"""할아버지를 건드리지 마""😂 | 할아버지와의 전쟁 (2020)",62513,2026.04.29,"#편집,#단편영화",Linnea Cut,"282,000",https://img.youtube.com/vi/jqodwKS62-Y/mqdefault.jpg,jqodwKS62-Y
일간,2026-06-15,shorts,미국,영화/애니메이션,좋아요 순위,11,+9,Tình yêu của Ronaldo đã phản bội a ấy,62071,2026.06.10,#kindness,Spider Ro,"1,140,000",https://img.youtube.com/vi/krihoBz997U/mqdefault.jpg,krihoBz997U
일간,2026-06-15,shorts,미국,영화/애니메이션,좋아요 순위,12,NEW,미시는 장례식에 가고 싶어해요😢,57666,2026.06.14,#어린셸던,CatFlix,"412,000",https://img.youtube.com/vi/TfelpmNYltI/mqdefault.jpg,TfelpmNYltI
일간,2026-06-15,shorts,미국,영화/애니메이션,좋아요 순위,13,-4,제시가 지미에게 부모님 집을 사라고 40만 달러를 주었다.,56579,2026.06.10,"#바이럴영상,#쇼츠영상",WatchItNow,"220,000",https://img.youtube.com/vi/v583scPQhCs/mqdefault.jpg,v583scPQhCs
