Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Comments,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,음악,댓글 순위,1,NEW,I’m not sure how it got to this point,4693,2026.06.13,,Oliver Tree,"6,960,000",https://img.youtube.com/vi/zUTxnlmVOwU/mqdefault.jpg,zUTxnlmVOwU
일간,2026-06-15,shorts,미국,음악,댓글 순위,2,NEW,ugly is beautiful,2314,2026.06.09,,Oliver Tree,"6,960,000",https://img.youtube.com/vi/qXSFTCsWJYw/mqdefault.jpg,qXSFTCsWJYw
일간,2026-06-15,shorts,미국,음악,댓글 순위,3,-2,Teen With 18 Priors Sent To Prison!,2200,2026.06.13,,Judgment Lane,"165,000",https://img.youtube.com/vi/J1AFC8IASVo/mqdefault.jpg,J1AFC8IASVo
일간,2026-06-15,shorts,미국,음악,댓글 순위,4,+243,Goodbye Goatee,1700,2023.02.24,,Oliver Tree,"6,960,000",https://img.youtube.com/vi/weLzcovYcSI/mqdefault.jpg,weLzcovYcSI
일간,2026-06-15,shorts,미국,음악,댓글 순위,5,NEW,O forró é o melhor gênero musical do mundo inteiro 🇧🇷 ‪@dupedp‬,1177,2026.06.12,,Oliver Tree,"6,960,000",https://img.youtube.com/vi/9N4Ea4cdcao/mqdefault.jpg,9N4Ea4cdcao
일간,2026-06-15,shorts,미국,음악,댓글 순위,6,NEW,♥️🔥,1000,2026.04.25,"#scrillhassan,#chicago",Scrill Hassan,"123,000",https://img.youtube.com/vi/KWqyVlhJtEI/mqdefault.jpg,KWqyVlhJtEI
일간,2026-06-15,shorts,미국,음악,댓글 순위,7,NEW,they kept hearing crying… but couldn’t find it 😳,1000,2026.04.27,,K.C Trippin Tv,"456,000",https://img.youtube.com/vi/ArJmt1F0xy4/mqdefault.jpg,ArJmt1F0xy4
일간,2026-06-15,shorts,미국,음악,댓글 순위,8,NEW,그녀는 자기 아들을 경찰에 신고했다…,1000,2026.04.16,,Wholesometest,"71,600",https://img.youtube.com/vi/YO9Z5H-WRjg/mqdefault.jpg,YO9Z5H-WRjg
일간,2026-06-15,shorts,미국,음악,댓글 순위,9,NEW,"Educar empieza en casa, no termina en la escuela 🙏❤️",1000,2026.03.07,#ciudadsion,Ciudad Sion,"1,760,000",https://img.youtube.com/vi/r4xWBwa5fps/mqdefault.jpg,r4xWBwa5fps
일간,2026-06-15,shorts,미국,음악,댓글 순위,10,NEW,E-Romeo & E-Juliet 💕,1000,2022.11.11,,Oliver Tree,"6,960,000",https://img.youtube.com/vi/rRQHrSkk7lQ/mqdefault.jpg,rRQHrSkk7lQ
일간,2026-06-15,shorts,미국,음악,댓글 순위,11,NEW,imagine going to jail for a tiktok,1000,2022.11.06,,Oliver Tree,"6,960,000",https://img.youtube.com/vi/wIEyhnnBZ08/mqdefault.jpg,wIEyhnnBZ08
일간,2026-06-15,shorts,미국,음악,댓글 순위,12,+17,She Turned A McChicken Into A Personal Attack 🤣,900,2026.06.10,"#funny,#shorts",MARLEYONDABEATZ,"96,199",https://img.youtube.com/vi/9QUi3YrHZpE/mqdefault.jpg,9QUi3YrHZpE
일간,2026-06-15,shorts,미국,음악,댓글 순위,13,-2,No love like a mother's love. 💪🏿💯,872,2026.06.13,"#nature,#motherslove",LVEMRE,"184,000",https://img.youtube.com/vi/skYJzU5YagM/mqdefault.jpg,skYJzU5YagM
일간,2026-06-15,shorts,미국,음악,댓글 순위,14,NEW,"Mexico 🇲🇽 was the best start ❤️ Europe, North America, Australia I’ll see you soon!",709,2026.06.08,#olivertree,Oliver Tree,"6,960,000",https://img.youtube.com/vi/wTZ8DcD4ItQ/mqdefault.jpg,wTZ8DcD4ItQ
일간,2026-06-15,shorts,미국,음악,댓글 순위,15,NEW,He Thought He Could Walk Away… Then A Stranger Stepped In 😳🚨,634,2026.06.14,,Daily Hip Hop & Trending News,"125,000",https://img.youtube.com/vi/cAsRkA_wCjc/mqdefault.jpg,cAsRkA_wCjc
일간,2026-06-15,shorts,미국,음악,댓글 순위,16,NEW,Woman VICTIMIZES Deputy Next Door And Asks For Probation!,589,2026.06.15,,Judgment Lane,"165,000",https://img.youtube.com/vi/HEirOJOBil0/mqdefault.jpg,HEirOJOBil0
일간,2026-06-15,shorts,미국,음악,댓글 순위,17,NEW,Kit Kat ice cream and Crumbl dot cake cookies are the best duo,536,2026.06.15,,internet bastard,"321,000",https://img.youtube.com/vi/WFvJNoQoLZo/mqdefault.jpg,WFvJNoQoLZo
일간,2026-06-15,shorts,미국,음악,댓글 순위,18,NEW,No me gusta   @a‪@aaronmercuryy‬,512,2026.06.10,"#olivertree,#aaronmercury",Oliver Tree,"6,960,000",https://img.youtube.com/vi/mXyGxJRrd-Y/mqdefault.jpg,mXyGxJRrd-Y
일간,2026-06-15,shorts,미국,음악,댓글 순위,19,NEW,كن ماكانش بوبو الله يحفضو البارح كن راك حديت الساعة دابا 🤣🤣🤣,511,2026.06.15,#boufaljaja,Abdellah hakmi,"58,200",https://img.youtube.com/vi/HkLTieE_I5g/mqdefault.jpg,HkLTieE_I5g
일간,2026-06-15,shorts,미국,음악,댓글 순위,20,NEW,삼가 고인의 명복을 빕니다 🕊️,506,2026.06.15,#OliverTree,Blalock,"33,800",https://img.youtube.com/vi/D-a-iQmuLF4/mqdefault.jpg,D-a-iQmuLF4
일간,2026-06-15,shorts,미국,음악,댓글 순위,21,-1,When Eminem Checked Female Interviewer on Live TV 😭,500,2026.06.09,"#eminem,#50cent",SlimShots,"1,170,000",https://img.youtube.com/vi/7yiAZ5fl-PA/mqdefault.jpg,7yiAZ5fl-PA
일간,2026-06-15,shorts,미국,음악,댓글 순위,22,-10,me realizing my dad didn’t think this through when he decided to install a door knob on my door,500,2026.06.13,,internet bastard,"321,000",https://img.youtube.com/vi/kFvFmZGa_Fk/mqdefault.jpg,kFvFmZGa_Fk
일간,2026-06-15,shorts,미국,음악,댓글 순위,23,-2,"허니 번에 코스믹 브라우니, 그리고 리세스 피넛 버터 아이스크림 조합이 최고지",500,2026.06.08,,internet bastard,"321,000",https://img.youtube.com/vi/HEKyaRB_f1s/mqdefault.jpg,HEKyaRB_f1s
일간,2026-06-15,shorts,미국,음악,댓글 순위,24,NEW,Muchas gracias Bad Bunny y te amo Billie Eilish ❤️,500,2026.05.03,"#badbunny,#billieeilish",Oliver Tree,"6,960,000",https://img.youtube.com/vi/TXG5h1cuZN4/mqdefault.jpg,TXG5h1cuZN4
일간,2026-06-15,shorts,미국,음악,댓글 순위,25,NEW,The doctor said I should've died. If my pants didn't get caught in the wheel. I would've landed it..,500,2022.11.08,,Oliver Tree,"6,960,000",https://img.youtube.com/vi/3sWQ3c7eMGY/mqdefault.jpg,3sWQ3c7eMGY
일간,2026-06-15,shorts,미국,음악,댓글 순위,26,+4,We owe KSI an apology 🙏,500,2026.06.11,"#Worldcup,#FIfa2026",TheonlyMajed,"4,850,000",https://img.youtube.com/vi/oK8Ylxxzk8Q/mqdefault.jpg,oK8Ylxxzk8Q
