Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,음악,조회수 순위,1,0,Amazing Red Sandalwood Cutting Process! Beautiful Natural Wood Patterns Revealed,27433090,2026.06.10,"#Woodworking,#WoodCutting",Buildtech,"57,900",https://img.youtube.com/vi/-qvwyV-QwWw/mqdefault.jpg,-qvwyV-QwWw
일간,2026-06-15,shorts,미국,음악,조회수 순위,2,+1,"Perfect customer, perfect worker, perfect day",5336194,2026.05.28,"#shorts,#funny",Betsy Ward,"88,100",https://img.youtube.com/vi/fYkJYB6wx5U/mqdefault.jpg,fYkJYB6wx5U
일간,2026-06-15,shorts,미국,음악,조회수 순위,3,+2,Making a beat with a BABY! 😭🤣,4693991,2024.08.03,"#beatbox,#musicproduction",SungBeats,"780,000",https://img.youtube.com/vi/sE5DE-cN37I/mqdefault.jpg,sE5DE-cN37I
일간,2026-06-15,shorts,미국,음악,조회수 순위,4,NEW,aura never recovered after this 😭💀,4186232,2026.06.15,,K.C Trippin Tv,"456,000",https://img.youtube.com/vi/WZkiO5YyLM0/mqdefault.jpg,WZkiO5YyLM0
일간,2026-06-15,shorts,미국,음악,조회수 순위,5,+6,Throwing a Water Balloon At A Couple Then Pretending to Sing in Public Part 1...😭🥀,4149135,2026.05.06,#crashadams,Crash Adams Vault,"541,000",https://img.youtube.com/vi/cvO41Vj9sJk/mqdefault.jpg,cvO41Vj9sJk
일간,2026-06-15,shorts,미국,음악,조회수 순위,6,+3,역대급으로 똑똑한 구조 계획? 😱❤️ 동의하는 사람?,3708410,2026.05.29,"#친절,#도움",Jay Trần Tấn Phát,"2,450,000",https://img.youtube.com/vi/k5pqCxfDnZE/mqdefault.jpg,k5pqCxfDnZE
일간,2026-06-15,shorts,미국,음악,조회수 순위,7,-1,Scared Chinese-man to see pirates dressed as informal traders,3255018,2024.09.19,"#chinese,#pirates",Laindy Ssttiizzy,"317,000",https://img.youtube.com/vi/WWI10OeSJQI/mqdefault.jpg,WWI10OeSJQI
일간,2026-06-15,shorts,미국,음악,조회수 순위,8,+146,Can you find the Princess? 👸 Hide-and-Seek Challenge,3040765,2026.05.30,"#nurseryrhymes,#shorts",Dominoki Kids Songs,"10,800,000",https://img.youtube.com/vi/3hvzxOZAJuE/mqdefault.jpg,3hvzxOZAJuE
일간,2026-06-15,shorts,미국,음악,조회수 순위,9,-5,고무장갑으로 백파이프 만드는 방법!,2847229,2026.06.08,,Landen Purifoy,"15,100,000",https://img.youtube.com/vi/S8K50st2dkU/mqdefault.jpg,S8K50st2dkU
일간,2026-06-15,shorts,미국,음악,조회수 순위,10,+5,Throwing a Water Balloon At a Chef Then Pretending to Sing in Public Part 1 BTS...😭🥀,2368533,2026.05.03,#crashadams,Crash Adams Vault,"541,000",https://img.youtube.com/vi/Az3Bx5hXEhU/mqdefault.jpg,Az3Bx5hXEhU
일간,2026-06-15,shorts,미국,음악,조회수 순위,11,+165,Sweet House vs Veggie House for Baby Toothy?,2307711,2026.05.26,"#vocavoca,#kidssongs",VocaVoca - Kids Songs & Nursery Rhymes,"5,720,000",https://img.youtube.com/vi/_PkxFF151R0/mqdefault.jpg,_PkxFF151R0
일간,2026-06-15,shorts,미국,음악,조회수 순위,12,NEW,I felt her pain,2265908,2026.06.15,,Tik Cover,"1,220,000",https://img.youtube.com/vi/qyFhe_HxKVs/mqdefault.jpg,qyFhe_HxKVs
일간,2026-06-15,shorts,미국,음악,조회수 순위,13,+4,Haaland's legs went missing      Piano Tutorial,2153127,2026.04.29,"#football,#meme",GraffityPiano,"1,300,000",https://img.youtube.com/vi/TXSPgRwI-4M/mqdefault.jpg,TXSPgRwI-4M
일간,2026-06-15,shorts,미국,음악,조회수 순위,14,0,새로운 빨간 머리 너무 예뻐요 ❤️🔥 어떻게 생각하세요?,2125460,2026.06.01,,Jay Trần Tấn Phát,"2,450,000",https://img.youtube.com/vi/Bz_DuwVJvk8/mqdefault.jpg,Bz_DuwVJvk8
