Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Comments,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,인물/블로그,댓글 순위,1,+1,Who win the world cup final?…⚽🤔👇,12000,2026.06.11,"#demonslayeredits,#demonslayeredit",BRB 😁,"33,700",https://img.youtube.com/vi/Hrxig307fN8/mqdefault.jpg,Hrxig307fN8
일간,2026-06-15,shorts,미국,인물/블로그,댓글 순위,2,NEW,월드컵 케이크,10000,2026.06.05,"#worldcup,#soccer",Nick DiGiovanni • 닉 디지오바니,"40,800,000",https://img.youtube.com/vi/41IuDfMOSNU/mqdefault.jpg,41IuDfMOSNU
일간,2026-06-15,shorts,미국,인물/블로그,댓글 순위,3,NEW,완벽한 미디엄 스테이크,10000,2026.02.07,,Nick DiGiovanni • 닉 디지오바니,"40,800,000",https://img.youtube.com/vi/1p6hc5xVXY4/mqdefault.jpg,1p6hc5xVXY4
일간,2026-06-15,shorts,미국,인물/블로그,댓글 순위,4,NEW,Esta pulsera de oro hizo que todos se volvieran locos 😳🏆,7200,2026.06.15,#shorts,Señor EXNIRP 90,"8,860,000",https://img.youtube.com/vi/HEF7MuRjn1o/mqdefault.jpg,HEF7MuRjn1o
일간,2026-06-15,shorts,미국,인물/블로그,댓글 순위,5,NEW,Who win the world cup final...?⚽🤔👇,4900,2026.06.14,"#demonslayeredits,#demonslayeredit",BRB 😁,"33,700",https://img.youtube.com/vi/DBWwne57Ccw/mqdefault.jpg,DBWwne57Ccw
일간,2026-06-15,shorts,미국,인물/블로그,댓글 순위,6,NEW,둘 다 들리시나요!?! 👀😱,4200,2026.06.15,"#shorts,#챌린지",Mariah and Bill,"5,670,000",https://img.youtube.com/vi/HThXb_gW3sI/mqdefault.jpg,HThXb_gW3sI
일간,2026-06-15,shorts,미국,인물/블로그,댓글 순위,7,NEW,네덜란드 vs 일본 음식,4000,2026.06.14,"#worldcup,#netherlands",Nick DiGiovanni • 닉 디지오바니,"40,800,000",https://img.youtube.com/vi/qadjfH2L4kU/mqdefault.jpg,qadjfH2L4kU
일간,2026-06-15,shorts,미국,인물/블로그,댓글 순위,8,-5,El comentario con más likes es la mascota que me compraré 🥰 (por favor voten por el pascal🦎),3700,2026.06.14,,Carlos Alberto Fuentes,"2,700,000",https://img.youtube.com/vi/ZFklUakOPD4/mqdefault.jpg,ZFklUakOPD4
일간,2026-06-15,shorts,미국,인물/블로그,댓글 순위,9,+44,🔥🔥ASMR Transformation Extra Shine | Satisfying Shoe SHİNE,3600,2026.06.10,"#asmr,#restoration",Mr Shoe Shine,"541,000",https://img.youtube.com/vi/Zf-08jc7EHk/mqdefault.jpg,Zf-08jc7EHk
일간,2026-06-15,shorts,미국,인물/블로그,댓글 순위,10,+348,씨 없는 수박 너무 좋아요 😋,2737,2026.06.14,"#수박,#GMO",The Plant Slant,"2,270,000",https://img.youtube.com/vi/KVEJ-sVyMkQ/mqdefault.jpg,KVEJ-sVyMkQ
