Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,1,0,Thanks to so many creators for loving our “Nervy Dance” idea❤️,29233670,2026.06.13,"#dance,#couple",TripleY222 & Tarran D,"2,740,000",https://img.youtube.com/vi/qtOLE_1Kp34/mqdefault.jpg,qtOLE_1Kp34
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,2,+5,بور الافريقي,17015023,2026.06.05,"#short,#shorts",Elb7aaar.offaical,"450,000",https://img.youtube.com/vi/Tk8hkvpwBNg/mqdefault.jpg,Tk8hkvpwBNg
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,3,NEW,네덜란드 vs 일본 음식,15340248,2026.06.14,"#worldcup,#netherlands",Nick DiGiovanni • 닉 디지오바니,"40,800,000",https://img.youtube.com/vi/qadjfH2L4kU/mqdefault.jpg,qadjfH2L4kU
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,4,-1,Funny Cricket Part 8,14352699,2026.06.10,"#viral,#comedy",Jack's Comedy,"714,000",https://img.youtube.com/vi/fUvBK4eNSh4/mqdefault.jpg,fUvBK4eNSh4
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,5,+9,가족을 구하기 위해 달려가는 남자,13679853,2026.06.10,,Blindspot,"141,000",https://img.youtube.com/vi/aRifbpdXuAY/mqdefault.jpg,aRifbpdXuAY
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,6,+4,이해와 존중,11511392,2026.06.10,"#hopecore,#respect",JokeJuiceJack​,"379,000",https://img.youtube.com/vi/zTTbahLhlGI/mqdefault.jpg,zTTbahLhlGI
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,7,+21,"맙소사, 플레이어가 크리퍼에게서 도망칠 수 있을까?",11316795,2026.06.12,,ANYA KOVA,"26,600,000",https://img.youtube.com/vi/0LdZ8C6dm2s/mqdefault.jpg,0LdZ8C6dm2s
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,8,NEW,The guy show AMAZING Smart and Useful in Forest,11114097,2026.06.14,"#bushcraft,#survival",Wild Man,"140,000",https://img.youtube.com/vi/qNmX9b6iDbs/mqdefault.jpg,qNmX9b6iDbs
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,9,-5,"아기가 ""기억에 남을 만한 날로 만들어줘.""라고 말했어요. 🩷💙",10071174,2026.06.02,"#성별공개,#커플",Love Unfiltered,"141,000",https://img.youtube.com/vi/jheV3ns75fQ/mqdefault.jpg,jheV3ns75fQ
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,10,+9,All the hilarious moments from Khaby Lame🤣,9600321,2026.06.08,"#KhabyLame,#learnfromkhaby",AMERY NEVER,"44,400",https://img.youtube.com/vi/NHRcema0ZH4/mqdefault.jpg,NHRcema0ZH4
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,11,-5,거대한 물풍선이 볼링 핀을 쓰러뜨리려 한다!,9412920,2025.10.02,,The Richey Family,"14,700,000",https://img.youtube.com/vi/vmuFFrlysng/mqdefault.jpg,vmuFFrlysng
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,12,-3,Like father like son,9376741,2023.12.06,"#parents,#toddlermom",Krystianatiana,"6,360,000",https://img.youtube.com/vi/Npc29n7yMmM/mqdefault.jpg,Npc29n7yMmM
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,13,-8,Without Beard Filter 💀😂,8749346,2025.12.25,"#edit,#trollface",Nuwan.mp4,"304,000",https://img.youtube.com/vi/G7zNE030e7E/mqdefault.jpg,G7zNE030e7E
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,14,NEW,Xiaoyang akhirnya belajar berbagi,8748848,2026.06.14,,양양루추,"58,700",https://img.youtube.com/vi/OL4mWcKJA30/mqdefault.jpg,OL4mWcKJA30
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,15,+2,아름다운 진공청소기,8677158,2026.05.06,,Levsob,"5,970,000",https://img.youtube.com/vi/2NUT-pf3mp4/mqdefault.jpg,2NUT-pf3mp4
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,16,-3,RANKING THE BEST ELEVATOR MOMENTS😂,8544387,2025.11.14,"#ranking,#funny",Arctic Ranks,"101,000",https://img.youtube.com/vi/xcWsvXh54Oc/mqdefault.jpg,xcWsvXh54Oc
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,17,+199,Phone through the subway grate?? 💀,7834541,2026.06.11,,Scottyryan,"18,900",https://img.youtube.com/vi/Cg2pvnE5dNs/mqdefault.jpg,Cg2pvnE5dNs
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,18,+16,Smart Wall Channeling Technique for Electrical Wiring Installation.,7687242,2026.06.09,"#Construction,#ElectricalWork",World Construction,"19,800",https://img.youtube.com/vi/zoqs8t66Pwk/mqdefault.jpg,zoqs8t66Pwk
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,19,+3,I’m Sorry Poor Puppy 🐶,7359174,2026.05.21,,Lemya Star,"332,000",https://img.youtube.com/vi/kNEq-PbcvVE/mqdefault.jpg,kNEq-PbcvVE
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,20,NEW,🏃💿 WHO WILL STOP ALL THE DISCS?! 😱🔥,7283976,2026.05.01,"#football,#soccer",GadzhiSoccer,"135,000",https://img.youtube.com/vi/W23vsTNTVWs/mqdefault.jpg,W23vsTNTVWs
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,21,+8,鲁米对小狗很自责！,7162600,2026.06.11,,Love Rumi 2.0,"2,390,000",https://img.youtube.com/vi/zCkAvx2kv60/mqdefault.jpg,zCkAvx2kv60
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,22,+2,Tea Pruning: Shaping Bushes for Better Harvests,6961541,2026.05.03,,fanghang lu2,"474,000",https://img.youtube.com/vi/ny5lg2GTCvs/mqdefault.jpg,ny5lg2GTCvs
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,23,-12,ranking craziest deep sea hunting,6793294,2026.06.09,,VisualRank,"57,800",https://img.youtube.com/vi/3ywT7naLvmU/mqdefault.jpg,3ywT7naLvmU
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,24,NEW,Mini panda,6764275,2026.06.15,,Suhrob Mirzavaliyev,"267,000",https://img.youtube.com/vi/TRv0o7uMIgo/mqdefault.jpg,TRv0o7uMIgo
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,25,+30,Dumpling machine,6500445,2025.09.03,,Mamka_Ivanka_Cooks,"194,000",https://img.youtube.com/vi/U3OXmUQajJk/mqdefault.jpg,U3OXmUQajJk
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,26,+18,How Handmade Railcars Bridge Gaps in Off - Grid Communities,6337817,2026.01.08,,Time on the Ridge of a Field,"642,000",https://img.youtube.com/vi/IPqfpkWOvhE/mqdefault.jpg,IPqfpkWOvhE
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,27,+1,내 침대 밑에 괴물이 있어… 😳,6326759,2026.06.15,,Dylan Stories,"151,000",https://img.youtube.com/vi/ECnLTK1W5Pc/mqdefault.jpg,ECnLTK1W5Pc
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,28,+43,Will Portugal Destroy Congo? 💀🔥,5889740,2026.06.12,,Matchly,"183,000",https://img.youtube.com/vi/5a_rUyCNknU/mqdefault.jpg,5a_rUyCNknU
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,29,-14,To build a comfortable place | ArknightsEndfield,5665369,2026.06.07,#gugugaga,its mud,"76,900",https://img.youtube.com/vi/N4q04HqKX48/mqdefault.jpg,N4q04HqKX48
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,30,+69,Poor Scary Nb... - Scary Teacher Family!,5586767,2026.04.14,"#funny,#shorts",Chika Pro Animating,"64,300",https://img.youtube.com/vi/rPq5PqUGoqE/mqdefault.jpg,rPq5PqUGoqE
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,31,+14,He took a small towel.ю🙈🤣,5485127,2026.06.11,,Senchiki_Krazy,"740,000",https://img.youtube.com/vi/cSZMPMMvRWs/mqdefault.jpg,cSZMPMMvRWs
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,32,+58,"Xiaomi, Toyota and Cadillac: E-Bike Crossing AEB Test",5474154,2026.04.01,"#EBikeCrossingAEB,#ScooterAEBTest",Car Battle,"56,500",https://img.youtube.com/vi/yB1HeRNdhaM/mqdefault.jpg,yB1HeRNdhaM
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,33,+244,🔥🔥ASMR Transformation Extra Shine | Satisfying Shoe SHİNE,5472045,2026.06.10,"#asmr,#restoration",Mr Shoe Shine,"541,000",https://img.youtube.com/vi/Zf-08jc7EHk/mqdefault.jpg,Zf-08jc7EHk
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,34,+96,Brazil vs Morocco Prediction ⚽🔥,5419221,2026.06.11,"#worldcup,#usa",Matchly,"183,000",https://img.youtube.com/vi/2HCZu9sQhpU/mqdefault.jpg,2HCZu9sQhpU
일간,2026-06-15,shorts,미국,인물/블로그,조회수 순위,35,NEW,"One Day, All the Happy Moments Become Memories 🥺 Sad Dog",5299676,2026.05.18,"#algorithm,#dog",PawSight,"452,000",https://img.youtube.com/vi/Ef1_0JvtBK0/mqdefault.jpg,Ef1_0JvtBK0
