Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Likes,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,인물/블로그,좋아요 순위,1,NEW,Creepy cute COCOMAN😊funny video Best Compilation😊,763256,2023.06.04,"#bossbaby,#funniest",cocoman,"987,000",https://img.youtube.com/vi/Ua35hFocsFg/mqdefault.jpg,Ua35hFocsFg
일간,2026-06-15,shorts,미국,인물/블로그,좋아요 순위,2,NEW,네덜란드 vs 일본 음식,293306,2026.06.14,"#worldcup,#netherlands",Nick DiGiovanni • 닉 디지오바니,"40,800,000",https://img.youtube.com/vi/qadjfH2L4kU/mqdefault.jpg,qadjfH2L4kU
일간,2026-06-15,shorts,미국,인물/블로그,좋아요 순위,3,+3,She Destroyed Everyone Who Disrespected Her Dad,157495,2026.06.12,"#growingupfisher,#jksimmons",OdRush,"25,600",https://img.youtube.com/vi/Aax8gGKIywM/mqdefault.jpg,Aax8gGKIywM
일간,2026-06-15,shorts,미국,인물/블로그,좋아요 순위,4,+50,Phone through the subway grate?? 💀,157372,2026.06.11,,Scottyryan,"18,900",https://img.youtube.com/vi/Cg2pvnE5dNs/mqdefault.jpg,Cg2pvnE5dNs
일간,2026-06-15,shorts,미국,인물/블로그,좋아요 순위,5,-3,Funny Cricket Part 8,131594,2026.06.10,"#viral,#comedy",Jack's Comedy,"714,000",https://img.youtube.com/vi/fUvBK4eNSh4/mqdefault.jpg,fUvBK4eNSh4
일간,2026-06-15,shorts,미국,인물/블로그,좋아요 순위,6,+7,All the hilarious moments from Khaby Lame🤣,118452,2026.06.08,"#KhabyLame,#learnfromkhaby",AMERY NEVER,"44,400",https://img.youtube.com/vi/NHRcema0ZH4/mqdefault.jpg,NHRcema0ZH4
일간,2026-06-15,shorts,미국,인물/블로그,좋아요 순위,7,-2,Thanks to so many creators for loving our “Nervy Dance” idea❤️,117465,2026.06.13,"#dance,#couple",TripleY222 & Tarran D,"2,740,000",https://img.youtube.com/vi/qtOLE_1Kp34/mqdefault.jpg,qtOLE_1Kp34
일간,2026-06-15,shorts,미국,인물/블로그,좋아요 순위,8,+82,Bro got humbled so quick💀💀,113932,2026.06.12,,ViralSprint,"100,000",https://img.youtube.com/vi/QuwcVA1rSyo/mqdefault.jpg,QuwcVA1rSyo
일간,2026-06-15,shorts,미국,인물/블로그,좋아요 순위,9,+154,2026 is a new beginning,105421,2026.06.11,,K-POP猎魔女团,"2,130,000",https://img.youtube.com/vi/qr_lGscA8xE/mqdefault.jpg,qr_lGscA8xE
일간,2026-06-15,shorts,미국,인물/블로그,좋아요 순위,10,+108,🔥🔥ASMR Transformation Extra Shine | Satisfying Shoe SHİNE,102876,2026.06.10,"#asmr,#restoration",Mr Shoe Shine,"541,000",https://img.youtube.com/vi/Zf-08jc7EHk/mqdefault.jpg,Zf-08jc7EHk
