Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Comments,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,전체,댓글 순위,1,+2,Who win the world cup final?…⚽🤔👇,12000,2026.06.11,"#demonslayeredits,#demonslayeredit",BRB 😁,"33,700",https://img.youtube.com/vi/Hrxig307fN8/mqdefault.jpg,Hrxig307fN8
일간,2026-06-15,shorts,미국,전체,댓글 순위,2,NEW,구독자분들의 소원을 들어드립니다,10000,2026.05.08,,미스터 비스트,"501,000,000",https://img.youtube.com/vi/B9LizOAAoLg/mqdefault.jpg,B9LizOAAoLg
일간,2026-06-15,shorts,미국,전체,댓글 순위,3,NEW,월드컵 케이크,10000,2026.06.05,"#worldcup,#soccer",Nick DiGiovanni • 닉 디지오바니,"40,800,000",https://img.youtube.com/vi/41IuDfMOSNU/mqdefault.jpg,41IuDfMOSNU
일간,2026-06-15,shorts,미국,전체,댓글 순위,4,NEW,끝까지…‼️ 할머니를 사랑한다면 좋아요 👍! 😍,10000,2026.03.16,,SQUAD BRO SHOW,"12,300,000",https://img.youtube.com/vi/-nhvtP1sIoY/mqdefault.jpg,-nhvtP1sIoY
일간,2026-06-15,shorts,미국,전체,댓글 순위,5,NEW,완벽한 미디엄 스테이크,10000,2026.02.07,,Nick DiGiovanni • 닉 디지오바니,"40,800,000",https://img.youtube.com/vi/1p6hc5xVXY4/mqdefault.jpg,1p6hc5xVXY4
일간,2026-06-15,shorts,미국,전체,댓글 순위,6,NEW,"유튜버를 맞추면 1,000달러",8496,2026.06.15,,미스터 비스트,"501,000,000",https://img.youtube.com/vi/xDuuM3ERr5Q/mqdefault.jpg,xDuuM3ERr5Q
일간,2026-06-15,shorts,미국,전체,댓글 순위,7,NEW,Which Sibling Would You Save?,7600,2026.06.15,,Justabtanything,"1,950,000",https://img.youtube.com/vi/KjBYWGMFJ7E/mqdefault.jpg,KjBYWGMFJ7E
일간,2026-06-15,shorts,미국,전체,댓글 순위,8,NEW,Esta pulsera de oro hizo que todos se volvieran locos 😳🏆,7200,2026.06.15,#shorts,Señor EXNIRP 90,"8,860,000",https://img.youtube.com/vi/HEF7MuRjn1o/mqdefault.jpg,HEF7MuRjn1o
일간,2026-06-15,shorts,미국,전체,댓글 순위,9,NEW,ASLEEP AT HIS OWN UFC SH*T SHOW,6500,2026.06.15,,Tony Dortie,"509,000",https://img.youtube.com/vi/TsqOg1PWOkw/mqdefault.jpg,TsqOg1PWOkw
일간,2026-06-15,shorts,미국,전체,댓글 순위,10,+53,IS THIS FILTER REAL??,5400,2026.06.14,,Cruz,"2,350,000",https://img.youtube.com/vi/FxlfB5DdQ4Q/mqdefault.jpg,FxlfB5DdQ4Q
일간,2026-06-15,shorts,미국,전체,댓글 순위,11,+1,설마 이게 사실이라고?,5200,2026.06.14,"#무슬림,#데시",Browniesaadi,"819,000",https://img.youtube.com/vi/ZyghbkhreT8/mqdefault.jpg,ZyghbkhreT8
일간,2026-06-15,shorts,미국,전체,댓글 순위,12,-7,Who kicked the ball 😂,5000,2026.05.22,,ibekeigh,"4,120,000",https://img.youtube.com/vi/X3H_MOlxtak/mqdefault.jpg,X3H_MOlxtak
일간,2026-06-15,shorts,미국,전체,댓글 순위,13,NEW,내 친구를 석방하라!,5000,2026.06.15,,JD Delay,"1,760,000",https://img.youtube.com/vi/9ll17SNu3Aw/mqdefault.jpg,9ll17SNu3Aw
