Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,전체,조회수 순위,1,+1,Thanks to so many creators for loving our “Nervy Dance” idea❤️,29233670,2026.06.13,"#dance,#couple",TripleY222 & Tarran D,"2,740,000",https://img.youtube.com/vi/qtOLE_1Kp34/mqdefault.jpg,qtOLE_1Kp34
일간,2026-06-15,shorts,미국,전체,조회수 순위,2,-1,Amazing Red Sandalwood Cutting Process! Beautiful Natural Wood Patterns Revealed,27433090,2026.06.10,"#Woodworking,#WoodCutting",Buildtech,"57,900",https://img.youtube.com/vi/-qvwyV-QwWw/mqdefault.jpg,-qvwyV-QwWw
일간,2026-06-15,shorts,미국,전체,조회수 순위,3,0,"Finally, a Gate That Stops Escape-Artist Dogs 🐶",17687360,2026.05.11,"#amazonfinds,#gadgests",DramaCart,"103,000",https://img.youtube.com/vi/kSVl4tPaVMk/mqdefault.jpg,kSVl4tPaVMk
일간,2026-06-15,shorts,미국,전체,조회수 순위,4,NEW,월드컵에서 가장 시끄러운 나라는? ⚽️,17137538,2026.06.14,"#ad,#fifaworldcup",Zhong,"72,600,000",https://img.youtube.com/vi/Fvta-JkYMgY/mqdefault.jpg,Fvta-JkYMgY
일간,2026-06-15,shorts,미국,전체,조회수 순위,5,+21,بور الافريقي,17015023,2026.06.05,"#short,#shorts",Elb7aaar.offaical,"450,000",https://img.youtube.com/vi/Tk8hkvpwBNg/mqdefault.jpg,Tk8hkvpwBNg
일간,2026-06-15,shorts,미국,전체,조회수 순위,6,+2,동물을 맞춰보세요,16637477,2026.05.06,,미스터 비스트,"501,000,000",https://img.youtube.com/vi/rqsRdfdN4uI/mqdefault.jpg,rqsRdfdN4uI
일간,2026-06-15,shorts,미국,전체,조회수 순위,7,NEW,네덜란드 vs 일본 음식,15340248,2026.06.14,"#worldcup,#netherlands",Nick DiGiovanni • 닉 디지오바니,"40,800,000",https://img.youtube.com/vi/qadjfH2L4kU/mqdefault.jpg,qadjfH2L4kU
일간,2026-06-15,shorts,미국,전체,조회수 순위,8,-3,Funny Cricket Part 8,14352699,2026.06.10,"#viral,#comedy",Jack's Comedy,"714,000",https://img.youtube.com/vi/fUvBK4eNSh4/mqdefault.jpg,fUvBK4eNSh4
일간,2026-06-15,shorts,미국,전체,조회수 순위,9,+36,가족을 구하기 위해 달려가는 남자,13679853,2026.06.10,,Blindspot,"141,000",https://img.youtube.com/vi/aRifbpdXuAY/mqdefault.jpg,aRifbpdXuAY
일간,2026-06-15,shorts,미국,전체,조회수 순위,10,+31,How Growers Pack Large Plants in Seconds Without Damaging a Single Branch✨️👇,13359823,2026.06.09,,LifeHub,"65,900",https://img.youtube.com/vi/zNmvKHd7QKA/mqdefault.jpg,zNmvKHd7QKA
일간,2026-06-15,shorts,미국,전체,조회수 순위,11,+8,THAT WAS MY DRINK! 🥤😡,12811714,2026.06.12,,Strong Brain,"1,930,000",https://img.youtube.com/vi/tErb1KWhEEY/mqdefault.jpg,tErb1KWhEEY
