Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Comments,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,코메디,댓글 순위,1,NEW,Which Sibling Would You Save?,7600,2026.06.15,,Justabtanything,"1,950,000",https://img.youtube.com/vi/KjBYWGMFJ7E/mqdefault.jpg,KjBYWGMFJ7E
일간,2026-06-15,shorts,미국,코메디,댓글 순위,2,+2,Name a movie 😂,5000,2026.05.20,,Onevilage,"9,800,000",https://img.youtube.com/vi/0vi1uqJMaM0/mqdefault.jpg,0vi1uqJMaM0
일간,2026-06-15,shorts,미국,코메디,댓글 순위,3,NEW,Which Classmate Would You Save?,3500,2026.06.15,,Justabtanything,"1,950,000",https://img.youtube.com/vi/8uc01ltTrZo/mqdefault.jpg,8uc01ltTrZo
일간,2026-06-15,shorts,미국,코메디,댓글 순위,4,+18,Houses just aren't built like they used to be 😅,2296,2026.06.14,"#afv,#fail",America's Funniest Home Videos,"7,820,000",https://img.youtube.com/vi/VpYn1uQ_J9U/mqdefault.jpg,VpYn1uQ_J9U
일간,2026-06-15,shorts,미국,코메디,댓글 순위,5,NEW,Insane first day in the USA 😭,1900,2026.06.15,,John Casterline,"8,010,000",https://img.youtube.com/vi/cNX8TA94uJI/mqdefault.jpg,cNX8TA94uJI
일간,2026-06-15,shorts,미국,코메디,댓글 순위,6,+5,Id probably quit hicking after this,1800,2026.06.13,"#memes,#shorts",Midge404,"6,090",https://img.youtube.com/vi/VMuwg2QJ7JE/mqdefault.jpg,VMuwg2QJ7JE
일간,2026-06-15,shorts,미국,코메디,댓글 순위,7,-5,당신은 누구를 남자친구로 선택하시겠습니까?,1600,2026.06.14,,Justabtanything,"1,950,000",https://img.youtube.com/vi/UikN73ErJpo/mqdefault.jpg,UikN73ErJpo
일간,2026-06-15,shorts,미국,코메디,댓글 순위,8,NEW,Hilarious Comeback Dance Moment You Can't Miss,1100,2026.06.15,"#Funny,#FYP",Matt Sowards,"992,000",https://img.youtube.com/vi/nqkAWCWcYD0/mqdefault.jpg,nqkAWCWcYD0
일간,2026-06-15,shorts,미국,코메디,댓글 순위,9,NEW,Surprising my GIRLFRIEND 🥳,1100,2026.06.15,,Cam2r,"1,750,000",https://img.youtube.com/vi/g_EBz4W068g/mqdefault.jpg,g_EBz4W068g
일간,2026-06-15,shorts,미국,코메디,댓글 순위,10,NEW,Chicago Cops Never Seen A Man In Wheelchair Before 😭😂,1000,2026.03.01,"#Chicago,#Cops",Cop Humor,"2,670,000",https://img.youtube.com/vi/-kR2ZbGLX74/mqdefault.jpg,-kR2ZbGLX74
일간,2026-06-15,shorts,미국,코메디,댓글 순위,11,+4,게이머만 읽을 수 있어요 😭,1000,2026.06.12,,Brydell Cocky,"2,190,000",https://img.youtube.com/vi/Oh7N9xczWsI/mqdefault.jpg,Oh7N9xczWsI
