Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Likes,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-15,shorts,미국,코메디,좋아요 순위,1,NEW,Insane first day in the USA 😭,148940,2026.06.15,,John Casterline,"8,010,000",https://img.youtube.com/vi/cNX8TA94uJI/mqdefault.jpg,cNX8TA94uJI
일간,2026-06-15,shorts,미국,코메디,좋아요 순위,2,NEW,Which Sibling Would You Save?,100657,2026.06.15,,Justabtanything,"1,950,000",https://img.youtube.com/vi/KjBYWGMFJ7E/mqdefault.jpg,KjBYWGMFJ7E
일간,2026-06-15,shorts,미국,코메디,좋아요 순위,3,NEW,World Cup watch party fail 😭,97575,2026.06.15,,John Casterline,"8,010,000",https://img.youtube.com/vi/GLXvdpRY320/mqdefault.jpg,GLXvdpRY320
일간,2026-06-15,shorts,미국,코메디,좋아요 순위,4,NEW,Surprising my GIRLFRIEND 🥳,95876,2026.06.15,,Cam2r,"1,750,000",https://img.youtube.com/vi/g_EBz4W068g/mqdefault.jpg,g_EBz4W068g
일간,2026-06-15,shorts,미국,코메디,좋아요 순위,5,+124,카이와 토타는 카메라맨을 정말 잘 대해줘요 💖,93085,2026.06.14,"#반바지,#kaicenat",Snickerly,"1,230,000",https://img.youtube.com/vi/OMtCsEiK5HQ/mqdefault.jpg,OMtCsEiK5HQ
일간,2026-06-15,shorts,미국,코메디,좋아요 순위,6,NEW,Which Classmate Would You Save?,91149,2026.06.15,,Justabtanything,"1,950,000",https://img.youtube.com/vi/8uc01ltTrZo/mqdefault.jpg,8uc01ltTrZo
일간,2026-06-15,shorts,미국,코메디,좋아요 순위,7,-6,먼저 반응하는 사람이 지는 거야 👀,83544,2026.06.14,,Cam2r,"1,750,000",https://img.youtube.com/vi/kIYKx7mdI58/mqdefault.jpg,kIYKx7mdI58
일간,2026-06-15,shorts,미국,코메디,좋아요 순위,8,NEW,Hilarious Comeback Dance Moment You Can't Miss,76996,2026.06.15,"#Funny,#FYP",Matt Sowards,"992,000",https://img.youtube.com/vi/nqkAWCWcYD0/mqdefault.jpg,nqkAWCWcYD0
일간,2026-06-15,shorts,미국,코메디,좋아요 순위,9,+9,Wait for it 🤭,75463,2026.05.03,"#paulinashows,#funny",Paulina Shows,"97,300",https://img.youtube.com/vi/yGAHHFLbG5s/mqdefault.jpg,yGAHHFLbG5s
일간,2026-06-15,shorts,미국,코메디,좋아요 순위,10,NEW,먼저 완성하는 사람이 승리합니다! 😳,73698,2026.06.15,,Cam2r,"1,750,000",https://img.youtube.com/vi/-8y81hXg_j4/mqdefault.jpg,-8y81hXg_j4
일간,2026-06-15,shorts,미국,코메디,좋아요 순위,11,-8,성공했는지 댓글로 알려주세요 🤧🤧🤧,71554,2026.06.07,,ZoeTube,"11,800,000",https://img.youtube.com/vi/Jy5IW7KHAzc/mqdefault.jpg,Jy5IW7KHAzc
일간,2026-06-15,shorts,미국,코메디,좋아요 순위,12,-4,Id probably quit hicking after this,65852,2026.06.13,"#memes,#shorts",Midge404,"6,090",https://img.youtube.com/vi/VMuwg2QJ7JE/mqdefault.jpg,VMuwg2QJ7JE
일간,2026-06-15,shorts,미국,코메디,좋아요 순위,13,+154,Kindness Never Ends… It Spreads from Heart to Heart 💖✨🤝,53535,2026.06.14,"#zunizuni,#KindnessNeverEnds",Zuni Zuni,"10,300,000",https://img.youtube.com/vi/Ce07GkReXOg/mqdefault.jpg,Ce07GkReXOg
일간,2026-06-15,shorts,미국,코메디,좋아요 순위,14,-8,Europeans are COOKED in NYC 😭,52566,2026.06.13,,John Casterline,"8,010,000",https://img.youtube.com/vi/3rwnCyPagbs/mqdefault.jpg,3rwnCyPagbs
